candidate_id,expression_hash,generator_arm,factor_lane,expression,split,horizon_min,curve_count,day_count,net_mean_return,raw_mean_return,net_hit_rate,minute_sortino,day_sortino,day_mcmc_sortino_p25,day_mcmc_sortino_median,day_mcmc_prob_sortino_gt_0,max_drawdown,mean_one_way_turnover,rank_ic_mean,rank_ic_hit_rate,rank_ic_loss,rank_ic_obs
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",train,equal_weight_horizon_sleeves,4,4,-0.0002244653,0.000585781,0.25,-0.60583895,-0.60583895,-0.92340798,-0.60583895,0.0921273,-0.00118087,0.81024638,0.11123879,1,-0.11123879,4
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",train,1,4,4,-0.0005354273,0.0002748191,0.25,-0.82089791,-0.82089791,-0.9696693,-0.82161501,0,-0.00220345,0.81024638,0.0753236,0.75,-0.0753236,4
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",train,5,4,4,8.64966e-05,0.000896743,0.5,0.42947098,0.42947098,-0.16191219,0.42947098,0.69026549,-0.00046382,0.81024638,0.14715398,1,-0.14715398,4
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",validation,equal_weight_horizon_sleeves,2,2,-0.0014528684,-0.0006396543,0,-0.99743743,-0.99743743,-1,-0.99743743,0,-0.00290364,0.81321416,0.04317029,1,-0.04317029,2
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",validation,1,2,2,-0.0009875559,-0.0001743417,0,-0.99982528,-0.99982528,-1,-1,0,-0.00197414,0.81321416,0.05348596,1,-0.05348596,2
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",validation,5,2,2,-0.001918181,-0.0011049668,0,-0.9951322,-0.9951322,-1,-0.9951322,0,-0.00383272,0.81321416,0.03285463,1,-0.03285463,2
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",holdout,equal_weight_horizon_sleeves,0,0,,,,,,,,,,,,,,0
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",holdout,1,0,0,,,,,,,,,,,,,,0
phase3bt_00309,5e7f3069ea2e592a015ce287,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",holdout,5,0,0,,,,,,,,,,,,,,0
phase3bt_00368,fd52b26ce157634cc6cd1131,typed_ast_fresh,rx_interaction::rx_opening_divergence::rx_intraday_price_location::spread,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$open),Add(Abs($open),0.000001))),ZScore(Div(Mean($vwap,2),Add(Abs(Mean($vwap,5)),0.000001)))))",train,equal_weight_horizon_sleeves,4,4,-0.0002946096,0.0005192858,0.25,-0.71569952,-0.71569952,-0.94248284,-0.71858747,0.03833333,-0.00135818,0.81389546,0.10647529,1,-0.10647529,4
