source_table,relative_path,bytes,rows_footer,row_groups,schema_sha256,development_safe_rows,development_safe_content_sha256
balance_sheet_report_em,balance_sheet_report_em/SH600000.parquet,207618,104,1,a5d7f1ee51f24a6d65be910879d2399d450751120e5dc82cf1da2d7f2a7351bd,99,ab06c1ab6afd62244a71cfccb16d64022af3d3d8823884b9ea693f0db25f8a88
balance_sheet_report_em,balance_sheet_report_em/SH600004.parquet,262413,96,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,91,7077218a6067db230b1ea486b317d9eed83f7ff6ad7790675aececf29034457f
balance_sheet_report_em,balance_sheet_report_em/SH600006.parquet,276222,106,1,bc3eec887aa08aee0c13bfd4e8ee2dffb91db7711f9aa651ad2e1f6ea15ffe80,101,78726250b9dd09de599267be1db2721097407161cf85bddcc5139fd662aca9fe
balance_sheet_report_em,balance_sheet_report_em/SH600007.parquet,254547,106,1,9a0f858a9832f0b1f88ff1ba7f4418b1b7fcf564d290d0e7ec9ee15005715b52,101,4c5375fadf18b4d1f07a008bb498ec6997f2e9c80f587a5a1deaa3aedcb59f43
balance_sheet_report_em,balance_sheet_report_em/SH600008.parquet,288412,104,1,bc3eec887aa08aee0c13bfd4e8ee2dffb91db7711f9aa651ad2e1f6ea15ffe80,99,06b04d95f9e9a88a713f3bfc7c6aee84581448ae42907f614fb90a58946bf5bd
balance_sheet_report_em,balance_sheet_report_em/SH600009.parquet,268755,109,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,104,1de47572d890cbd2385822222c4ec50a8e5bff87d9c7bae55a6f2d43a75ebf33
balance_sheet_report_em,balance_sheet_report_em/SH600010.parquet,277604,104,1,bc3eec887aa08aee0c13bfd4e8ee2dffb91db7711f9aa651ad2e1f6ea15ffe80,99,4b3c74dc6c872acc5b58a481cda6e2d764829cace9339240f9a1ffb1ec98adda
balance_sheet_report_em,balance_sheet_report_em/SH600011.parquet,295397,102,1,2405cdf73fb9d1641f0d8c8702c9f04ca8327c6cbc0cc4f37773efe79f3ee13c,97,71b1caf848e798382acc9e1baa0913e6ca4c5811ee1cc1ab6781845372f20dec
balance_sheet_report_em,balance_sheet_report_em/SH600012.parquet,259934,98,1,adccb267a04487ff86be455e3c509423e9f9e9718ed1a4625f5c4bdb2dc4b4ae,93,99542f326b486c66112e21a7d107568ce929ded2cea1f0a647614476aa2e4e0f
balance_sheet_report_em,balance_sheet_report_em/SH600015.parquet,192760,95,1,5a9fff3ff9ef79647d371e5817856b26e4278a79d7cf72201ab4d535d72a5e47,90,fc03966ea457924f8d988fb4e2a2b3644bf3b7396438b3b08aa9791265ea5b61
balance_sheet_report_em,balance_sheet_report_em/SH600016.parquet,204547,106,1,d81f8c13c7b53516c2ff14391546f559b0856d71c8b2c350b6cc3ecc9f25c32e,101,840e3b819b9443dc724072eac5477bd0f905ae19d0c334959c060eeb2cbe16ad
balance_sheet_report_em,balance_sheet_report_em/SH600017.parquet,258897,83,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,78,c8a6756a6b37e877f001716ff514afbca6e04906f04ffe760883030095126743
balance_sheet_report_em,balance_sheet_report_em/SH600018.parquet,278860,84,1,bc3eec887aa08aee0c13bfd4e8ee2dffb91db7711f9aa651ad2e1f6ea15ffe80,79,039ebf29bcb2292fe10fe01eb117cba24005037e9c784f1fc075db750a1c566d
balance_sheet_report_em,balance_sheet_report_em/SH600019.parquet,304078,103,1,bc3eec887aa08aee0c13bfd4e8ee2dffb91db7711f9aa651ad2e1f6ea15ffe80,98,a5f112b2693d65db08261a50209e7e20188f942bf8d03c4f86f53b72f9a62265
balance_sheet_report_em,balance_sheet_report_em/SH600020.parquet,267955,95,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,90,b7ad0209f5eccaf618b795fe0c2b0cc3b912f3fdf69851fd7572ae7fd4803dc2
balance_sheet_report_em,balance_sheet_report_em/SH600021.parquet,286190,95,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,90,f4608fa3e77e92695b80afd9f8bcbf73c9153d3c1bef72d6b787ce22335ca128
balance_sheet_report_em,balance_sheet_report_em/SH600022.parquet,268120,91,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,86,d59c551d7ee7a77211725c44b1d897c95d53dfab0421835f263e195cfdaef034
balance_sheet_report_em,balance_sheet_report_em/SH600023.parquet,245273,54,1,ccf5a58db6446e3e64c5019a3a59f776a4d061cf0f5c2225c84cfc0566806231,49,6110f801060222135ee2ac237dadf2330fb3375423eaab2ab25c5bbc901fd24f
balance_sheet_report_em,balance_sheet_report_em/SH600025.parquet,261689,78,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,59,60790bab466e2af2fb2b929e8a660244e35af3d3c615d019425369015919b3b6
balance_sheet_report_em,balance_sheet_report_em/SH600026.parquet,279679,99,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,94,822841534f75f9b760c70b45c81747a37b38afcdc23772fa44dc84fcd490651b
balance_sheet_report_em,balance_sheet_report_em/SH600027.parquet,274400,90,1,13c38f9f8bed8642edb8fc715bb9f7531c99f22fae9fdb8903acab0bcd6beb3c,85,a134205ed3c63d70d997d5a3effb928de84d22429e45d1205437997bd12124a9
balance_sheet_report_em,balance_sheet_report_em/SH600028.parquet,275593,100,1,fd8e168c2ea461e5afcf2e0d679c9122852f06336d96b385f845b415b074c6ef,95,b1933ad57c5d69a963c94fcf9a93c399c65654670896b71ccd84930f42cad64b
balance_sheet_report_em,balance_sheet_report_em/SH600029.parquet,272072,95,1,7045a87fbb390257cb55ab0c8fa8c866cbc60aa6d7eed1284cb0d1972021278d,90,a5a8b612a9f39005ff89084220283d46908086fdaa47093379ac46335b8c26dc
balance_sheet_report_em,balance_sheet_report_em/SH600030.parquet,208785,98,1,c78131e3c1606231c5a99aeb7a1e373688ece75e21f7da19d8f21e9044d110b6,93,afd21aeb4a8c2c50042875245106698274d27399c5ff235d95bd57bd6e6b8a44
balance_sheet_report_em,balance_sheet_report_em/SH600031.parquet,285344,95,1,b77a424c53c3dcef186e164b5297b0911c128a3e0644ca25919a6465f43400b7,90,1e8316b141ca6103f8eb1ea0412b91087b56b120a4995a18fc8e605f90b82b20
balance_sheet_report_em,balance_sheet_report_em/SH600032.parquet,212583,27,1,27fbc109c5354bf13d7bbfb625189563fb80fed110fac5223eec223023b1be88,22,8f682f462ab4136f287b6c11c466b0fa223a4fb816d42e34e9a74c99e2c64147
