trade_date,split,optimizer_usage
2026-01-05,forward_2026,report_only
2026-01-06,forward_2026,report_only
2026-01-07,forward_2026,report_only
2026-01-08,forward_2026,report_only
2026-01-09,forward_2026,report_only
2026-01-12,forward_2026,report_only
2026-01-13,forward_2026,report_only
2026-01-14,forward_2026,report_only
2026-01-15,forward_2026,report_only
2026-01-16,forward_2026,report_only
2026-01-19,forward_2026,report_only
2026-01-20,forward_2026,report_only
2026-01-21,forward_2026,report_only
2026-01-22,forward_2026,report_only
2026-01-23,forward_2026,report_only
2026-01-26,forward_2026,report_only
2026-01-27,forward_2026,report_only
2026-01-28,forward_2026,report_only
2026-01-29,forward_2026,report_only
2026-01-30,forward_2026,report_only
2026-02-02,forward_2026,report_only
2026-02-03,forward_2026,report_only
2026-02-04,forward_2026,report_only
2026-02-05,forward_2026,report_only
2026-02-06,forward_2026,report_only
2026-02-09,forward_2026,report_only
2026-02-10,forward_2026,report_only
2026-02-11,forward_2026,report_only
2026-02-12,forward_2026,report_only
2026-02-13,forward_2026,report_only
2026-02-24,forward_2026,report_only
2026-02-25,forward_2026,report_only
2026-02-26,forward_2026,report_only
2026-02-27,forward_2026,report_only
2026-03-02,forward_2026,report_only
2026-03-03,forward_2026,report_only
2026-03-04,forward_2026,report_only
2026-03-05,forward_2026,report_only
2026-03-06,forward_2026,report_only
2026-03-09,forward_2026,report_only
2026-03-10,forward_2026,report_only
2026-03-11,forward_2026,report_only
2026-03-12,forward_2026,report_only
2026-03-13,forward_2026,report_only
2026-03-16,forward_2026,report_only
2026-03-17,forward_2026,report_only
2026-03-18,forward_2026,report_only
2026-03-19,forward_2026,report_only
2026-03-20,forward_2026,report_only
2026-03-23,forward_2026,report_only
2026-03-24,forward_2026,report_only
2026-03-25,forward_2026,report_only
2026-03-26,forward_2026,report_only
2026-03-27,forward_2026,report_only
2026-03-30,forward_2026,report_only
2026-03-31,forward_2026,report_only
2026-04-01,forward_2026,report_only
2026-04-02,forward_2026,report_only
2026-04-03,forward_2026,report_only
2026-04-07,forward_2026,report_only
2026-04-08,forward_2026,report_only
2026-04-09,forward_2026,report_only
2026-04-10,forward_2026,report_only
