access_id,event_time,event_type,actor,data_role,asset,granularity,purpose,decision_impact,permitted_under_v1,status,evidence
legacy_validation_access,before_2026-07-11,access,legacy_CN_operator,spent,2025_validation_73_dates,candidate_level,report_review_and_canary_selection,affected_phase3cp_23755_canary_selection,false,burned,reports/PHASE3GA_SEMANTIC_SEARCH_EFFICIENCY_REPAIR_20260710.md
legacy_holdout_access,before_2026-07-11,access,legacy_CN_operator,spent,2025_holdout_48_dates,candidate_level,report_review,human_exposure_confirmed_false_OOS,false,burned,reports/PHASE3GA_SEMANTIC_SEARCH_EFFICIENCY_REPAIR_20260710.md
forward_2026_reservation,2026-07-11,reservation,EVALRESET,forward,separate_2026_true1min_asset,none,preserve_unexposed_forward_performance,no_performance_read,true,sealed,this_ledger
evalreset_data_footer_audit,2026-07-11,access,Codex_EVALRESET,development,2024_2025_base_and_augmented_releases,parquet_footer,verify_rows_schema_and_shard_parity,no_candidate_decision,true,completed,reports/evalreset_phase1_20260711/PHASE1_BASELINE_AND_PLAN.md
evalreset_candidate_pack_audit,2026-07-11,access,Codex_EVALRESET,development,Phase3FIX_generation_proxy_admission_pack,candidate_level,collapse_forensics_only,no_positive_memory_or_scheduler_update,true,completed,reports/evalreset_phase1_20260711/search_collapse_audit.json
evalreset_spent_split_forensics,2026-07-11,access,Codex_EVALRESET,spent,fixed_calendar_validation_and_holdout_results,candidate_level,burn_and_feedback_path_forensics,future_candidate_decision_forbidden,true,completed,runtime/run_plans/oos_burn_ledger_v1.csv
evalreset_train_reward_atoms,2026-07-11,access,Codex_EVALRESET,development,fixed_calendar_train_reward_atoms,candidate_day,train_only_behaviour_clustering,no_positive_memory_or_scheduler_update,true,completed,reports/evalreset_phase1_20260711/search_collapse_audit.json
evalreset_semantic_only_canary,2026-07-11,access,Codex_EVALRESET,development,2024_2025_augmented_shard_00_and_384_admission_candidates,sampled_signal,estimate_full_signal_audit_cost,no_signal_artifact_or_candidate_decision,true,stopped_after_120s,reports/evalreset_phase1_20260711/PHASE1_BASELINE_AND_PLAN.md
evalreset_two_pass_signal_sketch,2026-07-11,access,Codex_EVALRESET,development,2024_2025_augmented_16_shard_fixed_coordinates_and_24576_generation_candidates,sampled_signal,deterministic_signal_sketch_and_stage_collapse_forensics,no_reward_label_validation_holdout_forward_or_positive_memory_use,true,completed,reports/evalreset_phase1_20260711/signal_sketch/signal_sketch_audit_summary.json
hybrid_policy_report_only_validation,2026-07-29,access,Codex_and_user_authority,spent,report_only_validation_256_20260729_fe05fe3,candidate_level,report_only_arm_and_route_transfer,feedback_scheduler_archive_promotion_holdout_and_2026_forbidden,true,completed,runtime/run_plans/cn_hybrid_policy_report_only_validation_20260729.json
hybrid_policy_route_contraction,2026-07-29,access,Codex_and_user_authority,spent,report_only_validation_256_20260729_fe05fe3,route_aggregate,freeze_one_offline_bounded_route_budget,spent_after_use_no_candidate_reward_tell_memory_or_promotion,true,completed,runtime/run_plans/cn_hybrid_bounded_large_tranche_p07_20260729_receipt.json
fixed10_forward_2026_one_shot,2026-08-05,access,Codex_and_user_authority,spent,separate_2026_true1min_asset,row_coordinates,one_shot_fixed10_intention_to_treat_confirmation,forward_rows_opened_then_infrastructure_guard_failed_no_candidate_or_economic_result,true,failed_spent,runtime/run_plans/cn_fixed10_forward_2026_spent_failure_receipt.json
