candidate_id,expression_hash,run,source_round,generator_arm,generator_route,source_generator,source_lane,factor_lane,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,phase3ca_proxy_quality,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,fields,expression,train_reward,train_day_sortino,train_minute_sortino,train_worst_horizon_day_sortino,train_median_horizon_day_sortino,train_horizon_sortino_stdev,train_day_mcmc_p25,train_day_mcmc_prob_gt_0,train_mean_one_way_turnover,validation_day_sortino,validation_day_mcmc_prob_gt_0,holdout_day_sortino,holdout_day_mcmc_prob_gt_0,inherited_blockers,train_reward_blockers,train_reward_decision,seed,round_id,parent_id,mutation_type,blocker_flags,validation_mcmc_prob_gt_0,holdout_mcmc_prob_gt_0,parallel_chunk_id
phase3cp_01773,b654a78fc6d3f92c0a90f659,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,cem_atom::rx_intraday_return::inverted,intraday_return,cross_sectional+time_series+state_transform,none,multi_or_unknown,medium_turnover,e93a970707fca19a1d,f90e92938d1f4351ed,9365c2e89174,0.24214826,0.04010178,0.04010178,0.55614249,0.48,intraday_ret_from_open,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,2))))",0.36081712,0.62873905,0.62873905,0.42413844,0.54436513,0.23354807,0.43916597,1,0.78847621,-0.0396787,0.42833333,0.81065246,0.99,,extreme_turnover,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.42833333,0.99,4
phase3cp_01771,540228a160f1008d92afceeb,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,cem_atom::rx_intraday_return::inverted,intraday_return,cross_sectional+time_series+state_transform,none,multi_or_unknown,medium_turnover,e93a970707fca19a1d,f90e92938d1f4351ed,9365c2e89174,0.23975526,0.03940216,0.03940216,0.55516302,0.48,intraday_ret_from_open,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,3))))",0.34762974,0.68460703,0.68460703,0.19832206,0.51486617,0.33526485,0.47962258,1,0.78254554,-0.15411854,0.29666667,1.08672813,0.98,,extreme_turnover,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.29666667,0.98,2
phase3cp_01387,99d1e7f5a79f49f3a2661218,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,rx_range_location::inverted,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,9c8cf1cfcb57186b19,d2eb9a12a7d32788b5,8d3063e36b08,0.22124225,0.03793643,0.03793643,0.55311101,0.58,close|high|low,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))))",0.19236458,0.51254338,0.51254338,0.07928581,0.6861254,0.46782322,0.34054453,0.995,0.78661952,0.23305672,0.805,-0.25643517,0.16,,extreme_turnover,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.805,0.16,2
phase3cp_01389,c17a68376722d7e7ad968e4c,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,rx_range_location::inverted,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,9c8cf1cfcb57186b19,d2eb9a12a7d32788b5,8d3063e36b08,0.22996781,0.04048756,0.04048756,0.55668259,0.58,close|high|low,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10)))))",0.09723348,0.39757187,0.39757187,0.07997134,0.47774807,0.32719949,0.21127592,0.945,0.79490542,0.22073898,0.74,-0.43852817,0.00666667,,extreme_turnover,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.74,0.00666667,3
phase3cp_01388,40d0c61f06fc8f8c8ebe806f,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,rx_range_location::inverted,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,medium_turnover,9c8cf1cfcb57186b19,d2eb9a12a7d32788b5,8d3063e36b08,0.23487787,0.04192346,0.04192346,0.55869285,0.58,close|high|low,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8)))))",-0.01725322,0.26808501,0.26808501,0.01086106,0.41403185,0.30432945,0.08307046,0.85833333,0.79537244,0.07947853,0.61666667,-0.50953144,0,,extreme_turnover,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.61666667,0.0,1
phase3cp_01924,0cfef44533a7d9423614c32a,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_range_location::rx_opening_amount::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6ace37bd35f0fab316,1d5c220e77d0c0ecd6,4ccb0eead839,0.23032992,0.03664623,0.03664623,0.55130472,0.42,close|high|low|m1_first30_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),20))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-0.04170768,0.20761571,0.20761571,0.039489,0.18575623,0.18285328,0.07089014,0.86166667,0.7899288,0.09311439,0.65,-0.32827112,0.105,,extreme_turnover,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.65,0.105,2
phase3cp_01917,a8bb8f6b9d907b866a13ef26,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_range_location::rx_opening_amount::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6ace37bd35f0fab316,1d5c220e77d0c0ecd6,4ccb0eead839,0.22078763,0.03385604,0.03385604,0.54739846,0.42,close|high|low|m1_first30_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-0.29582578,-0.07675538,-0.07675538,-0.13217631,-0.04951793,0.09008239,-0.17923343,0.34,0.79629274,0.03032874,0.51833333,-0.21386913,0.215,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.51833333,0.215,2
phase3cp_01037,dbba9abedc0fba525041a186,search_outputs,low_turnover_repair/round1_scheduler_controlled,low_turnover_repair,phase3cw-turnover-aware,phase3cp_low_turnover_repair_from_co,phase3cp_low_turnover_repair_from_co,turnover_aware_interaction::rx_range_location::coverage_guarded_context::slow_spread,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,e29b19d1aaa5bb9ad0,8fd9b0ebf5bd1ffb9c,c786edfc21c3,0.23490533,0.03798402,0.03798402,0.55317763,0.34,close|ctx_ths_hot_last_pct|high|low,"CSRank(Sub(Delay(Mean(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),15),2),Mean(CSRank(MaskedZScore($ctx_ths_hot_last_pct,60,0.8)),30)))",-0.34566888,-0.21018977,-0.21018977,-0.64709064,-0.2306454,0.32482044,-0.30527528,0.07166667,0.55964906,-0.58504185,0.00333333,-0.55549501,0.01,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,low_turnover_repair/round1_scheduler_controlled,,,,0.00333333,0.01,3
phase3cp_00302,a1265381c7bb15954775053e,search_outputs,turnover_aware_fresh/round1_scheduler_controlled,turnover_aware_fresh,phase3cw-turnover-aware,phase3cp_turnover_aware_fresh_from_co,phase3cp_turnover_aware_fresh_from_co,turnover_aware_interaction::rx_range_location::coverage_guarded_context::slow_spread,range_location,cross_sectional+time_series+arithmetic+state_transform,none,multi_or_unknown,low_turnover,5ad681cd2fc8aac270,8de02f554504a20d81,f3657ed5f8ae,0.23843015,0.03901456,0.03901456,0.55462038,0.28,close|ctx_ths_hot_circulation_value|high|low,"CSRank(Sub(Delay(Mean(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))),15),2),Mean(CSRank(ValidRatioGate($ctx_ths_hot_circulation_value,60,0.8)),30)))",-0.40421683,-0.30014201,-0.30014201,-0.66673725,-0.25249911,0.25705951,-0.36227205,0.00333333,0.4304824,-0.55439353,0,-0.31615691,0.07833333,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,turnover_aware_fresh/round1_scheduler_controlled,,,,0.0,0.07833333,2
phase3cp_01851,55fe0bd8c6dc51b0c68261ce,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_intraday_return::rx_opening_amount::product,flow_amount_volume+intraday_return+opening_state,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,9fce62a3b017125aed,e3696ce0ae93cba3fe,3b3400fef51a,0.21636288,0.03256232,0.03256232,0.54558725,0.42,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,8)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-0.42103196,-0.10811719,-0.10811719,-0.56312315,-0.07192611,0.27641566,-0.20919823,0.24,0.78859609,-0.45127605,0.01333333,0.30216744,0.79,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.01333333,0.79,3
