fields,count,priority_count,best_score,mean_score,memory_hit_count
close|volume|vwap,5,2,0.09413735425,0.06005674153,0
close|m1_first30_vwap|vwap,1,1,0.05637560609,0.05637560609,0
close|m1_first30_vwap,1,1,0.05560990897,0.05560990897,0
amount|close|m1_first30_vwap,8,0,0.05322367674,0.0489019226,0
close|m1_first15_vwap,1,0,0.05250328791,0.05250328791,0
amount|close|m1_first15_vwap|vwap,3,0,0.05198305419,0.05042433846,0
amount|close|m1_first15_vwap|m1_first5_amount,1,0,0.05153235478,0.05153235478,0
amount|close|m1_first30_vwap|m1_first5_vol,1,0,0.0514239634,0.0514239634,0
close,7,0,0.05034624126,0.04916185706,0
amount|close|vwap,3,0,0.05032903826,0.04868700713,0
amount|close|m1_first15_vwap,2,0,0.05029446589,0.04938597424,0
close|m1_first5_vwap,2,0,0.0499265093,0.04856479614,0
amount|close|m1_first30_vol,1,0,0.0495702615,0.0495702615,0
close|m1_first15_vwap|volume,1,0,0.0492938596,0.0492938596,0
amount|close|m1_first5_vwap,3,0,0.04914965379,0.04725302076,0
amount|close|m1_first30_vwap|m1_first5_amount,1,0,0.04871852571,0.04871852571,0
close|m1_first30_vwap|volume,5,0,0.04858568532,0.04636140144,0
amount|close,9,0,0.04856091291,0.04600972805,0
close|m1_first30_vwap|m1_first5_vwap|vwap,1,0,0.04813408105,0.04813408105,0
close|volume,4,0,0.04745729077,0.04604871336,0
amount|close|m1_first5_amount,1,0,0.04720404007,0.04720404007,0
amount|close|m1_first15_vol,1,0,0.04640984024,0.04640984024,0
close|m1_first30_vwap|volume|vwap,1,0,0.0457006242,0.0457006242,0
close|m1_first5_vwap|volume,1,0,0.04427234625,0.04427234625,0
