phase3bk_rank,decision_tier,expression_hash,candidate_ids,best_horizon_min,factor_lane,fields,max_directional_robust_score,mean_directional_robust_score,best_ic_mean_median,best_ic_direction_share,best_spread_mean,horizon_pass_count,exact_memory_hit,memory_hit_any_in_bj,fresh_eligible_any,family_crowding_count,ops_crowding_count,metric_cluster_id,metric_cluster_size,expression_family_hash,ops_signature,expression
18,bk_watchlist,db90568548e7ab35c26411b8,phase3bj_large_1min_001501,30,micro_volatility,close,0.04979816607,0.0346747048,-0.04979816607,1,-0.0001917780947,3,false,false,true,7,7,bk_metric_001,57,4433ebfbdac725b2d7b37552,CSRank>Div>Std>Add>Abs>Mean,"CSRank(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001)))"
19,bk_watchlist,6444d701fa47319ef99c20ec,phase3bj_large_1min_010543,30,pure_fresh_cross,amount|close|m1_first30_vol,0.0495702615,0.03430913075,-0.0495702615,1,-0.0002489416956,3,false,false,true,2,2,bk_metric_001,57,d6adbeb9fd788173ba0cb5d1,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Div>Add>Abs>Mean,"CSRank(Div(ZScore(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001))),Add(Abs(ZScore(Div($m1_first30_vol,Add(Abs(Mean($amount,30)),0.000001)))),0.000001)))"
20,bk_watchlist,5a4e2603e0113f083882780d,phase3bj_large_1min_010344,5,pure_fresh_cross,amount|close|m1_first30_vwap,0.04956625276,0.04508946952,0.04956625276,1,0.0001861956735,4,false,false,true,1,1,bk_metric_001,57,8b85b97ae497cb6e12faca48,CSRank>Add>ZScore>Sub>ZScore>Delta>ZScore>Delta>ZScore>Div>Sub>Add>Abs,"CSRank(Add(ZScore(Sub(ZScore(Delta($amount,30)),ZScore(Delta($close,30)))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
21,bk_watchlist,5ac561890765b85ccf67eaca,phase3bj_large_1min_001499,30,micro_volatility,close,0.04935308433,0.03398928079,-0.04935308433,1,-0.0002354046064,2,false,false,true,7,7,bk_metric_001,57,4433ebfbdac725b2d7b37552,CSRank>Div>Std>Add>Abs>Mean,"CSRank(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001)))"
22,bk_watchlist,3fb85c54c04073c7922aba26,phase3bj_large_1min_010053,5,pure_fresh_cross,close|m1_first15_vwap|volume,0.0492938596,0.04422850289,0.0492938596,1,0.0001987829154,4,false,false,true,1,1,bk_metric_001,57,64aebff1341715a706161eb0,CSRank>Add>ZScore>Div>Sub>Add>Abs>ZScore>Sub>ZScore>Delta>ZScore>Delta,"CSRank(Add(ZScore(Div(Sub($m1_first15_vwap,$close),Add(Abs($close),0.000001))),ZScore(Sub(ZScore(Delta($volume,5)),ZScore(Delta($close,5))))))"
23,bk_watchlist,54d5116b132d0395bf616bed,phase3bj_large_1min_007053,30,pure_fresh_cross,close|volume|vwap,0.04919694778,0.03436818628,0.04919694778,1,0.0001851113669,3,false,false,true,1,1,bk_metric_001,57,102b8009d210620a62308035,CSRank>Sub>ZScore>Div>Delta>Add>Abs>Add>Std>ZScore>Div>Std>Add>Abs>Mean,"CSRank(Sub(ZScore(Div(Delta($volume,3),Add(Abs(Add(Std($vwap,3),0.000001)),0.000001))),ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001)))))"
24,bk_watchlist,d27084f73bde2504ac0f76f4,phase3bj_large_1min_006998,5,pure_fresh_cross,amount|close|m1_first5_vwap,0.04914965379,0.04537567798,0.04914965379,1,0.0002111231988,4,false,false,true,1,1,bk_metric_001,57,cd25c92affeb3f803ce7e3e4,CSRank>Add>ZScore>Mul>ZScore>Delta>Neg>ZScore>Delta>ZScore>Div>Sub>Add>Abs,"CSRank(Add(ZScore(Mul(ZScore(Delta($amount,15)),Neg(ZScore(Delta($close,15))))),ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001)))))"
25,bk_watchlist,521205d42fa5a1a7de287fb2,phase3bj_large_1min_010657,5,pure_fresh_cross,amount|close|m1_first30_vwap,0.04907682302,0.04407070306,0.04907682302,1,0.0002039633209,4,false,false,true,1,1,bk_metric_001,57,f6de3faa8dbf2e404a56c12b,CSRank>Add>ZScore>Div>Sub>Add>Abs>ZScore>Delta,"CSRank(Add(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Delta($amount,8))))"
26,bk_watchlist,7823133ed4a275799b37e455,phase3bj_large_1min_012332,30,pure_fresh_cross,amount|close|vwap,0.04906928026,0.03404356766,0.04906928026,1,0.0001044980423,3,false,false,true,3,3,bk_metric_001,57,10a06c6f2c6535bf6d926c30,CSRank>Sub>ZScore>Mul>ZScore>Delta>Neg>ZScore>Delta>ZScore>Div>Std>Add>Abs>Mean,"CSRank(Sub(ZScore(Mul(ZScore(Delta($amount,15)),Neg(ZScore(Delta($vwap,15))))),ZScore(Div(Std($close,15),Add(Abs(Mean($close,15)),0.000001)))))"
27,bk_watchlist,55720415ff4e329b55100260,phase3bj_large_1min_001509,30,micro_volatility,close,0.04893672683,0.0341684788,-0.04893672683,1,-5.012837134e-05,2,false,false,true,7,7,bk_metric_001,57,4433ebfbdac725b2d7b37552,CSRank>Div>Std>Add>Abs>Mean,"CSRank(Div(Std($close,30),Add(Abs(Mean($close,30)),0.000001)))"
