phase3bk_rank,decision_tier,expression_hash,candidate_ids,best_horizon_min,factor_lane,fields,max_directional_robust_score,mean_directional_robust_score,best_ic_mean_median,best_ic_direction_share,best_spread_mean,horizon_pass_count,exact_memory_hit,memory_hit_any_in_bj,fresh_eligible_any,family_crowding_count,ops_crowding_count,metric_cluster_id,metric_cluster_size,expression_family_hash,ops_signature,expression
48,bk_watchlist,a68148d0f0377572c06b492e,phase3bj_large_1min_008925,5,pure_fresh_cross,amount|close|m1_first30_vwap,0.04644686601,0.04123034405,0.04644686601,1,0.0001955740389,4,false,false,true,1,1,bk_metric_001,57,19150a97becbf4c350873a45,CSRank>Add>ZScore>Div>Delta>Add>Abs>Add>Std>ZScore>Div>Sub>Add>Abs,"CSRank(Add(ZScore(Div(Delta($amount,30),Add(Abs(Add(Std($close,30),0.000001)),0.000001))),ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001)))))"
49,bk_watchlist,9a5956f75914202ae22afcf2,phase3bj_large_1min_011855,30,pure_fresh_cross,amount|close|m1_first15_vol,0.04640984024,0.03210385384,-0.04640984024,1,-7.854126643e-05,2,false,false,true,2,2,bk_metric_001,57,d6adbeb9fd788173ba0cb5d1,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Div>Add>Abs>Mean,"CSRank(Div(ZScore(Div(Std($close,30),Add(Abs(Mean($close,30)),0.000001))),Add(Abs(ZScore(Div($m1_first15_vol,Add(Abs(Mean($amount,30)),0.000001)))),0.000001)))"
50,bk_watchlist,ccbc5f94d7d602a0e776981b,phase3bj_large_1min_001364,5,price_flow_divergence,amount|close,0.04626728824,0.039705864,0.04626728824,1,0.000240163086,4,false,false,true,1,1,bk_metric_001,57,bca5f5525fa4ff824ae4929c,CSRank>Sub>ZScore>Delta>ZScore>Delta,"CSRank(Sub(ZScore(Delta($amount,2)),ZScore(Delta($close,2))))"
51,bk_watchlist,d4515d772acecb37595a0a72,phase3bj_large_1min_008485,5,pure_fresh_cross,close|m1_first30_vwap|volume,0.04594212105,0.04053702919,0.04594212105,1,0.0001752167106,4,false,false,true,2,2,bk_metric_001,57,f83a06154f4aa35bec2c4ff7,CSRank>Sub>ZScore>Div>Sub>Add>Abs>ZScore>Mul>ZScore>Delta>Neg>ZScore>Delta,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Mul(ZScore(Delta($volume,5)),Neg(ZScore(Delta($close,5)))))))"
52,bk_watchlist,4cf69104924b101401bfbc89,phase3bj_large_1min_009505,5,pure_fresh_cross,close|m1_first30_vwap|volume|vwap,0.0457006242,0.04031303103,0.0457006242,1,0.0001731947636,4,false,false,true,2,2,bk_metric_001,57,f83a06154f4aa35bec2c4ff7,CSRank>Sub>ZScore>Div>Sub>Add>Abs>ZScore>Mul>ZScore>Delta>Neg>ZScore>Delta,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Mul(ZScore(Delta($volume,10)),Neg(ZScore(Delta($vwap,10)))))))"
53,bk_watchlist,58296da3e1e9a3896356dce0,phase3bj_large_1min_007981,30,pure_fresh_cross,amount|close,0.04567110084,0.03137101526,-0.04567110084,1,-8.575983534e-05,2,false,false,true,2,2,bk_metric_001,57,37ac16306d7ada712e496d49,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Sub>ZScore>Mean>ZScore>Mean,"CSRank(Div(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),Add(Abs(ZScore(Sub(ZScore(Mean($amount,2)),ZScore(Mean($amount,60))))),0.000001)))"
54,bk_watchlist,08ea6b4e66516be1cb6879c0,phase3bj_large_1min_001497,30,micro_volatility,close,0.0454105026,0.03066580182,-0.0454105026,1,-0.0002774398145,2,false,false,true,7,7,bk_metric_001,57,4433ebfbdac725b2d7b37552,CSRank>Div>Std>Add>Abs>Mean,"CSRank(Div(Std($close,3),Add(Abs(Mean($close,3)),0.000001)))"
55,bk_watchlist,c42ce58cb99ffa4e96782fb2,phase3bj_large_1min_006416,5,pure_fresh_cross,close|m1_first30_vwap|volume,0.04529213292,0.04118077792,0.04529213292,1,0.0001721861102,4,false,false,true,1,1,bk_metric_001,57,e836d6f54aa1f14a066d4b32,CSRank>Sub>ZScore>Div>Sub>Add>Abs>ZScore>Div>Delta>Add>Abs>Add>Std,"CSRank(Sub(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Div(Delta($volume,10),Add(Abs(Add(Std($close,10),0.000001)),0.000001)))))"
56,bk_watchlist,6c8d17fd5fc599eeecf138a5,phase3bj_large_1min_007983,30,pure_fresh_cross,amount|close,0.04522564452,0.03091730515,-0.04522564452,1,-4.152575653e-05,2,false,false,true,2,2,bk_metric_001,57,1da8ce657b75ea1c412faca4,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Delta,"CSRank(Div(ZScore(Div(Std($close,15),Add(Abs(Mean($close,15)),0.000001))),Add(Abs(ZScore(Delta($amount,20))),0.000001)))"
57,bk_watchlist,78641a8de4ed3ea4fa166fa6,phase3bj_large_1min_007582,30,pure_fresh_cross,close|volume,0.0450903713,0.03045675608,-0.0450903713,1,-0.0002075180652,2,false,false,true,2,2,bk_metric_001,57,cecc30d129ebbb7cff530acf,CSRank>Add>ZScore>Div>Delta>Add>Abs>Add>Std>ZScore>Div>Std>Add>Abs>Mean,"CSRank(Add(ZScore(Div(Delta($volume,8),Add(Abs(Add(Std($close,8),0.000001)),0.000001))),ZScore(Div(Std($close,5),Add(Abs(Mean($close,5)),0.000001)))))"
58,bk_watchlist,27e11194642bfa16d4321d31,phase3bj_large_1min_010798,5,pure_fresh_cross,amount|close|m1_first5_vwap,0.04483946668,0.04157547303,0.04483946668,1,0.0001704885872,4,false,false,true,1,1,bk_metric_001,57,ae6adb17b6991d4cd2b39474,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Div>Mean>Add>Abs>Mean,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Div(Mean($amount,3),Add(Abs(Mean($amount,45)),0.000001)))),0.000001)))"
59,bk_watchlist,90cc67b986d52c9d3281f361,phase3bj_large_1min_007076,30,pure_fresh_cross,amount|close,0.04474755612,0.03054524823,-0.04474755612,1,-0.0001022768335,2,false,false,true,2,2,bk_metric_001,57,1da8ce657b75ea1c412faca4,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Delta,"CSRank(Div(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),Add(Abs(ZScore(Delta($amount,2))),0.000001)))"
60,bk_watchlist,6e714c75a26c85a48fee345c,phase3bj_large_1min_012230,30,pure_fresh_cross,close|volume,0.04448381493,0.03054241153,-0.04448381493,1,-0.0001919521249,2,false,false,true,3,3,bk_metric_001,57,07eaef059f8c0d09fbd0cdb0,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Div>Delta>Add>Abs>Add,"CSRank(Div(ZScore(Div(Std($close,8),Add(Abs(Mean($close,8)),0.000001))),Add(Abs(ZScore(Div(Delta($volume,15),Add(Abs(Add(Std($close,15),0.000001)),0.000001)))),0.000001)))"
61,bk_watchlist,3b63c05f44de73d8bc831b83,phase3bj_large_1min_010744,5,pure_fresh_cross,close|m1_first30_vwap|volume,0.04440935752,0.03989761136,0.04440935752,1,0.0001646521019,4,false,false,true,2,2,bk_metric_001,57,a0ff8c918ca120972416e7d6,CSRank>Add>ZScore>Div>Sub>Add>Abs>ZScore>Sub>ZScore>Mean>ZScore>Mean,"CSRank(Add(ZScore(Div(Sub($m1_first30_vwap,$close),Add(Abs($close),0.000001))),ZScore(Sub(ZScore(Mean($volume,5)),ZScore(Mean($volume,45))))))"
62,bk_watchlist,f8c64fb2f6e561418546367b,phase3bj_large_1min_011891,30,pure_fresh_cross,amount|close,0.04437727808,0.03002449142,-0.04437727808,1,-0.0001861359144,2,false,false,true,2,2,bk_metric_001,57,37ac16306d7ada712e496d49,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Sub>ZScore>Mean>ZScore>Mean,"CSRank(Div(ZScore(Div(Std($close,3),Add(Abs(Mean($close,3)),0.000001))),Add(Abs(ZScore(Sub(ZScore(Mean($amount,2)),ZScore(Mean($amount,60))))),0.000001)))"
63,bk_watchlist,fbafe43b46bd441391895230,phase3bj_large_1min_009896,5,pure_fresh_cross,close|m1_first5_vwap|volume,0.04427234625,0.04125460267,0.04427234625,1,0.0001519185177,4,false,false,true,2,2,bk_metric_001,57,4b08dbcb9d89faf37cedda44,CSRank>Div>ZScore>Div>Sub>Add>Abs>Add>Abs>ZScore>Sub>ZScore>Mean>ZScore>Mean,"CSRank(Div(ZScore(Div(Sub($m1_first5_vwap,$close),Add(Abs($close),0.000001))),Add(Abs(ZScore(Sub(ZScore(Mean($volume,8)),ZScore(Mean($volume,45))))),0.000001)))"
64,bk_watchlist,1622250ee7457817ff20f435,phase3bj_large_1min_006811,30,pure_fresh_cross,amount|close,0.04423728096,0.03108832515,-0.04423728096,1,-0.0001091520115,2,false,false,true,1,1,bk_metric_001,57,f75183da3b80f646529d6fbe,CSRank>Div>ZScore>Div>Std>Add>Abs>Mean>Add>Abs>ZScore>Div>Mean>Add>Abs>Mean,"CSRank(Div(ZScore(Div(Std($close,10),Add(Abs(Mean($close,10)),0.000001))),Add(Abs(ZScore(Div(Mean($amount,3),Add(Abs(Mean($amount,60)),0.000001)))),0.000001)))"
