seed,mechanism_id,source,horizon_bars,transform,variant,support,event_reward,matched_control_ceiling,matched_increment,consistent_positive_blocks,top_date_share,top_symbol_share,behavior_identity,behavior_cluster_id,survivor,candidate_promotion
1783,01166fdd6c3a2aab,HOTNESS_CHANGE,15,intensity,raw,2159,-0.0032064710489557425,5.669921885606119e-05,-0.0032631702678118037,2,0.004627487274409995,0.026376677464136973,39eec4533b4a5288889f9384,f35d9887ace974436da4,False,False
1783,16c53855e757c585,CHIP_STRUCTURE_CHANGE,30,intensity,compressed,437940,0.00019896633062097785,1.5796573113993643e-05,0.0001831697575069842,3,0.007062611316618715,0.0005366031876512764,d964cdb5292dc32ef74121a7,cf9076456952aa889b48,True,False
1783,4fbf6cc691461c6c,MARKET_ECOLOGY_TRANSITION,5,pre15_interaction,raw,362,0.008401725412238546,0.0017198416972809855,0.006681883714957561,3,0.0027624309392265192,0.0,c12a30103ade0e941a7a34aa,747104674549be2ebcd9,True,False
1783,7b391e59670c491e,MARKET_ECOLOGY_TRANSITION,15,pre5_interaction,compressed,362,0.0006011249711822715,0.00019343547863431206,0.0004076894925479595,3,0.0027624309392265192,0.0,275038aa2f39111d37e782d8,4d64e6e3b95e17778ecc,True,False
1783,8a64cdfefa6bcc35,CHIP_STRUCTURE_CHANGE,5,pre15_interaction,compressed,437937,1.3883352384830895e-05,5.167029625150609e-06,8.716322759680286e-06,4,0.007062611316618715,0.0005366031876512764,9b22a15d035828599543c9d1,89396217485d0f95605f,True,False
1783,9041949344c58bcf,BILLBOARD_CHANGE,15,direction,raw,7187,0.0005026657491428922,0.00024631883598127003,0.0002563469131616221,4,0.004591623765131487,0.00626130513427021,020c095e719f73602e324a73,10c61ec940c0a1acc42f,True,False
1783,9618ee1100155073,CHIP_STRUCTURE_CHANGE,30,pre15_interaction,raw,437937,-1.0467487465944653e-05,4.459935903587821e-06,-1.4927423369532474e-05,3,0.007062611316618715,0.0005366031876512764,9ccaeebd3aa38fb12244655c,5aff8d775a3e5c5fed78,False,False
1783,ac96e6d4db507a1a,MARKET_ECOLOGY_TRANSITION,30,direction,compressed,362,0.0006820602328041872,0.0005260113396182922,0.00015604889318589503,2,0.0027624309392265192,0.0,3fbfdd5f705ad4350bd8647a,c196640664d93bc1fee2,False,False
1783,b22d9565d0b39241,HOTNESS_CHANGE,30,intensity,compressed,2159,-0.0011060248702672957,2.1222588875077093e-05,-0.0011272474591423728,1,0.004627487274409995,0.026376677464136973,2067dd589464a90a2a1ca42a,e39015f1cfa0caa30cdd,False,False
1783,cf70889cec0c77df,BILLBOARD_CHANGE,5,intensity,compressed,7187,0.0005307954753484179,0.00019080652597248653,0.00033998894937593133,4,0.004591623765131487,0.00626130513427021,0e12c0e346e44c6cf2d2a3aa,a0677915d1f6f3b4d98c,True,False
1783,d42c0973350238e0,MARKET_ECOLOGY_TRANSITION,30,pre15_interaction,raw,362,0.01134264827392513,0.004642378441914318,0.006700269832010812,3,0.0027624309392265192,0.0,c12a30103ade0e941a7a34aa,747104674549be2ebcd9,True,False
2777,01166fdd6c3a2aab,HOTNESS_CHANGE,15,intensity,raw,2159,-0.0032064710489557425,0.002289193694521064,-0.005495664743476807,2,0.004627487274409995,0.026376677464136973,39eec4533b4a5288889f9384,f35d9887ace974436da4,False,False
2777,16c53855e757c585,CHIP_STRUCTURE_CHANGE,30,intensity,compressed,437940,0.00019896633062097785,9.031163871686329e-06,0.00018993516674929153,3,0.007062611316618715,0.0005366031876512764,d964cdb5292dc32ef74121a7,cf9076456952aa889b48,True,False
2777,4fbf6cc691461c6c,MARKET_ECOLOGY_TRANSITION,5,pre15_interaction,raw,362,0.008401725412238546,0.0010537834941079117,0.007347941918130634,3,0.0027624309392265192,0.0,c12a30103ade0e941a7a34aa,747104674549be2ebcd9,True,False
