candidate_id,expression_hash,run,source_round,factor_lane,fields,expression,train_reward,train_day_sortino,train_minute_sortino,train_worst_horizon_day_sortino,train_median_horizon_day_sortino,train_horizon_sortino_stdev,train_day_mcmc_p25,train_day_mcmc_prob_gt_0,train_mean_one_way_turnover,validation_day_sortino,validation_day_mcmc_prob_gt_0,holdout_day_sortino,holdout_day_mcmc_prob_gt_0,inherited_blockers,train_reward_blockers,train_reward_decision,generator_arm,generator_route,seed,round_id,parent_id,mutation_type,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,blocker_flags,phase3ca_proxy_quality,validation_mcmc_prob_gt_0,holdout_mcmc_prob_gt_0
phase3cp_00003,f935251770c9667bfc4d7cbd,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_interaction::rx_range_location::rx_opening_amount::product,close|high|low|m1_first5_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),5))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",-0.58857199,-0.32877161,-0.32877161,-0.33039126,-0.24715265,0.11771718,-0.60666841,0.23,0.82175481,-0.74853556,0,2.61859704,0.65726681,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,HOLD_TRAIN_REWARD,rx_ucb_fresh,search_outputs,,rx_ucb_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,high_turnover,ed6b86d1110a56ffa4,87fee8d17c1e7d99c6,6311c4234f5c,,,,0.82175481,,,0.0,0.65726681
phase3cp_00002,fa31569138d684c28bd7dde3,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_interaction::rx_opening_amount::rx_range_location::spread,amount|high|low|m1_first5_amount|open,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",-0.64821192,-0.58280205,-0.58280205,-0.66967995,-0.58659752,0.1174963,-0.80125401,0,0.35447716,0.19136249,0.57638889,-0.88452287,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,rx_ucb_fresh,search_outputs,,rx_ucb_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6dfdc2653ce052bd27,0881b8b05eb644e6d5,9fcbc555e2eb,,,,0.35447716,,,0.57638889,0.0
phase3cp_00008,d79ef720c2510971b68cb4e3,search_outputs,typed_ast_fresh/round1_scheduler_controlled,cem_interaction::rx_opening_amount::rx_range_location::spread,amount|high|low|m1_first15_amount|open,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",-0.84887634,-0.75227589,-0.75227589,-0.86029504,-0.73341123,0.1794408,-0.82582937,0,0.62317995,-0.23255585,0.29948365,-0.99989144,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,cem_exploit,search_outputs,,typed_ast_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,9e96ab1433d465d733,b244beaf15854a7b91,5fa9d9e6c005,,,,0.62317995,,,0.29948365,0.0
phase3cp_00007,c70cc97d5c573accb984ae6f,search_outputs,typed_ast_fresh/round1_scheduler_controlled,cem_interaction::rx_range_location::rx_opening_amount::spread,close|high|low|m1_first30_vol|volume,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-1.20816966,-0.9902977,-0.9902977,-0.97976904,-0.97430467,0.00772779,-0.99396012,0,0.84302885,-0.06795041,0.15632184,-0.99865128,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,HOLD_TRAIN_REWARD,cem_exploit,search_outputs,,typed_ast_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,high_turnover,e1320d40a94aee9778,33b91cd228d05c4f76,6d9e26612dcc,,,,0.84302885,,,0.15632184,0.0
