"rel_path","size_bytes","has_error_token","tail"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0001_stderr.log","1186","True","orkspace\alpha_pit_true1min_engine_20260627_222934_68d1d62eb94e_memfill\src\our_system_phase2\runtime\phase3cm_train_portfolio_sortino_reward_audit.py"", line 357, in _read_train_shard
    raise RuntimeError(f""{panel_path} missing expression fields {missing_fields}"")
RuntimeError: D:\ChengboRemote\data\phase3dz_true1min_sidecar_augmented_full16_20260702\shard_00\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet missing expression fields ['m1_first_ret', 'range_location']
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0001_stdout.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0002_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0002_stdout.log","2778","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0003_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0003_stdout.log","2745","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0004_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0004_stdout.log","2777","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0005_stderr.log","0","False",""
"runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0005_stdout.log","2776","False","_cache"": true, ""operator_subtree_cache"": true, ""expression_cache_scope"": ""per_shard"", ""feature_matrix_cache_scope"": ""per_shard_context_window"", ""operator_cache_scope"": ""per_shard_context_window"", ""fast_portfolio_loop"": true, ""numba_rank_available"": true, ""numba_rank_enabled"": true, ""operator_cache_max_entries"": 64, ""feature_matrix_cache_max_windows"": 1, ""fast_group_rank"": true, ""omp_threads"": ""1"", ""mkl_threads"": ""1"", ""numexpr_max_threads"": ""4"", ""parallel_workers"": 1, ""global_worker_limit"": 1}}
"
