"layer","stage","rel_path","size_bytes","data_rows"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_train_reward.csv","1235513","1008"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0002\phase3cm_train_reward.csv","13720","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0003\phase3cm_train_reward.csv","13942","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0004\phase3cm_train_reward.csv","13529","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0005\phase3cm_train_reward.csv","12605","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0006\phase3cm_train_reward.csv","12493","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0007\phase3cm_train_reward.csv","12308","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0008\phase3cm_train_reward.csv","11195","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0009\phase3cm_train_reward.csv","11711","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0010\phase3cm_train_reward.csv","12113","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0011\phase3cm_train_reward.csv","12209","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0012\phase3cm_train_reward.csv","11853","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0013\phase3cm_train_reward.csv","11463","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0014\phase3cm_train_reward.csv","11714","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0015\phase3cm_train_reward.csv","11460","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0016\phase3cm_train_reward.csv","12621","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0017\phase3cm_train_reward.csv","11032","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0018\phase3cm_train_reward.csv","12428","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0019\phase3cm_train_reward.csv","12959","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0020\phase3cm_train_reward.csv","13100","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0021\phase3cm_train_reward.csv","11377","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0022\phase3cm_train_reward.csv","10555","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0023\phase3cm_train_reward.csv","11972","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0024\phase3cm_train_reward.csv","11352","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0025\phase3cm_train_reward.csv","12654","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0026\phase3cm_train_reward.csv","10896","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0027\phase3cm_train_reward.csv","12604","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0028\phase3cm_train_reward.csv","11711","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0029\phase3cm_train_reward.csv","13116","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0030\phase3cm_train_reward.csv","12508","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0031\phase3cm_train_reward.csv","13038","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_chunks\candidate_subchunk_0032\phase3cm_train_reward.csv","13027","8"
