behavior_cluster_id,candidate_id,clock_namespace,control_candidate_id,pair_id,performance_selected,policy_id,preflight_ordinal,route_id,seed,skeleton_id
5300,cn.comp.139919dc6d410acad453,stock_session,cn.comp.139919dc6d410acad453.control,cn.pair.95791760a6c8e57a7b2f14678dc82ecc,False,stratified_typed_random,1,DISCLOSURE_EVENT,31415,cn.comp.v2.disclosure_event.event_age
5335,cn.comp.14a0c5a404e94f447996,stock_session,cn.comp.14a0c5a404e94f447996.control,cn.pair.37a4c1ff0a61900ff4f19228b84ee8f6,False,diversity_preserving_cem,2,DISCLOSURE_EVENT,1729,cn.comp.v2.disclosure_event.event_first_hit
5620,cn.comp.1cd90075384b59e2c9bb,stock_session,cn.comp.1cd90075384b59e2c9bb.control,cn.pair.1b9f66f5515575ceecd6d3b6e92e038c,False,evolutionary_mutation,3,DISCLOSURE_EVENT,2718,cn.comp.v2.disclosure_event.event_prior_condition
7295,cn.comp.51ea6181b202080fde09,stock_session,cn.comp.51ea6181b202080fde09.control,cn.pair.f23b52d4dd96c733cbfe1e64f079064e,False,uct_ucb_structural_search,4,DISCLOSURE_EVENT,65537,cn.comp.v2.disclosure_event.repeated_event_suppression
8,cn.comp.004beeac754c1d957b5e,active_bar,cn.comp.004beeac754c1d957b5e.control,cn.pair.a13952aac2db53c408a8ce40fb753fa0,False,evolutionary_mutation,5,FIRSTN_PATH,31415,cn.comp.v2.firstn_path.firstn_path_state
11,cn.comp.0078ffdf6ff7942322c1,active_bar,cn.comp.0078ffdf6ff7942322c1.control,cn.pair.ed9dbb9e05d721a9f20b29cb762a35c8,False,diversity_preserving_cem,6,FIRSTN_PATH,65537,cn.comp.v2.firstn_path.opening_path_acceleration
62,cn.comp.02166051383236380f95,active_bar,cn.comp.02166051383236380f95.control,cn.pair.75ad82cb82acf017e72d3f2aa86b5e11,False,uct_ucb_structural_search,7,FIRSTN_PATH,1729,cn.comp.v2.firstn_path.relative_strength_reversal
192,cn.comp.0813b37e10a5faef3f0d,active_bar,cn.comp.0813b37e10a5faef3f0d.control,cn.pair.95b2d91dddf385eff8a56db079d9acb1,False,stratified_typed_random,8,FIRSTN_PATH,2718,cn.comp.v2.firstn_path.opening_imbalance_persistence
12,cn.comp.008067510f2c70180937,active_bar,cn.comp.008067510f2c70180937.control,cn.pair.8c276c8c2e13a4769edfaf9b5fc8c7b4,False,diversity_preserving_cem,9,FIRSTN_PATH,65537,cn.comp.v2.firstn_path.opening_state_residual
48,cn.comp.0157cddcc51c7971e8c0,active_bar,cn.comp.0157cddcc51c7971e8c0.control,cn.pair.705f4ebb77a0be4614c3672d2765984d,False,diversity_preserving_cem,10,INTRADAY_STATE_TRANSITION,65537,cn.comp.v2.intraday_state_transition.transition_persistence
59,cn.comp.01ee73708199d579a925,active_bar,cn.comp.01ee73708199d579a925.control,cn.pair.ed19c2575dbb26727f37f1dffbfe0ee3,False,evolutionary_mutation,11,INTRADAY_STATE_TRANSITION,1729,cn.comp.v2.intraday_state_transition.duration_payload
136,cn.comp.0500527600ac9cf79f59,active_bar,cn.comp.0500527600ac9cf79f59.control,cn.pair.ef9060d8c952810a7be37906fd423709,False,stratified_typed_random,12,INTRADAY_STATE_TRANSITION,31415,cn.comp.v2.intraday_state_transition.state_residual
316,cn.comp.0ddd8dfa965f95c62a1e,active_bar,cn.comp.0ddd8dfa965f95c62a1e.control,cn.pair.75d21f01c33bfd7941c10eddca8e5d31,False,uct_ucb_structural_search,13,INTRADAY_STATE_TRANSITION,2718,cn.comp.v2.intraday_state_transition.conditioned_state_path
1,cn.comp.0005b788298c74987f0e,active_bar,cn.comp.0005b788298c74987f0e.control,cn.pair.f47f5d8a8baa3fd68c4985a6595c5ffb,False,stratified_typed_random,14,MARKET_REGIME_CONDITION,31415,cn.comp.v2.market_regime_condition.regime_conditioned_path
4,cn.comp.001f11ed63fda7eff2f5,active_bar,cn.comp.001f11ed63fda7eff2f5.control,cn.pair.8a25592e33bc8f54da043bd7116f2a6d,False,evolutionary_mutation,15,MARKET_REGIME_CONDITION,1729,cn.comp.v2.market_regime_condition.payload_regime_residual
5,cn.comp.0025f568d532689ff3b9,active_bar,cn.comp.0025f568d532689ff3b9.control,cn.pair.9269e46315f0bc97b2579e9cb10499df,False,uct_ucb_structural_search,16,MARKET_REGIME_CONDITION,65537,cn.comp.v2.market_regime_condition.regime_persistence_gate
94,cn.comp.035e1306d1ca020f3c84,active_bar,cn.comp.035e1306d1ca020f3c84.control,cn.pair.9454e12b3def25fac7a30d9e39ff277e,False,diversity_preserving_cem,17,MARKET_REGIME_CONDITION,2718,cn.comp.v2.market_regime_condition.regime_maturity_payload
9,cn.comp.004d92e1acb484600e52,active_bar,cn.comp.004d92e1acb484600e52.control,cn.pair.fc767527ff61198f1678fb157ea77d08,False,stratified_typed_random,18,MINUTE_STATIC,65537,cn.comp.v2.minute_static.price_volume_interaction
13,cn.comp.008283c6a2fccb93edb2,active_bar,cn.comp.008283c6a2fccb93edb2.control,cn.pair.8988969e2367209cc9db2b565d9e4d85,False,uct_ucb_structural_search,19,MINUTE_STATIC,2718,cn.comp.v2.minute_static.absolute_state_interaction
31,cn.comp.010176cebda604991de2,active_bar,cn.comp.010176cebda604991de2.control,cn.pair.3e7dbbfd8518998c10e75340fc4460b5,False,evolutionary_mutation,20,MINUTE_STATIC,1729,cn.comp.v2.minute_static.dispersion_interaction
200,cn.comp.085cf4ce3d4f08caedc7,active_bar,cn.comp.085cf4ce3d4f08caedc7.control,cn.pair.b0b85227569ad32e01765094ac3e32e4,False,diversity_preserving_cem,21,MINUTE_STATIC,31415,cn.comp.v2.minute_static.field_spread
14,cn.comp.008822b04f162f01856a,active_bar,cn.comp.008822b04f162f01856a.control,cn.pair.aea6393b80b1b891ed1bb8dbd2c110ac,False,evolutionary_mutation,22,MINUTE_STATIC,2718,cn.comp.v2.minute_static.cross_sectional_residual
