access_roles,allow_behavior_equivalence,candidate_id,canonical_expression,canonical_identity,clock_contract,condition_field_ids,control_ablation_rule,control_constructor_id,declared_field_ids,episode_policy,exact_identity,exposure_ledger_required,expression,expression_hash,field_ids,financial_hypothesis,generator_arm,generator_version,input_roles,is_matched_control,legal,matched_control_id,maturity_contract,maturity_contract_registered,maturity_rule,maximum_depth,operator_family,operator_paths,outer_mapping,pair_id,pair_mapping_portfolio_contract,pair_maturity_alignment_policy,pair_member_role,pair_support_alignment_policy,proposal_origin,representation_ids,requires_intrabar_order,round_id,route_id,run,search_role,seed,skeleton_id,source_field_ids,support_unit,typed_route_decision,typed_route_reason,typed_route_rejection_code,unit_signature,uses_future_revision,vote_policy
"[""development""]",False,cn.comp.139919dc6d410acad453,"SafeDiv(1,Add(TimeSince($fund_disclosure_holder_pulse),1),1)",d1f77b21093d7767f48701c1e8a0b7e214693dd2feaa17c5eac13201e98edfcb,episode_observable_time,[],age_to_pulse,cn_compositional_same_fields_disclosure_event_v2,"[""fund_disclosure_holder_pulse""]",UNIQUE_DISCLOSURE_EPISODE,dea6b20e79983e23c2be08423f31383eded8e92ab8c13e784be220b846cbcdd0,True,"SafeDiv(1,Add(TimeSince($fund_disclosure_holder_pulse),1),1)",d76692f981e672c2289ea6dc,"[""fund_disclosure_holder_pulse""]",information decays with disclosure age,stratified_typed_random,cn_typed_compositional_grammar_v2,"[""PRIMARY""]",False,True,cn.comp.139919dc6d410acad453.control,episode maturity plus registered action delay,True,observable disclosure time plus registered action delay,2,TimeSince,"[""root:SafeDiv"", ""root.SafeDiv[1]:Add"", ""root.SafeDiv[1].Add[0]:TimeSince""]",cross_sectional,cn.pair.95791760a6c8e57a7b2f14678dc82ecc,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,PRIMARY,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.9014032fdf4a54b3b31c964baa37e195""]",False,RESOURCE_PREFLIGHT_32,DISCLOSURE_EVENT,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,31415,cn.comp.v2.disclosure_event.event_age,"[""cn.sf.c85042cbf88a455c9d57707708d9f212""]",unique disclosure episode,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,episode-age,False,ONE_SUPPORT_UNIT_ONE_VOTE
"[""development""]",False,cn.comp.139919dc6d410acad453.control,TimeSince($fund_disclosure_holder_pulse),11782065bbb0e685ea4ac297134eedf39a15a1ec943dcfbe453f940b5f06695e,episode_observable_time,[],age_to_pulse,cn_compositional_same_fields_disclosure_event_v2,"[""fund_disclosure_holder_pulse""]",UNIQUE_DISCLOSURE_EPISODE,27db309e1cfc09f3fe1411d87d51b2caf6c4c49324bbd07e18ae5af189e9ce12,True,TimeSince($fund_disclosure_holder_pulse),5ff1ee35cc9cbe85cdc698ea,"[""fund_disclosure_holder_pulse""]",information decays with disclosure age,stratified_typed_random,cn_typed_compositional_grammar_v2,"[""PRIMARY""]",True,True,cn.comp.139919dc6d410acad453,episode maturity plus registered action delay,True,observable disclosure time plus registered action delay,2,TimeSince,"[""root:TimeSince""]",cross_sectional,cn.pair.95791760a6c8e57a7b2f14678dc82ecc,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,CONTROL,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.9014032fdf4a54b3b31c964baa37e195""]",False,RESOURCE_PREFLIGHT_32,DISCLOSURE_EVENT,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,31415,cn.comp.v2.disclosure_event.event_age,"[""cn.sf.c85042cbf88a455c9d57707708d9f212""]",unique disclosure episode,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,episode-age,False,CONTROL_NO_SEPARATE_VOTE
"[""development""]",False,cn.comp.14a0c5a404e94f447996,"FirstHit($fund_disclosure_holder_pulse,20)",3824c53bd2870f850baa6df07b3ff646dd9b3d93177fdebf287ca102a439cb3a,episode_observable_time,[],first_hit_to_recency,cn_compositional_same_fields_disclosure_event_v2,"[""fund_disclosure_holder_pulse""]",UNIQUE_DISCLOSURE_EPISODE,5170c2a84b3f44264287cc800007f5fe1df0c09321c5222fcaa7385b5ef67989,True,"FirstHit($fund_disclosure_holder_pulse,20)",441d2362a2fdc5ed01bbe14e,"[""fund_disclosure_holder_pulse""]",first event timing differs from repeated occurrence,diversity_preserving_cem,cn_typed_compositional_grammar_v2,"[""PRIMARY""]",False,True,cn.comp.14a0c5a404e94f447996.control,episode maturity plus registered action delay,True,observable disclosure time plus registered action delay,3,FirstHit,"[""root:FirstHit""]",cross_sectional,cn.pair.37a4c1ff0a61900ff4f19228b84ee8f6,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,PRIMARY,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.9014032fdf4a54b3b31c964baa37e195""]",False,RESOURCE_PREFLIGHT_32,DISCLOSURE_EVENT,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,1729,cn.comp.v2.disclosure_event.event_first_hit,"[""cn.sf.c85042cbf88a455c9d57707708d9f212""]",unique disclosure episode,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,episode-position,False,ONE_SUPPORT_UNIT_ONE_VOTE
"[""development""]",False,cn.comp.14a0c5a404e94f447996.control,TimeSince($fund_disclosure_holder_pulse),11782065bbb0e685ea4ac297134eedf39a15a1ec943dcfbe453f940b5f06695e,episode_observable_time,[],first_hit_to_recency,cn_compositional_same_fields_disclosure_event_v2,"[""fund_disclosure_holder_pulse""]",UNIQUE_DISCLOSURE_EPISODE,27db309e1cfc09f3fe1411d87d51b2caf6c4c49324bbd07e18ae5af189e9ce12,True,TimeSince($fund_disclosure_holder_pulse),0048bce72cf2a11422dcadee,"[""fund_disclosure_holder_pulse""]",first event timing differs from repeated occurrence,diversity_preserving_cem,cn_typed_compositional_grammar_v2,"[""PRIMARY""]",True,True,cn.comp.14a0c5a404e94f447996,episode maturity plus registered action delay,True,observable disclosure time plus registered action delay,3,FirstHit,"[""root:TimeSince""]",cross_sectional,cn.pair.37a4c1ff0a61900ff4f19228b84ee8f6,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,CONTROL,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.9014032fdf4a54b3b31c964baa37e195""]",False,RESOURCE_PREFLIGHT_32,DISCLOSURE_EVENT,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,1729,cn.comp.v2.disclosure_event.event_first_hit,"[""cn.sf.c85042cbf88a455c9d57707708d9f212""]",unique disclosure episode,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,episode-position,False,CONTROL_NO_SEPARATE_VOTE
"[""development""]",False,cn.comp.1cd90075384b59e2c9bb,"Mul(EventCount($fund_disclosure_balance_pulse,1),Sign(TimeSince($fund_disclosure_holder_pulse)))",36d92e03979cfb362ffc4bce48343afe6ce84b42b0cc499f5353792fbd4187dd,episode_observable_time,[],remove_condition_gate,cn_compositional_same_fields_disclosure_event_v2,"[""fund_disclosure_balance_pulse"", ""fund_disclosure_holder_pulse""]",UNIQUE_DISCLOSURE_EPISODE,1964a18738f1299cdce2f76966391de5aa2ec4acd203fee4b94904e9ac3ba665,True,"Mul(EventCount($fund_disclosure_balance_pulse,1),Sign(TimeSince($fund_disclosure_holder_pulse)))",9aba806efc3705bed157adef,"[""fund_disclosure_balance_pulse"", ""fund_disclosure_holder_pulse""]",prior PIT condition changes event impact,evolutionary_mutation,cn_typed_compositional_grammar_v2,"[""PRIMARY"", ""CONDITION_ONLY""]",False,True,cn.comp.1cd90075384b59e2c9bb.control,episode maturity plus registered action delay,True,observable disclosure time plus registered action delay,4,EventWindow,"[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign"", ""root.Mul[1].Sign[0]:TimeSince""]",cross_sectional,cn.pair.1b9f66f5515575ceecd6d3b6e92e038c,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,PRIMARY,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.d492f654855668bd8d928f7c52d9e376"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]",False,RESOURCE_PREFLIGHT_32,DISCLOSURE_EVENT,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,2718,cn.comp.v2.disclosure_event.event_prior_condition,"[""cn.sf.60d83a7afdd194b37a2c575c23983508"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]",unique disclosure episode,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,dimensionless-gated,False,ONE_SUPPORT_UNIT_ONE_VOTE
"[""development""]",False,cn.comp.1cd90075384b59e2c9bb.control,"Add(TimeSince($fund_disclosure_balance_pulse),Mul(0,TimeSince($fund_disclosure_holder_pulse)))",aeeaecb364a362775a4dd2c215d0c9c632fc12ef7170ef7502ed84165019971c,episode_observable_time,[],remove_condition_gate,cn_compositional_same_fields_disclosure_event_v2,"[""fund_disclosure_balance_pulse"", ""fund_disclosure_holder_pulse""]",UNIQUE_DISCLOSURE_EPISODE,7017bd4d54ac471154d418f5db9797320f81dcf70eaf023d48f77360ac65eea5,True,"Add(TimeSince($fund_disclosure_balance_pulse),Mul(0,TimeSince($fund_disclosure_holder_pulse)))",4591d4c75d56eef2b3d6c058,"[""fund_disclosure_balance_pulse"", ""fund_disclosure_holder_pulse""]",prior PIT condition changes event impact,evolutionary_mutation,cn_typed_compositional_grammar_v2,"[""PRIMARY"", ""CONDITION_ONLY""]",True,True,cn.comp.1cd90075384b59e2c9bb,episode maturity plus registered action delay,True,observable disclosure time plus registered action delay,4,EventWindow,"[""root:Add"", ""root.Add[0]:TimeSince"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",cross_sectional,cn.pair.1b9f66f5515575ceecd6d3b6e92e038c,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,CONTROL,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.d492f654855668bd8d928f7c52d9e376"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]",False,RESOURCE_PREFLIGHT_32,DISCLOSURE_EVENT,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,2718,cn.comp.v2.disclosure_event.event_prior_condition,"[""cn.sf.60d83a7afdd194b37a2c575c23983508"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]",unique disclosure episode,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,dimensionless-gated,False,CONTROL_NO_SEPARATE_VOTE
"[""development""]",False,cn.comp.51ea6181b202080fde09,"SafeDiv(EventCount($fund_disclosure_holder_pulse,5),Add(EventCount($fund_disclosure_holder_pulse,20),1),1)",c28a70a3bc871f9a121b132291d340e383219aeaf8ce76c111b92a8f91bd0a1f,episode_observable_time,[],count_to_first_event,cn_compositional_same_fields_disclosure_event_v2,"[""fund_disclosure_holder_pulse""]",UNIQUE_DISCLOSURE_EPISODE,df7d6f9b5b66621ebc59bc3a55f5825bb127918a556410c51bf569024f6939a1,True,"SafeDiv(EventCount($fund_disclosure_holder_pulse,5),Add(EventCount($fund_disclosure_holder_pulse,20),1),1)",d59c7768a4b878748493db17,"[""fund_disclosure_holder_pulse""]",repeated events contain less incremental information,uct_ucb_structural_search,cn_typed_compositional_grammar_v2,"[""PRIMARY""]",False,True,cn.comp.51ea6181b202080fde09.control,episode maturity plus registered action delay,True,observable disclosure time plus registered action delay,3,EventCount,"[""root:SafeDiv"", ""root.SafeDiv[0]:EventCount"", ""root.SafeDiv[1]:Add"", ""root.SafeDiv[1].Add[0]:EventCount""]",cross_sectional,cn.pair.f23b52d4dd96c733cbfe1e64f079064e,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,PRIMARY,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.9014032fdf4a54b3b31c964baa37e195""]",False,RESOURCE_PREFLIGHT_32,DISCLOSURE_EVENT,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,65537,cn.comp.v2.disclosure_event.repeated_event_suppression,"[""cn.sf.c85042cbf88a455c9d57707708d9f212""]",unique disclosure episode,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,event-count,False,ONE_SUPPORT_UNIT_ONE_VOTE
"[""development""]",False,cn.comp.51ea6181b202080fde09.control,TimeSince($fund_disclosure_holder_pulse),11782065bbb0e685ea4ac297134eedf39a15a1ec943dcfbe453f940b5f06695e,episode_observable_time,[],count_to_first_event,cn_compositional_same_fields_disclosure_event_v2,"[""fund_disclosure_holder_pulse""]",UNIQUE_DISCLOSURE_EPISODE,27db309e1cfc09f3fe1411d87d51b2caf6c4c49324bbd07e18ae5af189e9ce12,True,TimeSince($fund_disclosure_holder_pulse),a5d70a07b0160233559310de,"[""fund_disclosure_holder_pulse""]",repeated events contain less incremental information,uct_ucb_structural_search,cn_typed_compositional_grammar_v2,"[""PRIMARY""]",True,True,cn.comp.51ea6181b202080fde09,episode maturity plus registered action delay,True,observable disclosure time plus registered action delay,3,EventCount,"[""root:TimeSince""]",cross_sectional,cn.pair.f23b52d4dd96c733cbfe1e64f079064e,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,CONTROL,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.9014032fdf4a54b3b31c964baa37e195""]",False,RESOURCE_PREFLIGHT_32,DISCLOSURE_EVENT,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,65537,cn.comp.v2.disclosure_event.repeated_event_suppression,"[""cn.sf.c85042cbf88a455c9d57707708d9f212""]",unique disclosure episode,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,event-count,False,CONTROL_NO_SEPARATE_VOTE
"[""development""]",False,cn.comp.0015774e241b02955f6e,"CSRank(SafeDiv(ZScore($fund_liquidity_cash_current_liab),ZScore($ctx_hfq_ps_ttm),0.05))",4b09b48ef6a8b72d229e5e9645c2853512789fbb9e05b60cae0fd9d1de13f7b3,latest_PIT_observable_version_before_session,[],remove_ratio_denominator,cn_compositional_same_fields_slow_cross_sectional_level_v2,"[""fund_liquidity_cash_current_liab"", ""ctx_hfq_ps_ttm""]",,58b7fbbd7186a5fb7f124a12aa00c2d979490f648ec31cfdda4aba440f3ab31e,True,"CSRank(SafeDiv(ZScore($fund_liquidity_cash_current_liab),ZScore($ctx_hfq_ps_ttm),0.05))",b88c9b27bf5844e5417a2bea,"[""ctx_hfq_ps_ttm"", ""fund_liquidity_cash_current_liab""]",two normalized fundamental levels form a relative ratio,evolutionary_mutation,cn_typed_compositional_grammar_v2,"[""PRIMARY"", ""INTERACTION_ONLY""]",False,True,cn.comp.0015774e241b02955f6e.control,session_open_after_observable_version,False,latest PIT-observable version before session,4,CSRank,"[""root:CSRank"", ""root.CSRank[0]:SafeDiv"", ""root.CSRank[0].SafeDiv[0]:ZScore"", ""root.CSRank[0].SafeDiv[1]:ZScore""]",cross_sectional,cn.pair.3d20fb3fda1468e9123041ef2a74be10,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,PRIMARY,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.20edbe38a22c72dc1a51c8152d740f77"", ""cn.rep.041cc2587d78a351f9ca4511b23efff2""]",False,RESOURCE_PREFLIGHT_32,SLOW_CROSS_SECTIONAL_LEVEL,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,1729,cn.comp.v2.slow_cross_sectional_level.fundamental_ratio,"[""cn.sf.30b1d0ad56bcaf789ae3ea7931ff825b"", ""cn.sf.3d34b8e640c583e9d6b9da8325c3006a""]",stock-session cross-section,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,dimensionless-ratio,False,ONE_SUPPORT_UNIT_ONE_VOTE
"[""development""]",False,cn.comp.0015774e241b02955f6e.control,"CSRank(Add(ZScore($fund_liquidity_cash_current_liab),Mul(0,ZScore($ctx_hfq_ps_ttm))))",3b358c7d83972b194a9ad9ddea0fac0139f966c938e9e597e3225d2a28b18a80,latest_PIT_observable_version_before_session,[],remove_ratio_denominator,cn_compositional_same_fields_slow_cross_sectional_level_v2,"[""fund_liquidity_cash_current_liab"", ""ctx_hfq_ps_ttm""]",,a5d0642985ff1bc1ad5e89e164bc64d3f9ebd4d9c9a0f66c521c5d8b9039eef8,True,"CSRank(Add(ZScore($fund_liquidity_cash_current_liab),Mul(0,ZScore($ctx_hfq_ps_ttm))))",4897110a92d4fadb2214697c,"[""ctx_hfq_ps_ttm"", ""fund_liquidity_cash_current_liab""]",two normalized fundamental levels form a relative ratio,evolutionary_mutation,cn_typed_compositional_grammar_v2,"[""PRIMARY"", ""INTERACTION_ONLY""]",True,True,cn.comp.0015774e241b02955f6e,session_open_after_observable_version,False,latest PIT-observable version before session,4,CSRank,"[""root:CSRank"", ""root.CSRank[0]:Add"", ""root.CSRank[0].Add[0]:ZScore"", ""root.CSRank[0].Add[1]:Mul"", ""root.CSRank[0].Add[1].Mul[1]:ZScore""]",cross_sectional,cn.pair.3d20fb3fda1468e9123041ef2a74be10,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,CONTROL,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,typed_compositional_grammar_v2,"[""cn.rep.20edbe38a22c72dc1a51c8152d740f77"", ""cn.rep.041cc2587d78a351f9ca4511b23efff2""]",False,RESOURCE_PREFLIGHT_32,SLOW_CROSS_SECTIONAL_LEVEL,CN_COMPOSITIONAL_RESOURCE_PREFLIGHT,PRIMARY_SEARCH,1729,cn.comp.v2.slow_cross_sectional_level.fundamental_ratio,"[""cn.sf.30b1d0ad56bcaf789ae3ea7931ff825b"", ""cn.sf.3d34b8e640c583e9d6b9da8325c3006a""]",stock-session cross-section,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,dimensionless-ratio,False,CONTROL_NO_SEPARATE_VOTE
