field_ordinal,field_name,parquet_dtype,nullable,typed_category,field_group,search_route,availability_contract,direct_formula_allowed,typed_search_allowed,primitive_policy,contract_source,verification
1,code,large_string,true,timestamp_or_key,metadata_or_key,excluded_from_formula_search,identity_time_or_provenance_only,false,false,not_a_feature,base_true1min_schema,parquet_schema
2,trade_time,timestamp[ns],true,timestamp_or_key,metadata_or_key,excluded_from_formula_search,identity_time_or_provenance_only,false,false,not_a_feature,base_true1min_schema,parquet_schema
3,date,timestamp[ns],true,timestamp_or_key,metadata_or_key,excluded_from_formula_search,identity_time_or_provenance_only,false,false,not_a_feature,base_true1min_schema,parquet_schema
4,open,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
5,high,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
6,low,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
7,close,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
8,vol,int64,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
9,amount,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
10,pct_chg,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
11,exec_date,large_string,true,coverage_sensitive,metadata_or_key,excluded_from_formula_search,identity_time_or_provenance_only,false,false,not_a_feature,base_true1min_schema,parquet_schema
12,signal_time,timestamp[ns],true,coverage_sensitive,metadata_or_key,excluded_from_formula_search,identity_time_or_provenance_only,false,false,not_a_feature,base_true1min_schema,parquet_schema
13,volume,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
14,amount_yuan,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
15,vwap,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
16,ret_1m,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
17,intraday_ret_from_open,float,true,continuous_minute,raw_minute,continuous_true1min,at_or_before_current_trade_time,true,true,ordinary_numeric_with_typed_gate,base_true1min_schema,parquet_schema
18,dataset_route_id,large_string,true,coverage_sensitive,metadata_or_key,excluded_from_formula_search,identity_time_or_provenance_only,false,false,not_a_feature,base_true1min_schema,parquet_schema
19,label_horizon,large_string,true,text_or_label,metadata_or_key,excluded_from_formula_search,identity_time_or_provenance_only,false,false,not_a_feature,base_true1min_schema,parquet_schema
20,m1_first5_bars,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
21,m1_first5_vol,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
22,m1_first5_amount,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
23,m1_first5_high,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
24,m1_first5_low,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
25,m1_first5_last_close,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
26,m1_first5_vwap,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
27,m1_first5_vwap_return_vs_open,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
28,m1_first5_last_return_vs_open,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
29,m1_first5_range,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_5_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
30,m1_first15_bars,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
31,m1_first15_vol,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
32,m1_first15_amount,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
33,m1_first15_high,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
34,m1_first15_low,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
35,m1_first15_last_close,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
36,m1_first15_vwap,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
37,m1_first15_vwap_return_vs_open,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
38,m1_first15_last_return_vs_open,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
39,m1_first15_range,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_15_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
40,m1_first30_bars,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
41,m1_first30_vol,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
42,m1_first30_amount,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
43,m1_first30_high,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
44,m1_first30_low,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
45,m1_first30_last_close,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
46,m1_first30_vwap,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
47,m1_first30_vwap_return_vs_open,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
48,m1_first30_last_return_vs_open,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
49,m1_first30_range,float,true,firstn_minute_derived,firstn_opening_state,firstn_minute_derived,non_null_after_first_30_observed_bars,true,true,firstn_minute_derived,base_true1min_schema,sampled_5_15_30_bar_maturity_verified_20260711
50,ctx_ths_hot_rank,double,true,coverage_sensitive,lagged_context,lagged_context,previous_available_source_date_lt_exec_date,true,true,coverage_guard_required,phase3cs_sidecar_field_contract,previous_available_source_date_lt_exec_date
