candidate_id,expression_hash,decision,ban_short_verification_status,match_basis,id_only_hash_mismatch,stage0_candidate_id,stage0_expression_hash,stage0_portfolio_mode,stage0_short_allowed,stage0_train_reward,stage0_train_day_sortino,stage0_validation_day_sortino,stage0_holdout_day_sortino,stage0_train_reward_decision,stage0_train_reward_blockers,stage1_candidate_id,stage1_expression_hash,stage1_portfolio_mode,stage1_short_allowed,stage1_train_reward,stage1_train_day_sortino,stage1_validation_day_sortino,stage1_holdout_day_sortino,stage1_train_reward_decision,stage1_train_reward_blockers,source_file,phase3eh_oos_usage,expression,train_reward,train_day_sortino,validation_day_sortino,holdout_day_sortino
cn4_clean_reward_fixture,cn4_clean_reward_hash,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3cx_integrated_train_only_feedback_smoke_20260626\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,,"Rank(Mean($m1_first_ret,5)) - Rank(Std($range_location,10))",0.38,,0.24,-0.11
phase3cp_03445,f3bc9698450d8d8b0e9781c3,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3cy_train_only_realcm_feedback_memory_20260626\phase3cn_search_feedback_memory.csv,,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_price,60,0.8)))",0.37966456,,-0.29240887,0.03383056
phase3cp_03454,d414a051a71e40edc9e2896e,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3cy_train_only_realcm_feedback_memory_20260626\phase3cn_search_feedback_memory.csv,,"Neg(CSRank(MaskedZScore($ctx_ths_hot_last_pct,60,0.8)))",0.33203298,,-0.25258872,0.99761096
phase3cp_07807,446a79f6faff3a488d2edc56,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,,"CSRank(Mul(Sign(ZScore(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001)))),ZScore(Div(Mean($amount,10),Add(Abs(Mean($amount,30)),0.000001)))))",0.19970343,,0.09985171,-0.3
phase3cp_07828,971142570d7f317579726d48,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,,"CSRank(Mul(Sign(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001)))),ZScore(Div(Mean($vol,8),Add(Abs(Mean($vol,20)),0.000001)))))",0.19966292,,0.09983146,-0.3
phase3cp_07781,27a7b92dda809ab3bec58dd5,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,,"CSRank(Mul(Sign(ZScore(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001)))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",0.19965485,,0.09982742,-0.3
phase3cp_07819,7c99ea9aa6783d6eea79f08f,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,,"CSRank(Mul(Sign(ZScore(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001)))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),3))))",0.1996534,,0.0998267,-0.3
phase3cp_07836,96885d08c03aadec15ea673e,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,,"CSRank(Mul(Sign(ZScore(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001)))),ZScore(Delta($amount,30))))",0.19963521,,0.09981761,-0.3
phase3cp_06190,f4dff9502826d66c78045db1,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,,"CSRank(Mul(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),CSRank(MaskedCorr($ctx_rzrq_rzye,$vwap,60,0.8))))",0.19961675,,0.09980837,-0.3
phase3cp_06195,def94a51049440ccbb1f7abe,TRAIN_REWARD_FOLLOWUP_READY,not_in_phase3ei_recheck_by_exact_hash,none,,,,,,,,,,,,,,,,,,,,,,runtime\phase3do_c_local_light_fresh_prep_20260629\phase3cm_reward_fixture\phase3cm_candidate_train_reward_summary.csv,,"CSRank(Mul(ZScore(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001))),CSRank(MaskedCorr($ctx_billboard_deal_net_ratio,$vwap,60,0.8))))",0.19961675,,0.09980837,-0.3
