sampled_at,partition_00_process_ids,partition_00_rss_bytes,partition_01_process_ids,partition_01_rss_bytes,global_rss_bytes,output_bytes
2026-07-19T20:21:17.5888222Z,11164|35076,76107776,54544|58844,80228352,156336128,6435
2026-07-19T20:21:19.7382015Z,11164|34544|35076|39588,367370240,5204|54068|54544|58844,396197888,763568128,6435
2026-07-19T20:21:21.8906535Z,11164|34544|35076|39588,750587904,5204|54068|54544|58844,847355904,1597943808,6435
2026-07-19T20:21:24.0047865Z,11164|34544|35076|39588,5510139904,5204|54068|54544|58844,5865750528,11375890432,6435
2026-07-19T20:21:26.1489178Z,11164|34544|35076|39588,6898511872,5204|54068|54544|58844,6853869568,13752381440,6435
2026-07-19T20:21:28.2418373Z,11164|34544|35076|39588,7602827264,5204|54068|54544|58844,9010864128,16613691392,6435
2026-07-19T20:21:30.3611197Z,11164|34544|35076|39588,7731191808,5204|54068|54544|58844,9138016256,16869208064,6435
2026-07-19T20:21:32.4961744Z,11164|34544|35076|39588,5418082304,5204|54068|54544|58844,6876708864,12294791168,6435
2026-07-19T20:21:34.5685184Z,11164|34544|35076|39588,5700874240,5204|54068|54544|58844,4825825280,10526699520,6435
2026-07-19T20:21:36.6644015Z,11164|34544|35076|39588,5811380224,5204|54068|54544|58844,4946509824,10757890048,6435
2026-07-19T20:21:38.7873165Z,11164|34544|35076|39588,6028546048,5204|54068|54544|58844,6850387968,12878934016,6435
2026-07-19T20:21:40.8877892Z,11164|34544|35076|39588,6838198272,5204|54068|54544|58844,6717337600,13555535872,6435
2026-07-19T20:21:43.0032820Z,11164|34544|35076|39588,6848909312,5204|54068|54544|58844,7517351936,14366261248,6435
2026-07-19T20:21:45.1234312Z,11164|34544|35076|39588,6876082176,5204|54068|54544|58844,7528914944,14404997120,6435
2026-07-19T20:21:47.2752769Z,11164|34544|35076|39588,6000291840,5204|54068|54544|58844,5210791936,11211083776,6435
2026-07-19T20:21:49.4442218Z,11164|34544|35076|39588,6884696064,5204|54068|54544|58844,6377353216,13262049280,1304236
2026-07-19T20:21:51.5646504Z,11164|34544|35076|39588,4647751680,5204|54068|54544|58844,7566213120,12213964800,1304236
2026-07-19T20:21:53.6492965Z,11164|34544|35076|39588,6758862848,5204|54068|54544|58844,5844676608,12603539456,1304236
2026-07-19T20:21:55.7563018Z,11164|34544|35076|39588,7577010176,5204|54068|54544|58844,6966661120,14543671296,1304236
2026-07-19T20:21:57.9281571Z,11164|34544|35076|39588,4818120704,5204|54068|54544|58844,7571632128,12389752832,1304236
2026-07-19T20:22:00.0323752Z,11164|34544|35076|39588,6600683520,5204|54068|54544|58844,6041100288,12641783808,1304236
2026-07-19T20:22:02.1622181Z,11164|34544|35076|39588,5050847232,5204|54068|54544|58844,6595284992,11646132224,1304236
2026-07-19T20:22:04.3091384Z,11164|34544|35076|39588,6401818624,5204|54068|54544|58844,5126979584,11528798208,1304236
2026-07-19T20:22:06.4395355Z,11164|34544|35076|39588,7100411904,5204|54068|54544|58844,6584868864,13685280768,1304236
2026-07-19T20:22:08.5327191Z,11164|34544|35076|39588,5060509696,5204|54068|54544|58844,7779205120,12839714816,1304236
2026-07-19T20:22:10.6206244Z,11164|34544|35076|39588,6695198720,5204|54068|54544|58844,6126264320,12821463040,1304236
2026-07-19T20:22:12.7667610Z,11164|34544|35076|39588,5068800000,5204|54068|54544|58844,7783022592,12851822592,1304236
2026-07-19T20:22:14.8825562Z,11164|34544|35076|39588,5965205504,5204|54068|54544|58844,6412910592,12378116096,1304236
2026-07-19T20:22:17.0359842Z,11164|34544|35076|39588,6632419328,5204|54068|54544|58844,7300341760,13932761088,1304236
2026-07-19T20:22:19.1665058Z,11164|34544|35076|39588,6140837888,5204|54068|54544|58844,5265121280,11405959168,1304236
2026-07-19T20:22:21.3018021Z,11164|34544|35076|39588,6926807040,5204|54068|54544|58844,6105174016,13031981056,1379456
2026-07-19T20:22:23.4406384Z,11164|34544|35076|39588,5999239168,5204|54068|54544|58844,4870410240,10869649408,1379456
2026-07-19T20:22:25.5868847Z,11164|34544|35076|39588,7219412992,5204|54068|54544|58844,7724777472,14944190464,1379456
2026-07-19T20:22:27.7362056Z,11164|34544|35076|39588,5562589184,5204|54068|54544|58844,8178954240,13741543424,1379456
2026-07-19T20:22:29.8326778Z,11164|34544|35076|39588,5950824448,5204|54068|54544|58844,6121811968,12072636416,1379456
2026-07-19T20:22:31.9655379Z,11164|34544|35076|39588,4087996416,5204|54068|54544|58844,7306792960,11394789376,1379456
2026-07-19T20:22:34.0985189Z,11164|34544|35076|39588,8989765632,5204|54068|54544|58844,7035727872,16025493504,1379456
2026-07-19T20:22:36.2103213Z,11164|34544|35076|39588,11448832000,5204|54068|54544|58844,12702924800,24151756800,1379456
2026-07-19T20:22:38.2990101Z,11164|34544|35076|39588,12236001280,5204|54068|54544|58844,13352390656,25588391936,1379456
2026-07-19T20:22:40.3902330Z,11164|34544|35076|39588,13203271680,5204|54068|54544|58844,14278082560,27481354240,1379456
2026-07-19T20:22:42.4795830Z,11164|34544|35076|39588,13704224768,5204|54068|54544|58844,14438801408,28143026176,1379456
2026-07-19T20:22:44.6422562Z,11164|34544|35076|39588,5169258496,5204|54068|54544|58844,11430715392,16599973888,1379456
2026-07-19T20:22:46.7919563Z,11164|34544|35076|39588,6512726016,5204|54068|54544|58844,6262259712,12774985728,1379456
2026-07-19T20:22:48.9298220Z,11164|34544|35076|39588,6989406208,5204|54068|54544|58844,7651627008,14641033216,1379456
2026-07-19T20:22:51.1156772Z,11164|34544|35076|39588,6869938176,5204|54068|54544|58844,5733818368,12603756544,1379456
2026-07-19T20:22:53.2427026Z,11164|34544|35076|39588,7657623552,5204|54068|54544|58844,6955962368,14613585920,74099228
2026-07-19T20:22:55.4025001Z,11164|34544|35076|39588,4711600128,5204|54068|54544|58844,7652237312,12363837440,74099228
2026-07-19T20:22:57.5136473Z,11164|34544|35076|39588,7034961920,5204|54068|54544|58844,6088593408,13123555328,74099228
