"candidate_id","expression_hash","run","source_round","generator_arm","generator_route","source_generator","source_lane","factor_lane","field_family","primitive_family","event_state_family","horizon_bucket","turnover_bucket","family_id","motif_id","subtree_hashes","phase3ca_proxy_quality","proxy_quality","aligned_ic_mean","spread_hit_rate","mean_one_way_turnover","fields","expression","portfolio_mode","short_allowed","train_reward","optimizer_reward","optimizer_reward_source","optimizer_reward_metric","optimizer_reward_split","validation_usage","holdout_usage","train_day_sortino","train_minute_sortino","train_worst_horizon_day_sortino","train_median_horizon_day_sortino","train_horizon_sortino_stdev","train_day_mcmc_p25","train_day_mcmc_prob_gt_0","train_mean_one_way_turnover","train_rank_ic_mean","train_rank_ic_hit_rate","train_rank_ic_loss","train_rank_ic_reward_component","train_rank_ic_obs","train_regime_stability_score","train_regime_reward_component","train_regime_worst_day_sortino","train_regime_median_day_sortino","train_regime_positive_share","train_regime_count","train_regime_method","train_regime_rows","validation_day_sortino","validation_day_mcmc_prob_gt_0","validation_rank_ic_mean","validation_rank_ic_loss","holdout_day_sortino","holdout_day_mcmc_prob_gt_0","holdout_rank_ic_mean","holdout_rank_ic_loss","inherited_blockers","train_reward_blockers","train_reward_decision","seed","round_id","parent_id","mutation_type","blocker_flags","validation_mcmc_prob_gt_0","holdout_mcmc_prob_gt_0"
"phase3cp_17360","76a331c865ca6bb8314b891e","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_range_location::coverage_guarded_context::elite_inverted_product","lagged_context+range_location","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","aefb2433dbad968546","eb37f2232c51056e55","403f5a5dd59b","0.24317221","0.0404013","0.0404013","0.55656182","0.48","close|ctx_rzrq_rzyezb|high|low","Neg(CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),CSRank(ValidRatioGate($ctx_rzrq_rzyezb,60,0.8)))))","long_only_top","false","0.22610725","0.22610725","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.02897237","0.02580421","-0.06371591","0.03982976","0.04822924","-0.04271462","0.60166667","0.65046129","0.12349485","0.98253275","-0.12349485","0.35","229","-0.5001211","-0.04000969","-0.76941708","0.03022636","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.76941708, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.8298698, ""regime"": ""market_mid""}]","-0.09990719","0.26166667","0.11599573","-0.11599573","0.01263062","0.50833333","0.11172349","-0.11172349","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.26166667","0.50833333"
"phase3cp_17288","e5021e3265bbfaf74517dc65","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_range_location::coverage_guarded_context::elite_inverted_product","range_location","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","2fddc229124b4e906f","db0635309da8d2d4be","87ae45213d7b","0.24317221","0.0404013","0.0404013","0.55656182","0.48","close|ctx_hfq_ps_ttm|high|low","Neg(CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),CSRank(ValidRatioGate($ctx_hfq_ps_ttm,60,0.8)))))","long_only_top","false","0.21113811","0.21113811","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.01913232","0.01745687","-0.10220908","0.01399922","0.06578243","-0.04994443","0.56833333","0.65110684","0.11281077","0.98253275","-0.11281077","0.35","229","-0.47516721","-0.03801338","-0.73102648","-0.12857176","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.73102648, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.47388296, ""regime"": ""market_mid""}]","-0.14725035","0.175","0.10860808","-0.10860808","0.01349695","0.52","0.10470154","-0.10470154","","non_positive_worst_horizon_train_sortino|weak_train_day_mcmc","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.175","0.52"
"phase3cp_19026","4822ff582d26d71eda9a4227","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_intraday_return::coverage_guarded_context::elite_inverted_product","lagged_context","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","1c4a7e221212c8c51e","5a3f99b29acd365026","1550148ae5a4","0.2440583","0.04066042","0.04066042","0.55692459","0.48","close|ctx_rzrq_rzye","Neg(CSRank(Mul(ZScore(Delta(Div(Sub($close,Delay($close,1)),Add(Abs(Delay($close,1)),0.000001)),30)),CSRank(MaskedZScore($ctx_rzrq_rzye,60,0.8)))))","long_only_top","false","0.10525077","0.10525077","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","-0.01440034","-0.01310231","-0.18154435","-0.00506394","0.08458223","-0.08554374","0.44666667","0.72847108","0.08578981","0.9650655","-0.08578981","0.35","229","-0.50601116","-0.04048089","-0.7784787","-0.32096125","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.7784787, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.13655619, ""regime"": ""market_mid""}]","-0.11788502","0.23666667","0.07647923","-0.07647923","-0.06466015","0.38","0.07535734","-0.07535734","","non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.23666667","0.38"
"phase3cp_17239","44b029ba7babf8f703698ad5","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_range_location::coverage_guarded_context::elite_inverted_product","range_location","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","e56e1badd3196e8ad4","bae5d74db43626598a","6c595d41fbfa","0.24317221","0.0404013","0.0404013","0.55656182","0.48","close|ctx_sent_zb_num|high|low","Neg(CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),CSRank(ValidRatioGate($ctx_sent_zb_num,60,0.8)))))","long_only_top","false","0.09200243","0.09200243","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","-0.01266446","-0.01146851","-0.07928719","-0.0010114","0.04495556","-0.08138598","0.455","0.78577338","0.13058735","0.98689956","-0.13058735","0.35","229","-0.4762886","-0.03810309","-0.73275169","-0.23316796","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.73275169, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.26641577, ""regime"": ""market_mid""}]","-0.10499171","0.295","0.12367554","-0.12367554","-0.0065586","0.50333333","0.12192633","-0.12192633","","non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.295","0.50333333"
"phase3cp_16834","cc282bba49339d21789c08fb","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_range_location::coverage_guarded_context::elite_inverted_product","flow_amount_volume+range_location","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","1a7a9b3e8fe67b84ea","35ae559664453d5b8f","aa2788e0c31b","0.24319954","0.04040929","0.04040929","0.556573","0.48","amount|close|ctx_sent_damian_num|high|low","Neg(CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),CSRank(SafeCSResidual($ctx_sent_damian_num,$amount,20,5,0.8)))))","long_only_top","false","0.08295773","0.08295773","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","-0.0254731","-0.02312093","-0.08644365","-0.02559698","0.03982292","-0.0826289","0.43166667","0.78573713","0.1313893","0.99122807","-0.1313893","0.35","228","-0.4761566","-0.03809253","-0.73254861","-0.23321074","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.73254861, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.26612713, ""regime"": ""market_mid""}]","-0.0908471","0.32833333","0.12668415","-0.12668415","-0.00669243","0.48166667","0.12192596","-0.12192596","","non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.32833333","0.48166667"
"phase3cp_16859","9da83f34994a608f72b77d07","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_range_location::coverage_guarded_context::elite_inverted_product","flow_amount_volume+range_location","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","9bb5ef463ab3ebde56","3db12f54c51de96288","d02fb3c0b7d1","0.24559354","0.04110929","0.04110929","0.557553","0.48","amount|close|ctx_sent_lt5_num|high|low","Neg(CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),CSRank(SafeCSResidual($ctx_sent_lt5_num,$amount,20,5,0.8)))))","long_only_top","false","0.0815132","0.0815132","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","-0.0254731","-0.02312093","-0.08644365","-0.02559698","0.03982292","-0.08985151","0.40833333","0.78573713","0.1313893","0.99122807","-0.1313893","0.35","228","-0.4761566","-0.03809253","-0.73254861","-0.23321074","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.73254861, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.26612713, ""regime"": ""market_mid""}]","-0.0908471","0.29","0.12668415","-0.12668415","-0.00669243","0.47166667","0.12192596","-0.12192596","","non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.29","0.47166667"
"phase3cp_14996","93aff2d4f2655d433577ebfc","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","rx_interaction::rx_intraday_return::rx_opening_amount::product","flow_amount_volume+intraday_return+opening_state","cross_sectional+time_series+arithmetic+state_transform","opening_state","multi_or_unknown","medium_turnover","2d93c03eebd55ee388","53774c5031ff0c510a","826a64f587a6","0.24298418","0.04034633","0.04034633","0.55648486","0.48","m1_first5_vol|ret_1m|volume","CSRank(Mul(ZScore(Delta($ret_1m,20)),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))","long_only_top","false","0.06070245","0.06070245","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","-0.01708849","-0.01557363","-0.21180355","0.0074347","0.09895178","-0.07914299","0.46333333","0.78056279","0.09017772","0.97345133","-0.09017772","0.35","226","-0.47746631","-0.0381973","-0.73456356","-0.20813845","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.73456356, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.31828665, ""regime"": ""market_mid""}]","-0.095461","0.29666667","0.08409067","-0.08409067","-0.04150171","0.41166667","0.07673297","-0.07673297","","non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.29666667","0.41166667"
"phase3cp_17465","c1ac0332e74543324df65808","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_intraday_return::coverage_guarded_context::elite_inverted_product","flow_amount_volume+intraday_return","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","e79b7ce5985d51d541","365049f74943bd505f","02df961185cb","0.24471484","0.04085238","0.04085238","0.55719334","0.48","amount|ctx_sent_lt5_num|intraday_ret_from_open","Neg(CSRank(Mul(ZScore(Delta($intraday_ret_from_open,10)),CSRank(SafeCSResidual($ctx_sent_lt5_num,$amount,20,5,0.8)))))","long_only_top","false","0.05947705","0.05947705","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","-0.01580437","-0.01438763","-0.25811835","0.00437978","0.11553329","-0.07765855","0.47333333","0.77149382","0.10475346","0.90789474","-0.10475346","0.35","228","-0.44561111","-0.03564889","-0.68555555","-0.19047242","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.68555555, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.30461071, ""regime"": ""market_mid""}]","-0.12159023","0.22166667","0.10125852","-0.10125852","-0.07458197","0.35333333","0.08858781","-0.08858781","","non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.22166667","0.35333333"
"phase3cp_17511","511f1d5821c0f13dc67df24c","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_intraday_return::coverage_guarded_context::elite_inverted_product","flow_amount_volume+intraday_return","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","7a6dea83374f2c290a","d75a6fb225eb72c8a9","b95db33b2034","0.24471484","0.04085238","0.04085238","0.55719334","0.48","amount|ctx_sent_zb_num|intraday_ret_from_open","Neg(CSRank(Mul(ZScore(Delta($intraday_ret_from_open,10)),CSRank(SafeCSResidual($ctx_sent_zb_num,$amount,20,5,0.8)))))","long_only_top","false","0.05942483","0.05942483","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","-0.01580437","-0.01438763","-0.25811835","0.00437978","0.11553329","-0.07791965","0.45666667","0.77149382","0.10475346","0.90789474","-0.10475346","0.35","228","-0.44561111","-0.03564889","-0.68555555","-0.19047242","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.68555555, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.30461071, ""regime"": ""market_mid""}]","-0.12159023","0.23666667","0.10125852","-0.10125852","-0.07458197","0.34","0.08858781","-0.08858781","","non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.23666667","0.34"
"phase3cp_17365","38aad2a6d83204c6c8536d14","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_intraday_return::coverage_guarded_context::elite_inverted_product","flow_amount_volume+intraday_return","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","9a7d8598b107842a31","4e18a7acd6279edf09","7d329533797b","0.24471484","0.04085238","0.04085238","0.55719334","0.48","amount|ctx_sent_gt5_num|intraday_ret_from_open","Neg(CSRank(Mul(ZScore(Delta($intraday_ret_from_open,10)),CSRank(SafeCSResidual($ctx_sent_gt5_num,$amount,20,5,0.8)))))","long_only_top","false","0.05742064","0.05742064","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","-0.01580437","-0.01438763","-0.25811835","0.00437978","0.11553329","-0.08794057","0.44","0.77149382","0.10475346","0.90789474","-0.10475346","0.35","228","-0.44561111","-0.03564889","-0.68555555","-0.19047242","0.5","2","market_return_tercile","[{""day_count"": 48, ""day_sortino"": -0.68555555, ""regime"": ""market_down""}, {""day_count"": 49, ""day_sortino"": 0.30461071, ""regime"": ""market_mid""}]","-0.12159023","0.22166667","0.10125852","-0.10125852","-0.07458197","0.33666667","0.08858781","-0.08858781","","non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.22166667","0.33666667"
