"stage","chunk","expected_rows","final_rows","exit_code","stderr_bytes"
"stage1","candidate_subchunk_0001","8","8","0","0"
"stage1","candidate_subchunk_0002","8","8","0","0"
"stage1","candidate_subchunk_0003","8","8","0","0"
"stage1","candidate_subchunk_0004","8","8","0","0"
"stage1","candidate_subchunk_0005","8","8","0","0"
"stage1","candidate_subchunk_0006","8","8","0","0"
"stage1","candidate_subchunk_0007","8","8","0","0"
"stage1","candidate_subchunk_0008","8","8","0","0"
"stage1","candidate_subchunk_0009","8","0",,"0"
"stage1","candidate_subchunk_0010","8","8","0","0"
"stage1","candidate_subchunk_0011","8","8","0","0"
"stage1","candidate_subchunk_0012","8","8","0","0"
"stage1","candidate_subchunk_0013","8","8","0","0"
"stage1","candidate_subchunk_0014","8","8","0","0"
"stage1","candidate_subchunk_0015","8","8","0","0"
"stage1","candidate_subchunk_0016","8","8","0","0"
