search_memory_key,expression_hash,skeleton_hash,field_set_hash,candidate_id,source_label,source_lane,phase3_budget_bucket,field_family,field_name,expression
phase3ad_new_data:d6d3030f57aadd1d,8b7c46e094ddbda23b18744b,0af4ff3c96abef1e68af5d17,71e8fb28721f63e037b73f82,phase3aa_event_0001_phase3ad_newdata_fundamental_debt_asset_inverse_00001,phase3aj,cn_phase3ad_new_data_feature_layer,fundamental_pit_feature_layer,,,"CSRank(Neg(Div($ctx_fulla_bs_total_liabilities,Add(Abs($ctx_fulla_bs_total_assets),0.000001))))"
v2cand-c965c22e2824,ba8cd9c1b0aaac4a2018e07a,b9e0eda354dd3f1d16704524,a09120527c96e1ad160987c1,phase3aa_event_0001_phase3ae_brepair_v1_00001,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,CSRank($evt_limit_fengdan_rate_last_by_0930)
v2cand-0d4ab3d957e2,ea85bac04a1ef251b966d0d8,ac6b177ac5ee47c4847b2ac5,a09120527c96e1ad160987c1,phase3aa_event_0003_phase3ae_brepair_v1_00003,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,"CSRank(Log(Add(Abs($evt_limit_fengdan_rate_last_by_0930),1)))"
v2cand-b822f0414385,941067f317148385d274db6f,9dc0579ac06ab21cc1d87d9c,a09120527c96e1ad160987c1,phase3aa_event_0004_phase3ae_brepair_v1_00004,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,CSRank(ZScore($evt_limit_fengdan_rate_last_by_0930))
phase3ad_new_data:fe8e0daf166c4e60,374e0a4c209b271c91dde43d,c2641d9cf33f9f7b5b3ead56,dd33f4e806f96955b9fd114d,phase3aa_event_0010_phase3ad_newdata_fundamental_parent_netprofit_margin_00010,phase3aj,cn_phase3ad_new_data_feature_layer,fundamental_pit_feature_layer,,,"CSRank(Div($ctx_fulla_ps_parent_netprofit,Add(Abs($ctx_fulla_ps_total_operate_income),0.000001)))"
v2cand-e77cde0a6e0f,241ad93ee651e4d1d44a3b45,3e4e7a619207cf13e039acfd,059fc2c79128ab35c76ed06b,phase3aa_event_0010_phase3ae_brepair_v1_00010,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,CSRank(Neg($evt_limit_fengdan_rate_last_by_0935))
phase3ad_new_data:8ede7164cad9fdf1,c546bfdd2b9dd35b8b33b628,c2641d9cf33f9f7b5b3ead56,01a2cb8f64a237692cb41e33,phase3aa_event_0011_phase3ad_newdata_fundamental_operate_profit_margin_00011,phase3aj,cn_phase3ad_new_data_feature_layer,fundamental_pit_feature_layer,,,"CSRank(Div($ctx_fulla_ps_operate_profit,Add(Abs($ctx_fulla_ps_total_operate_income),0.000001)))"
v2cand-63e7e49f11bb,46e782d55811720aa947f77b,ac6b177ac5ee47c4847b2ac5,059fc2c79128ab35c76ed06b,phase3aa_event_0011_phase3ae_brepair_v1_00011,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,"CSRank(Log(Add(Abs($evt_limit_fengdan_rate_last_by_0935),1)))"
v2cand-fcec3b35a2d8,b88ad93743a4f4a30efcec9e,9dc0579ac06ab21cc1d87d9c,059fc2c79128ab35c76ed06b,phase3aa_event_0012_phase3ae_brepair_v1_00012,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,CSRank(ZScore($evt_limit_fengdan_rate_last_by_0935))
v2cand-b03394ff9da0,547797a25d3cce9d0f9ece5e,b9e0eda354dd3f1d16704524,8c1d688756e2f67796c06a53,phase3aa_event_0017_phase3ae_brepair_v1_00017,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,CSRank($evt_limit_fengdan_rate_last_by_1000)
