field_uid,field_name,record_kind,data_family,source_table,source_field,entity_scope,semantic_role,field_role,pit_status,materialization_status,search_status,recommended_routes,information_status,information_qualified,core_pack_selected,coverage,sample_unique,normalized_entropy,temporal_change_rate,semantic_support_group,qualification_state,qualification_reason,raw_generator_exposure,blocked_reason
capability::amount,amount,CAPABILITY_FIELD,raw_1min,true1min_augmented_panel,amount,STOCK,primary,primary,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MINUTE_STATIC|FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION,EVALUATED_DEVELOPMENT_ONLY,True,True,1.0,197073,0.999999999623285,0.9935614646550813,TRUE1MIN::raw_1min,,,,
capability::amount_yuan,amount_yuan,CAPABILITY_FIELD,raw_1min,true1min_augmented_panel,amount_yuan,STOCK,primary,primary,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MINUTE_STATIC|FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION,EVALUATED_DEVELOPMENT_ONLY,True,False,1.0,197073,0.999999999623285,0.9935614646550813,TRUE1MIN::raw_1min,,,,
capability::broad_event_01166fdd6c3a2aab,broad_event_01166fdd6c3a2aab,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,HOTNESS_CHANGE,STOCK,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_16c53855e757c585,broad_event_16c53855e757c585,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,STOCK,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_4fbf6cc691461c6c,broad_event_4fbf6cc691461c6c,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,MARKET,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_7b391e59670c491e,broad_event_7b391e59670c491e,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,MARKET,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_8a64cdfefa6bcc35,broad_event_8a64cdfefa6bcc35,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,STOCK,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_9041949344c58bcf,broad_event_9041949344c58bcf,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,BILLBOARD_CHANGE,STOCK,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_9618ee1100155073,broad_event_9618ee1100155073,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,STOCK,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
capability::broad_event_ac96e6d4db507a1a,broad_event_ac96e6d4db507a1a,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,MARKET,frozen_event_entry,condition-only,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,1.0,0,0.0,0.0,BROAD_EVENT::frozen_entry,,,,
