field_id,row_count,finite_count,coverage,sample_count,sample_unique,normalized_entropy,temporal_comparison_count,temporal_change_rate,cross_sectional_std_mean,minimum,maximum,context,data_family,field_role,semantic_role,support_unit,semantic_support_group,information_status,information_qualified,coverage_basis,variation_basis,activation_rate,representation_id,route_id
amount,446443583,446443583,1.0,246569,197073,0.999999999623285,246174,0.9935614646550813,1114647.5912283347,0.0,530169600.0,TRUE1MIN,raw_1min,primary,primary,minute row deterministic coordinate sample,TRUE1MIN::raw_1min,EVALUATED_DEVELOPMENT_ONLY,True,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
amount_yuan,446443583,446443583,1.0,246569,197073,0.999999999623285,246174,0.9935614646550813,1114647.5912283347,0.0,530169600.0,TRUE1MIN,raw_1min,primary,primary,minute row deterministic coordinate sample,TRUE1MIN::raw_1min,EVALUATED_DEVELOPMENT_ONLY,True,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
close,446443583,446443583,1.0,246569,11004,0.9999993175791951,246174,0.9420409953935022,16.55250358581543,0.9300000071525574,455.0,TRUE1MIN,raw_1min,primary,primary,minute row deterministic coordinate sample,TRUE1MIN::raw_1min,EVALUATED_DEVELOPMENT_ONLY,True,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
ctx_billboard_accum_amount,446443583,5342006,0.011965691082628911,2700,1218,0.9999877356869208,1924,0.22972972972972974,1271780807.5736446,2111446.0,134855524352.0,TRUE1MIN,lagged_daily_context,interaction-only,interaction-only,minute row deterministic coordinate sample,TRUE1MIN::lagged_daily_context,EVALUATED_DEVELOPMENT_ONLY,False,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
ctx_billboard_billboard_buy_amt,446443583,5342006,0.011965691082628911,2700,1218,0.9999743207571727,1924,0.22972972972972974,103145280.7411145,471163.0,107430273024.0,TRUE1MIN,lagged_daily_context,interaction-only,interaction-only,minute row deterministic coordinate sample,TRUE1MIN::lagged_daily_context,EVALUATED_DEVELOPMENT_ONLY,False,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
ctx_billboard_billboard_deal_amt,446443583,5342006,0.011965691082628911,2700,1218,0.9999924784689017,1924,0.22972972972972974,231660078.179391,1704300.0,214421995520.0,TRUE1MIN,lagged_daily_context,interaction-only,interaction-only,minute row deterministic coordinate sample,TRUE1MIN::lagged_daily_context,EVALUATED_DEVELOPMENT_ONLY,False,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
ctx_billboard_billboard_net_amt,446443583,5342006,0.011965691082628911,2700,1214,0.9999853500982813,1924,0.22972972972972974,69921258.74249491,-1350831232.0,3895346688.0,TRUE1MIN,lagged_daily_context,interaction-only,interaction-only,minute row deterministic coordinate sample,TRUE1MIN::lagged_daily_context,EVALUATED_DEVELOPMENT_ONLY,False,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
ctx_billboard_billboard_sell_amt,446443583,5338873,0.011958673398604992,2694,1216,0.9999818308000874,1920,0.23020833333333332,129992987.2344408,1215205.0,106991722496.0,TRUE1MIN,lagged_daily_context,interaction-only,interaction-only,minute row deterministic coordinate sample,TRUE1MIN::lagged_daily_context,EVALUATED_DEVELOPMENT_ONLY,False,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
ctx_billboard_buy_ratio,446443583,5342006,0.011965691082628911,2700,1213,0.9999338670776277,1924,0.22972972972972974,7.328658787630402,3.396941661834717,248.8317413330078,TRUE1MIN,lagged_daily_context,interaction-only,interaction-only,minute row deterministic coordinate sample,TRUE1MIN::lagged_daily_context,EVALUATED_DEVELOPMENT_ONLY,False,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
ctx_billboard_deal_amount_ratio,446443583,5342006,0.011965691082628911,2700,1215,0.9999837642961908,1924,0.22972972972972974,11.824897958472667,8.291472434997559,484.2860412597656,TRUE1MIN,lagged_daily_context,interaction-only,interaction-only,minute row deterministic coordinate sample,TRUE1MIN::lagged_daily_context,EVALUATED_DEVELOPMENT_ONLY,False,PARQUET_FOOTER_NULL_COUNT_FULL_RELEASE,DETERMINISTIC_ROW_GROUP_AND_COORDINATE_SAMPLE,,,
