candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,ast_skeleton,ast_operator_sequence,ast_operator_multiset,ast_root_operator,ast_depth,ast_depth_bin,ast_operator_count,ast_operator_count_bin,ast_field_count,ast_field_count_bin,ast_window_count,ast_window_count_bin,ast_max_window,ast_max_window_bin,ast_complexity,ast_complexity_bin,search_memory_key,policy_score,expected_direction,x0_r3_role,note,typed_gate_decision,typed_gate_reason,registry_version
phase3bp_event_00001,fe648cb0a9da7984904696d8,CSRank(EventAge($evt_uplimit_active)),typed_event_state::event_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_active,['evt_uplimit_active'],0,CSRank(EventAge($F)),CSRank>EventAge,CSRank:1|EventAge:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,0,wincount_le_0,0,maxwin_le_0,3,complexity_le_6,phase3bp:fe648cb0a9da7984904696d8,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_active_event_age role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00002,f965906766b187f89928b48d,"Neg(CSRank(WindowStateCount($evt_uplimit_type_code,10)))",typed_event_state::event_payload_state::event_inverted,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_type_code,['evt_uplimit_type_code'],0,"Neg(CSRank(WindowStateCount($F,N)))",Neg>CSRank>WindowStateCount,CSRank:1|Neg:1|WindowStateCount:1,Neg,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,10,maxwin_le_15,5,complexity_le_6,phase3bp:f965906766b187f89928b48d,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_type_code_window_state_count_10 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00003,eeb6171e8ae069ddb72da088,"Neg(CSRank(StateDwell($evt_uplimit_auction_money,5)))",typed_event_state::event_payload_state::event_inverted,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_auction_money,['evt_uplimit_auction_money'],0,"Neg(CSRank(StateDwell($F,N)))",Neg>CSRank>StateDwell,CSRank:1|Neg:1|StateDwell:1,Neg,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,5,complexity_le_6,phase3bp:eeb6171e8ae069ddb72da088,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_auction_money_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00004,e99511a5c5d00ffd7966fead,"CSRank(WindowStateCount($evt_uplimit_auction_buy,10))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_auction_buy,['evt_uplimit_auction_buy'],0,"CSRank(WindowStateCount($F,N))",CSRank>WindowStateCount,CSRank:1|WindowStateCount:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,10,maxwin_le_15,4,complexity_le_6,phase3bp:e99511a5c5d00ffd7966fead,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_auction_buy_window_state_count_10 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00005,e7b39b5dce7299f23f169f87,"CSRank(StateDwell($evt_uplimit_amount,5))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_amount,['evt_uplimit_amount'],0,"CSRank(StateDwell($F,N))",CSRank>StateDwell,CSRank:1|StateDwell:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,4,complexity_le_6,phase3bp:e7b39b5dce7299f23f169f87,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_amount_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00006,e1d31499bb0e99cb9284e4c4,"CSRank(StateDwell($evt_uplimit_fd_close,5))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_fd_close,['evt_uplimit_fd_close'],0,"CSRank(StateDwell($F,N))",CSRank>StateDwell,CSRank:1|StateDwell:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,4,complexity_le_6,phase3bp:e1d31499bb0e99cb9284e4c4,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_fd_close_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00007,da9b2d92991b98c3dde77526,"Neg(CSRank(StateDwell($evt_uplimit_auction_buy,5)))",typed_event_state::event_payload_state::event_inverted,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_auction_buy,['evt_uplimit_auction_buy'],0,"Neg(CSRank(StateDwell($F,N)))",Neg>CSRank>StateDwell,CSRank:1|Neg:1|StateDwell:1,Neg,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,5,complexity_le_6,phase3bp:da9b2d92991b98c3dde77526,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_auction_buy_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00008,d04a40a262d710a15ba4ac67,"Neg(CSRank(WindowStateCount($evt_uplimit_auction_money,10)))",typed_event_state::event_payload_state::event_inverted,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_auction_money,['evt_uplimit_auction_money'],0,"Neg(CSRank(WindowStateCount($F,N)))",Neg>CSRank>WindowStateCount,CSRank:1|Neg:1|WindowStateCount:1,Neg,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,10,maxwin_le_15,5,complexity_le_6,phase3bp:d04a40a262d710a15ba4ac67,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_auction_money_window_state_count_10 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00009,cd7a92e7dc580e4285faffea,"CSRank(StateDwell($evt_uplimit_age_min,5))",typed_event_state::state_lifecycle::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_age_min,['evt_uplimit_age_min'],0,"CSRank(StateDwell($F,N))",CSRank>StateDwell,CSRank:1|StateDwell:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,4,complexity_le_6,phase3bp:cd7a92e7dc580e4285faffea,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_age_min_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
phase3bp_event_00010,cc5a67f72748b552edbe73b8,"CSRank(StateDwell($evt_uplimit_auction_turnover,5))",typed_event_state::event_payload_state::event_rank,phase3bp_true1min_typed_event_state,phase3bp_true1min_typed_event_state,evt_uplimit_auction_turnover,['evt_uplimit_auction_turnover'],0,"CSRank(StateDwell($F,N))",CSRank>StateDwell,CSRank:1|StateDwell:1,CSRank,2,depth_le_2,2,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,4,complexity_le_6,phase3bp:cc5a67f72748b552edbe73b8,0.07,1,read_only_research_candidate,typed event atom evt_uplimit_auction_turnover_state_dwell_5 role=event_state_search class=event_state,allow,no blocked field/primitive combination detected,phase3ce1_typed_primitive_gate_v1_20260618
