field,in_panel,in_sidecar,available
limit_up_any_close_not_open_in_t10,False,False,False
limit_up_any_close_not_open_in_t2,False,False,False
limit_up_any_close_not_open_in_t3,False,False,False
limit_up_any_close_not_open_in_t4,False,False,False
limit_up_any_close_not_open_in_t5,False,False,False
limit_up_any_close_not_open_in_t6,False,False,False
limit_up_any_close_not_open_in_t7,False,False,False
limit_up_any_close_not_open_in_t8,False,False,False
limit_up_any_close_not_open_in_t9,False,False,False
limit_up_any_open_not_close_in_t10,False,False,False
limit_up_any_open_not_close_in_t2,False,False,False
limit_up_any_open_not_close_in_t3,False,False,False
limit_up_any_open_not_close_in_t4,False,False,False
limit_up_any_open_not_close_in_t5,False,False,False
limit_up_any_open_not_close_in_t6,False,False,False
limit_up_any_open_not_close_in_t7,False,False,False
high_board_rank,False,False,False
is_market_high_board,False,False,False
ctx_sent_lb_2_num,True,False,True
ctx_sent_lb_3_num,True,False,True
ctx_sent_max_lb_num,True,False,True
ctx_ths_hot_rank,True,False,True
ctx_ths_hot_rank_diff,True,False,True
ctx_zls_lb_2_num_lag1,True,False,True
ctx_zls_max_lb_num_lag1,True,False,True
ctx_zls_lb_3_num_lag1,True,False,True
ctx_zls_lb_h_num_lag1,True,False,True
ctx_zls_rank_lag1,True,False,True
turnover_ratio,False,False,False
turnover_ratio_real,False,False,False
final_float_market_cap,True,False,True
fund_ocf_to_assets,False,False,False
fund_cash_to_assets,False,False,False
fund_debt_to_assets,False,False,False
fund_current_ratio,False,False,False
fund_netprofit_margin,False,False,False
ctx_fund_bs_cash_to_assets,True,False,True
ctx_fund_ps_netprofit_margin,True,False,True
ctx_fund_ps_operate_profit_margin,True,False,True
ctx_fund_cf_operate_cash_to_netprofit,False,False,False
ctx_fund_ps_research_to_income,True,False,True
ctx_mkt_updown_dt,True,False,True
m1_first5_vwap_return_vs_open,True,False,True
m1_open_gap_vs_preclose,False,False,False
