candidate_id,expression_hash,generator_arm,factor_lane,expression,split,horizon_min,curve_count,day_count,net_mean_return,raw_mean_return,net_hit_rate,minute_sortino,day_sortino,day_mcmc_sortino_p25,day_mcmc_sortino_median,day_mcmc_prob_sortino_gt_0,max_drawdown,mean_one_way_turnover
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,equal_weight_horizon_sleeves,15,15,-0.0017063029,-0.0008873877,0,-0.95536552,-0.95536552,-0.97422958,-0.96067781,0,-0.02529313,0.81891522
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,1,15,15,-0.001476105,-0.0006571898,0,-0.95455755,-0.95455755,-0.97497022,-0.95949297,0,-0.02191581,0.81891522
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,5,15,15,-0.0017757878,-0.0009568726,0,-0.93947408,-0.93947408,-0.95890985,-0.94658885,0,-0.02631132,0.81891522
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,15,15,15,-0.0018670159,-0.0010481007,0,-0.93677615,-0.93677615,-0.95540381,-0.9415559,0,-0.02764574,0.81891522
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",validation,equal_weight_horizon_sleeves,6,6,-0.0013537731,-0.0005760707,0,-0.94509592,-0.94509592,-0.99700506,-0.94554214,0,-0.00809585,0.77770243
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",validation,1,6,6,-0.0012296097,-0.0004519073,0,-0.93273012,-0.93273012,-0.98080644,-0.93729875,0,-0.00735569,0.77770243
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",validation,5,6,6,-0.0014181164,-0.000640414,0,-0.94630542,-0.94630542,-0.97006534,-0.9490787,0,-0.00847929,0.77770243
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",validation,15,6,6,-0.0014135931,-0.0006358906,0.16666667,-0.90021935,-0.90021935,-0.98726633,-0.90229458,0,-0.00845304,0.77770243
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",holdout,equal_weight_horizon_sleeves,6,6,-0.0015161885,-0.0007500427,0,-0.95429715,-0.95429715,-0.97909339,-0.96583634,0,-0.00906339,0.76614583
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",holdout,1,6,6,-0.0013199723,-0.0005538265,0,-0.98069887,-0.98069887,-0.98999734,-0.98581924,0,-0.00789395,0.76614583
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",holdout,5,6,6,-0.0013465932,-0.0005804474,0,-0.96330919,-0.96330919,-0.9775519,-0.96785902,0,-0.00805283,0.76614583
phase3cp_00016,c70cc97d5c573accb984ae6f,typed_ast_fresh,cem_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",holdout,15,6,6,-0.0018820001,-0.0011158543,0,-0.83668058,-0.83668058,-0.93969302,-0.87394342,0,-0.01124353,0.76614583
phase3cp_00012,eb4b97fd2cd1153daeddd57c,typed_ast_fresh,rx_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,equal_weight_horizon_sleeves,15,15,-0.0017363113,-0.000910168,0,-0.97350753,-0.97350753,-0.98751235,-0.97523147,0,-0.02573171,0.82614329
phase3cp_00012,eb4b97fd2cd1153daeddd57c,typed_ast_fresh,rx_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,1,15,15,-0.0015932017,-0.0007670584,0,-0.95669485,-0.95669485,-0.97248893,-0.96084382,0,-0.02363506,0.82614329
phase3cp_00012,eb4b97fd2cd1153daeddd57c,typed_ast_fresh,rx_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,5,15,15,-0.0016433312,-0.0008171879,0,-0.96054976,-0.96054976,-0.99088989,-0.96153051,0,-0.02437008,0.82614329
phase3cp_00012,eb4b97fd2cd1153daeddd57c,typed_ast_fresh,rx_interaction::rx_range_location::rx_opening_amount::spread,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,15,15,15,-0.001972401,-0.0011462577,0,-0.95677117,-0.95677117,-0.9677565,-0.95962369,0,-0.02918363,0.82614329
