candidate_id,route_id,expression,operator_family,seed,proposal_origin,matched_control_id,declared_field_ids,condition_field_ids,is_matched_control,vote_policy,maturity_contract_registered,exposure_ledger_required,access_roles,uses_future_revision,requires_intrabar_order,generator_version,skeleton_id,financial_hypothesis,input_roles,unit_signature,clock_contract,maturity_contract,control_ablation_rule,maximum_depth,support_unit,outer_mapping,search_role,episode_policy,pair_id,control_constructor_id,pair_mapping_portfolio_contract,pair_support_alignment_policy,pair_maturity_alignment_policy,allow_behavior_equivalence,pair_member_role,legal,typed_route_decision,typed_route_rejection_code,typed_route_reason,canonical_expression,canonical_identity,exact_identity,field_ids,source_field_ids,representation_ids,operator_paths,maturity_rule,generator_authority,constructor_profile,generation_attempt_index,generation_stream_id
cn.comp.4d30da6056b2310f573b,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_profit_pulse,1),Sign($fund_ba_accounts_payable_yoy_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.4d30da6056b2310f573b.control,"[""fund_disclosure_profit_pulse"", ""fund_ba_accounts_payable_yoy_at_disclosure""]","[""fund_disclosure_profit_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.ef6cc2e8c13480afb05d9b8e4b0d0fb3,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_profit_pulse,1),Sign($fund_ba_accounts_payable_yoy_at_disclosure))",7d27dbaccc541cb66226d670b7e788e3643fe46686cd4b4f4fd20e143b6b4ed8,139303fb762647bb553187a0e2add748a1fc36a7fd34849475832f3867b5ac19,"[""fund_ba_accounts_payable_yoy_at_disclosure"", ""fund_disclosure_profit_pulse""]","[""cn.sf.e5984e907750728bdd7a9045c518e5e8"", ""cn.sf.e38de6f9f8762c5948fa9062142f26f5""]","[""cn.rep.832d23dd2b86b0dfc6d1a6d2f48e85fc"", ""cn.rep.98737d4edbac05f63bcc5be5a14b7adc""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,4,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.4d30da6056b2310f573b.control,DISCLOSURE_EVENT,"Add($fund_ba_accounts_payable_yoy_at_disclosure,Mul(0,TimeSince($fund_disclosure_profit_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.4d30da6056b2310f573b,"[""fund_disclosure_profit_pulse"", ""fund_ba_accounts_payable_yoy_at_disclosure""]","[""fund_disclosure_profit_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.ef6cc2e8c13480afb05d9b8e4b0d0fb3,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_accounts_payable_yoy_at_disclosure,Mul(0,TimeSince($fund_disclosure_profit_pulse)))",1aaa6e3a188163fa9c410bcd82a64304ffa19e29672a908ce43e2c03ea99c9ac,f9cfea20cb5ed454c1d2008c7e4182b6df100b951de493f251882ccb59dbd348,"[""fund_ba_accounts_payable_yoy_at_disclosure"", ""fund_disclosure_profit_pulse""]","[""cn.sf.e5984e907750728bdd7a9045c518e5e8"", ""cn.sf.e38de6f9f8762c5948fa9062142f26f5""]","[""cn.rep.832d23dd2b86b0dfc6d1a6d2f48e85fc"", ""cn.rep.98737d4edbac05f63bcc5be5a14b7adc""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,4,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.664fabc1689516b415d0,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_profit_pulse,1),Sign($fund_ba_inventory_slope_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.664fabc1689516b415d0.control,"[""fund_disclosure_profit_pulse"", ""fund_ba_inventory_slope_at_disclosure""]","[""fund_disclosure_profit_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.7e80b06ea6ba40a73559f5d246dd78a7,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_profit_pulse,1),Sign($fund_ba_inventory_slope_at_disclosure))",f58fa5e068e1e179c4eb2d7d9826a1f21adad68316f19f8d115ea8080b5585e3,81df9a07451fc4c4116aaad2ded96752c1dc62d8a011d07ad8f1bac0a29421f7,"[""fund_ba_inventory_slope_at_disclosure"", ""fund_disclosure_profit_pulse""]","[""cn.sf.b8125b47ca797d0c04fc5edc8d729586"", ""cn.sf.e38de6f9f8762c5948fa9062142f26f5""]","[""cn.rep.14465ec3c2c6f007c7b908c66cd7e391"", ""cn.rep.98737d4edbac05f63bcc5be5a14b7adc""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,84,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.664fabc1689516b415d0.control,DISCLOSURE_EVENT,"Add($fund_ba_inventory_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_profit_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.664fabc1689516b415d0,"[""fund_disclosure_profit_pulse"", ""fund_ba_inventory_slope_at_disclosure""]","[""fund_disclosure_profit_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.7e80b06ea6ba40a73559f5d246dd78a7,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_inventory_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_profit_pulse)))",3253052f4e43840291020578622155e502d750b5ac492fa20ca588e425084422,a6a1641254d5b10c1df90c4b178a4060c676a5fb0a0dd4851f48284db39ee523,"[""fund_ba_inventory_slope_at_disclosure"", ""fund_disclosure_profit_pulse""]","[""cn.sf.b8125b47ca797d0c04fc5edc8d729586"", ""cn.sf.e38de6f9f8762c5948fa9062142f26f5""]","[""cn.rep.14465ec3c2c6f007c7b908c66cd7e391"", ""cn.rep.98737d4edbac05f63bcc5be5a14b7adc""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,84,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.b022551a984c89b1e738,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_inventory_acceleration_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.b022551a984c89b1e738.control,"[""fund_disclosure_holder_pulse"", ""fund_ba_inventory_acceleration_at_disclosure""]","[""fund_disclosure_holder_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.50522d7e8be5c1721b18890ee6776233,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_inventory_acceleration_at_disclosure))",9d24a0752fa195f7fbf0515479480f18b2c7a48a2d9f2e64d59d5bb2249623dc,ffc5b09302443c800af17212649a46e18ec4a902bd9e0372eefcd965bf306918,"[""fund_ba_inventory_acceleration_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.b8125b47ca797d0c04fc5edc8d729586"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.408cff2592e5b6515fdfb1a6febc2022"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,92,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.b022551a984c89b1e738.control,DISCLOSURE_EVENT,"Add($fund_ba_inventory_acceleration_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.b022551a984c89b1e738,"[""fund_disclosure_holder_pulse"", ""fund_ba_inventory_acceleration_at_disclosure""]","[""fund_disclosure_holder_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.50522d7e8be5c1721b18890ee6776233,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_inventory_acceleration_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",b32fe4217828a8149173784f69dec7d85392f4bbb1f0f10baa117c9627359586,99096c5b32bd213efff256f87355555da85175983f1b56db841bf7baec3f8330,"[""fund_ba_inventory_acceleration_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.b8125b47ca797d0c04fc5edc8d729586"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.408cff2592e5b6515fdfb1a6febc2022"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,92,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.58d4c2c26ea1520068d2,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_accounts_rece_slope_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.58d4c2c26ea1520068d2.control,"[""fund_disclosure_holder_pulse"", ""fund_ba_accounts_rece_slope_at_disclosure""]","[""fund_disclosure_holder_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.7dee173d477dfd79203617658c3da306,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_accounts_rece_slope_at_disclosure))",3b2536d54266760e3d7bee42d9254c2cfc53bf6a6eaceca9be1b04bc05d8e60e,0d9183e1cf2165e9f20b7db962df441a784dff66118a6004fc112e62db3f06c4,"[""fund_ba_accounts_rece_slope_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.663f8c4b2426677fa7730b30dbe4595e"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,116,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.58d4c2c26ea1520068d2.control,DISCLOSURE_EVENT,"Add($fund_ba_accounts_rece_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.58d4c2c26ea1520068d2,"[""fund_disclosure_holder_pulse"", ""fund_ba_accounts_rece_slope_at_disclosure""]","[""fund_disclosure_holder_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.7dee173d477dfd79203617658c3da306,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_accounts_rece_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",7f701ff5b65954f9a22817373c0a9ae8a45ec1b003c66497ef71859d3ed541ef,7f3ab40cf7522f24c5e1748dff53a128416b64ea9c704b90cdf25d18de4441eb,"[""fund_ba_accounts_rece_slope_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.663f8c4b2426677fa7730b30dbe4595e"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,116,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.6c9e871b1f4200fb2350,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_cashflow_pulse,1),Sign($fund_ba_fixed_asset_delta_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.6c9e871b1f4200fb2350.control,"[""fund_disclosure_cashflow_pulse"", ""fund_ba_fixed_asset_delta_at_disclosure""]","[""fund_disclosure_cashflow_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.367bde771be71885458d9e5663843d55,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_cashflow_pulse,1),Sign($fund_ba_fixed_asset_delta_at_disclosure))",3a1cc11c0a7ab5de219f785deb1cda130eab8514c2d96fe5b857fd69f7403ef7,5b964beb21f908485ee02ccbe62b7537710c565f392868e60f4fd3c730c4070e,"[""fund_ba_fixed_asset_delta_at_disclosure"", ""fund_disclosure_cashflow_pulse""]","[""cn.sf.5d1556b20b4bd64f0481038c60683efc"", ""cn.sf.9c00cdc912ddbe4532cd57fc68e1f64a""]","[""cn.rep.8c5d4142f21f2620741da4fd5622915f"", ""cn.rep.6ff4ada7d3c1e936390a10e56a8a3494""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,124,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
cn.comp.6c9e871b1f4200fb2350.control,DISCLOSURE_EVENT,"Add($fund_ba_fixed_asset_delta_at_disclosure,Mul(0,TimeSince($fund_disclosure_cashflow_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.6c9e871b1f4200fb2350,"[""fund_disclosure_cashflow_pulse"", ""fund_ba_fixed_asset_delta_at_disclosure""]","[""fund_disclosure_cashflow_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.367bde771be71885458d9e5663843d55,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_fixed_asset_delta_at_disclosure,Mul(0,TimeSince($fund_disclosure_cashflow_pulse)))",2b41e4b801bc0090d20744b696edf3b2f806e67534e3d4301eab9dd3c4b45f15,f2024bed47077fa2d87ac170b5dab94a459095ed373c7fb13a56e725e62fcfb7,"[""fund_ba_fixed_asset_delta_at_disclosure"", ""fund_disclosure_cashflow_pulse""]","[""cn.sf.5d1556b20b4bd64f0481038c60683efc"", ""cn.sf.9c00cdc912ddbe4532cd57fc68e1f64a""]","[""cn.rep.8c5d4142f21f2620741da4fd5622915f"", ""cn.rep.6ff4ada7d3c1e936390a10e56a8a3494""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,124,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29
