coordinate_set,left,right,exact_correlation,sketch_rank_correlation,same_sketch_cluster,sketch_pair_equivalent,same_exact_cluster
A,phase3cp_00006,phase3cp_00007,0.951598001481838,0.951569161964616,True,True,True
A,phase3cp_00006,phase3cp_00017,0.6743195916715143,0.6742626662480289,False,False,False
A,phase3cp_00006,phase3cp_00019,-0.8151577737434719,-0.815044530058025,False,False,False
A,phase3cp_00006,phase3cp_00021,0.012445196301172768,0.012362395516706827,False,False,False
A,phase3cp_00006,phase3cp_00023,0.01006516878555653,0.010183005690826745,False,False,False
A,phase3cp_00006,phase3cp_00027,-0.04671629433002313,-0.04691254385489588,False,False,False
A,phase3cp_00006,phase3cp_00029,0.04319575257878552,0.04320066232359406,False,False,False
A,phase3cp_00006,phase3cp_00030,-0.04195497783211519,-0.04209713096383408,False,False,False
A,phase3cp_00006,phase3cp_00040,0.002027129549596126,0.002229215722774098,False,False,False
A,phase3cp_00006,phase3cp_00049,-0.05893230803066648,-0.05911832933928518,False,False,False
A,phase3cp_00006,phase3cp_00070,0.04709738826837964,0.047255771338516765,False,False,False
A,phase3cp_00006,phase3cp_00095,-0.004647138014959565,-0.004597337471805915,False,False,False
A,phase3cp_00006,phase3cp_00119,-0.6878795029911811,-0.6878058298281832,False,False,False
A,phase3cp_00006,phase3cp_00157,-0.664894912151791,-0.6648284621813587,False,False,False
A,phase3cp_00006,phase3cp_00159,-0.6462957835441621,-0.6460859510315657,False,False,False
A,phase3cp_00006,phase3cp_00175,0.015133547899706473,0.014924120521713423,False,False,False
A,phase3cp_00006,phase3cp_00191,-0.01249871327243853,-0.012535878201902238,False,False,False
A,phase3cp_00006,phase3cp_00207,-0.6630576698596683,-0.6630491128464522,False,False,False
A,phase3cp_00006,phase3cp_00275,-0.5041002108197961,-0.5043029194126583,False,False,False
A,phase3cp_00006,phase3cp_00450,-0.11204153507541975,-0.1119034344061221,False,False,False
A,phase3cp_00006,phase3cp_00796,-0.00017451145480648183,-0.00017500858418950194,False,False,False
A,phase3cp_00006,phase3cp_00806,0.03537238961434737,0.03535528699011793,False,False,False
A,phase3cp_00006,phase3cp_00815,0.005330802587756841,0.005395101406053182,False,False,False
A,phase3cp_00006,phase3cp_00899,-0.653947800748938,-0.6540747176005407,False,False,False
A,phase3cp_00006,phase3cp_00993,0.04290267001062808,0.04295225462173078,False,False,False
A,phase3cp_00006,phase3cp_00995,-0.5659860722770507,-0.5660398823359662,False,False,False
A,phase3cp_00006,phase3cp_01057,0.012348930480354948,0.012509212737711573,False,False,False
A,phase3cp_00006,phase3cp_01079,-0.5861951666460367,-0.5859411661435234,False,False,False
A,phase3cp_00006,phase3cp_09301,-0.7673184382374898,-0.7674290207972495,False,False,False
A,phase3cp_00006,phase3cp_09310,-0.7703822666636894,-0.7705331350587789,False,False,False
A,phase3cp_00006,phase3cp_11526,0.014364903525773217,0.014455017149624957,False,False,False
A,phase3cp_00006,phase3cp_11530,0.020239653176802902,0.020217217786765492,False,False,False
A,phase3cp_00006,phase3cp_11539,-0.05437628985025263,-0.05415484413126761,False,False,False
A,phase3cp_00006,phase3cp_11544,-0.01912503139382212,-0.01906625437916705,False,False,False
A,phase3cp_00006,phase3cp_11657,-0.003344168937940944,-0.003233869991538474,False,False,False
A,phase3cp_00006,phase3cp_11753,-0.6612947551495629,-0.660920106558208,False,False,False
A,phase3cp_00006,phase3cp_11983,-0.8074275172795109,-0.8073256086099566,False,False,False
A,phase3cp_00006,phase3cp_12001,-0.6857623907553553,-0.6855908905306242,False,False,False
A,phase3cp_00006,phase3cp_12014,-0.6819280633252404,-0.6816830849116293,False,False,False
A,phase3cp_00006,phase3cp_12031,0.03186400734213703,0.031840336702811015,False,False,False
A,phase3cp_00006,phase3cp_12036,-0.023287394933841833,-0.02328929999487241,False,False,False
A,phase3cp_00006,phase3cp_12041,-0.006268871260488184,-0.006485130923561271,False,False,False
