candidate_id,expression_hash,signal_coverage_status,finite_count_a,finite_count_b,cluster_a,cluster_b,consensus_cluster_id
phase3cp_00001,59a0ff0ff445959f47cc7300,qualified,1804,1802,1,1,1
phase3cp_00002,67cc198bd75de97b117a2699,qualified,1353,1802,2,2,2
phase3cp_00003,c329ad51b5ad5eeeb8d33f8a,qualified,1804,1802,1,1,1
phase3cp_00004,3d4a355f29c9f2c22b92b512,qualified,1353,1802,2,2,2
phase3cp_00005,99d1e7f5a79f49f3a2661218,qualified,1804,1802,3,3,3
phase3cp_00006,40d0c61f06fc8f8c8ebe806f,qualified,1804,1802,4,4,4
phase3cp_00007,c17a68376722d7e7ad968e4c,qualified,1804,1802,4,4,4
phase3cp_00008,0752a3b3511d4b7b0a6ed37c,qualified,1804,1802,5,5,5
phase3cp_00009,fcc3b29c418f9f9193061ab4,qualified,1804,1802,3,3,3
phase3cp_00010,c70970f75bba91b06e076457,qualified,1804,1802,3,3,3
phase3cp_00011,919d4ed87c7ad94cd1a0cf0a,qualified,1804,1802,4,4,4
phase3cp_00012,e7ab4ef435533eff9ab3a00b,qualified,1804,1802,4,4,4
phase3cp_00013,79f1112e7eb77e8a8c7c6172,qualified,1804,1802,5,5,5
phase3cp_00014,70059e34f028e13c03845e5a,qualified,1804,1802,5,3,6
phase3cp_00015,869dc7b7f98bac6655c87ab5,qualified,1804,1802,6,6,7
phase3cp_00016,39e21bb5ab0e5a4d6135323b,qualified,1804,1802,7,7,8
phase3cp_00017,fc12984afe627558122b4dfe,qualified,1804,1802,8,8,9
phase3cp_00018,c9d6bc5d6979c13389efd0d5,qualified,1804,1802,6,6,7
phase3cp_00019,92ce29d5fa178e234712bda6,qualified,1804,1802,7,7,8
phase3cp_00020,d1984b6bb06f8dfc56bd4c25,qualified,1804,1802,8,8,9
phase3cp_00021,a3955dd4de1b4ddc59d41a6f,qualified,987,976,9,9,10
phase3cp_00022,41c26c045ca28b9699380f5e,qualified,987,976,9,9,10
phase3cp_00023,ae110f673f230e48821b5ce7,qualified,1667,1668,10,10,11
phase3cp_00024,7d56a7038d558ea64accf0bb,qualified,1240,1668,11,11,12
phase3cp_00025,ab3bd9d0bac9687fa023188a,qualified,1022,1432,12,12,13
phase3cp_00026,2883104ebb3f58ce3090107a,qualified,1667,1668,13,13,14
phase3cp_00027,7dc6c8fc2a122bd1d0ae2716,qualified,1240,1668,14,14,15
phase3cp_00028,64e5fd08a871478e11ddf9c4,qualified,1022,1432,12,12,13
phase3cp_00029,292b32b6c9795f0fc80ad166,qualified,1667,1668,15,15,16
phase3cp_00030,572bb20acd4e4aee6f6fb492,qualified,1667,1668,15,15,16
phase3cp_00031,4534dbe823cd3f2dfec12538,qualified,1804,1802,16,16,17
phase3cp_00032,aa9a6af0255f880beee0b6ee,qualified,1804,1802,16,16,17
phase3cp_00033,0596692e882f66adc4c6d6f7,qualified,1475,1676,17,17,18
phase3cp_00034,ed86a77c563efc9a1a14f225,qualified,1238,1676,18,18,19
phase3cp_00035,99cd8cac2eabe425365a4468,qualified,1102,1541,19,19,20
phase3cp_00036,cc51549eb293fa2bfc9cef06,qualified,1055,1461,20,20,21
phase3cp_00037,2d34beb92cc1ac12eedbcb81,qualified,1680,1668,21,21,22
phase3cp_00038,5440fe4832d78f492c257735,qualified,1239,1668,22,22,23
phase3cp_00039,b0d868c81df5141afc79ed04,qualified,1667,1677,23,23,24
phase3cp_00040,73ad63ac3fe40ccdccb7dcbb,qualified,1227,1677,24,24,25
phase3cp_00041,55d81e5214110da5ac3e8a60,qualified,1662,1672,25,25,26
phase3cp_00042,dc2316f8924af38dbba4441a,qualified,1220,1672,26,26,27
phase3cp_00043,c38d3f91bfbb8ab9f36b0c62,qualified,1475,1676,27,27,28
phase3cp_00044,e8345ffaca6f6833c6146a3b,qualified,1238,1676,28,28,29
phase3cp_00045,cc4ef03a7bdc2e669bbd4232,qualified,1667,1668,29,29,30
phase3cp_00046,b93ef5bfa55306f4d3d36003,qualified,1680,1668,30,30,31
phase3cp_00047,de43e2e570ff21e26977afdb,qualified,1239,1668,31,31,32
