expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision
f9b837741934b51acd73cd40,,,sidecar_context::pe,ctx_hfq_pe_ttm,"Neg(CSRank(MaskedZScore($ctx_hfq_pe_ttm,60,0.8)))",30,1,0.03358467335,0.08983567441,0.5714285714,0.001248654662,0.001831095717,0.7142857143,0.009312993256,0.03358467335,0.148592033,1282,2574,2589,1,0,0.03358467335,0.001248654662,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
a2b9c84014ec2264a201136d,,,sidecar_event::active_count,evt_uplimit_active,"CSRank(EventCount($evt_uplimit_active,5))",1,1,4.648725932e-17,4.648725932e-17,1,,,,4.648725932e-17,4.648725932e-17,,4,2269,2589,1,0,4.648725932e-17,,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
a2b9c84014ec2264a201136d,,,sidecar_event::active_count,evt_uplimit_active,"CSRank(EventCount($evt_uplimit_active,5))",5,1,7.931815094e-17,7.931815094e-17,1,,,,7.931815094e-17,7.931815094e-17,,4,2269,2589,1,0,7.931815094e-17,,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
a2b9c84014ec2264a201136d,,,sidecar_event::active_count,evt_uplimit_active,"CSRank(EventCount($evt_uplimit_active,5))",15,1,1.827865377e-17,1.827865377e-17,1,,,,1.827865377e-17,1.827865377e-17,,4,2269,2589,1,0,1.827865377e-17,,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
a2b9c84014ec2264a201136d,,,sidecar_event::active_count,evt_uplimit_active,"CSRank(EventCount($evt_uplimit_active,5))",30,1,-1.828447425e-17,1.828447425e-17,0,,,,-1.828447425e-17,-1.828447425e-17,,4,2269,2589,1,0,-1.828447425e-17,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch
fe648cb0a9da7984904696d8,,,sidecar_event::active_age,evt_uplimit_active,CSRank(EventAge($evt_uplimit_active)),1,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
fe648cb0a9da7984904696d8,,,sidecar_event::active_age,evt_uplimit_active,CSRank(EventAge($evt_uplimit_active)),5,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
fe648cb0a9da7984904696d8,,,sidecar_event::active_age,evt_uplimit_active,CSRank(EventAge($evt_uplimit_active)),15,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
fe648cb0a9da7984904696d8,,,sidecar_event::active_age,evt_uplimit_active,CSRank(EventAge($evt_uplimit_active)),30,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
91ec115cde15f10e4d6b89b2,,,sidecar_event::keep_dwell,evt_uplimit_up_limit_keep_times,"CSRank(StateDwell($evt_uplimit_up_limit_keep_times,5))",1,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
91ec115cde15f10e4d6b89b2,,,sidecar_event::keep_dwell,evt_uplimit_up_limit_keep_times,"CSRank(StateDwell($evt_uplimit_up_limit_keep_times,5))",5,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
91ec115cde15f10e4d6b89b2,,,sidecar_event::keep_dwell,evt_uplimit_up_limit_keep_times,"CSRank(StateDwell($evt_uplimit_up_limit_keep_times,5))",15,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
91ec115cde15f10e4d6b89b2,,,sidecar_event::keep_dwell,evt_uplimit_up_limit_keep_times,"CSRank(StateDwell($evt_uplimit_up_limit_keep_times,5))",30,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
502046cdb5a89083863b2260,,,sidecar_event::amount_count,evt_uplimit_amount,"CSRank(WindowStateCount($evt_uplimit_amount,10))",1,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
502046cdb5a89083863b2260,,,sidecar_event::amount_count,evt_uplimit_amount,"CSRank(WindowStateCount($evt_uplimit_amount,10))",5,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
502046cdb5a89083863b2260,,,sidecar_event::amount_count,evt_uplimit_amount,"CSRank(WindowStateCount($evt_uplimit_amount,10))",15,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
502046cdb5a89083863b2260,,,sidecar_event::amount_count,evt_uplimit_amount,"CSRank(WindowStateCount($evt_uplimit_amount,10))",30,1,,,,,,,,,,0,0,2589,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch
