path,line,risk_patterns,expression_digest,expression_text,source_layer,first_materialization_entry_point,official_book_scan_hit,matched_text
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,2,mean_event,30fb5431c867de3c,"CSRank(Mean($limit_up_any_close_not_open_in_t10,2))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0001,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t10,2))"",limit_up_any_close_not_open_in_t10"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,3,mean_event,d2de1c957e4b7a6b,"CSRank(Mean($limit_up_any_close_not_open_in_t10,3))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0002,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t10,3))"",limit_up_any_close_not_open_in_t10"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,4,mean_event,e18e4faca447a646,"CSRank(Mean($limit_up_any_close_not_open_in_t10,5))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0003,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t10,5))"",limit_up_any_close_not_open_in_t10"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,5,mean_event,d8993c65576a379b,"CSRank(Mean($limit_up_any_close_not_open_in_t2,2))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0004,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t2,2))"",limit_up_any_close_not_open_in_t2"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,6,mean_event,22e4231c66489196,"CSRank(Mean($limit_up_any_close_not_open_in_t2,3))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0005,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t2,3))"",limit_up_any_close_not_open_in_t2"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,7,mean_event,c8f45c9a63c302f5,"CSRank(Mean($limit_up_any_close_not_open_in_t2,5))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0006,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t2,5))"",limit_up_any_close_not_open_in_t2"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,8,mean_event,6a99d6a66c0af24c,"CSRank(Mean($limit_up_any_close_not_open_in_t3,2))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0007,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t3,2))"",limit_up_any_close_not_open_in_t3"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,9,mean_event,55aa3426c3299453,"CSRank(Mean($limit_up_any_close_not_open_in_t3,3))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0008,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t3,3))"",limit_up_any_close_not_open_in_t3"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,10,mean_event,e474b61e9b013e18,"CSRank(Mean($limit_up_any_close_not_open_in_t3,5))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0009,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t3,5))"",limit_up_any_close_not_open_in_t3"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,11,mean_event,17ffda26a5ecc379,"CSRank(Mean($limit_up_any_close_not_open_in_t4,2))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0010,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t4,2))"",limit_up_any_close_not_open_in_t4"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,12,mean_event,f530d7392e502d78,"CSRank(Mean($limit_up_any_close_not_open_in_t4,3))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0011,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t4,3))"",limit_up_any_close_not_open_in_t4"
runtime\field_registry\cn_field_integration_completeness_audit_v1_20260603\factor_candidate_field_refs.csv,13,mean_event,d686889d44e86146,"CSRank(Mean($limit_up_any_close_not_open_in_t4,5))",advisory_runtime_registry,advisory_runtime_registry,false,"cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0012,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,""CSRank(Mean($limit_up_any_close_not_open_in_t4,5))"",limit_up_any_close_not_open_in_t4"
