path,generated_at,last_write_time,schema_version,memory_entry_count,unsafe_hit_count,unsafe_unique_expression_digest_count,decay_or_ttl_detected,observed_policy,ce1_action
runtime\search_memory\phase3aj_20260606\phase3aj_search_memory_ledger.csv,,2026-06-06T06:01:31.216106+00:00,,,21,21,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3aj_20260606\phase3aj_search_memory_ledger.json,2026-06-06T06:01:31.192580+00:00,2026-06-06T06:01:31.206576+00:00,phase3aj_search_memory_ledger_v1,264,21,21,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3aj_20260606_after_lane_selectors\phase3aj_search_memory_ledger.csv,,2026-06-06T07:11:18.463938+00:00,,,24,24,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3aj_20260606_after_lane_selectors\phase3aj_search_memory_ledger.json,2026-06-06T07:11:18.436441+00:00,2026-06-06T07:11:18.453946+00:00,phase3aj_search_memory_ledger_v1,596,24,24,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3ak_20260607_after_remaining177\phase3aj_search_memory_ledger.csv,,2026-06-07T05:18:47.463456+00:00,,,24,24,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3ak_20260607_after_remaining177\phase3aj_search_memory_ledger.json,2026-06-07T05:18:47.427251+00:00,2026-06-07T05:18:47.452893+00:00,phase3aj_search_memory_ledger_v1,773,24,24,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3an_20260609_after_remainder384b2\phase3aj_search_memory_ledger.csv,,2026-06-09T10:59:31.192848+00:00,,,24,24,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3an_20260609_after_remainder384b2\phase3aj_search_memory_ledger.json,2026-06-09T10:59:30.940319+00:00,2026-06-09T10:59:31.126567+00:00,phase3aj_search_memory_ledger_v1,1214,24,24,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3an_20260609_after_selector128\phase3aj_search_memory_ledger.csv,,2026-06-09T07:35:44.377003+00:00,,,24,24,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
runtime\search_memory\phase3an_20260609_after_selector128\phase3aj_search_memory_ledger.json,2026-06-09T07:35:43.945659+00:00,2026-06-09T07:35:44.243469+00:00,phase3aj_search_memory_ledger_v1,830,24,24,false,append_or_merge_ledger_for_duplicate_filtering_no_decay_ttl_seen,quarantine_unsafe_expression_and_skeleton_keys_before_memory_filter_or_sampling
