family_id,motif_id,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,candidate_count,family_share,median_train_reward,positive_train_reward_count,clean_count,validation_survivor_count,rewardhack_count,wrong_lag_or_corr_count,high_turnover_count,family_status,family_reasons
b0b42baf8b96c07171,822f003332343b42f0,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6,0.25,-0.55929062,0,0,0,6,0,0,freeze,proxy_high_cm_negative
8644f273d365016bf4,e638ae7097b094b479,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,4,0.16666667,-0.57136798,0,0,0,4,0,0,freeze,proxy_high_cm_negative
66735011e77830c49a,1307d97b0a929d0cae,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,4,0.16666667,-0.80578749,0,0,0,4,0,0,freeze,proxy_high_cm_negative
9b7cb4f44ecb642b25,71e8bba2dcda14dfc1,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,4,0.16666667,-0.80658389,0,0,2,4,0,0,freeze,proxy_high_cm_negative
cced4d5630efed27cf,58a1a3f15823f9fc3e,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6,0.25,-0.93383593,0,0,0,6,0,0,freeze,proxy_high_cm_negative
