candidate_id,expression_hash,expression,generator_arm,generator_route,seed,round_id,parent_id,mutation_type,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,blocker_flags,phase3ca_proxy_quality,train_reward,train_reward_decision,train_reward_blockers,validation_day_sortino,validation_mcmc_prob_gt_0,holdout_day_sortino,holdout_mcmc_prob_gt_0
phase3cp_lt_event_00060,3c2f227b538dbe9947120a88,"CSRank(Wma(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),60))),8))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,8644f273d365016bf4,e638ae7097b094b479,2d508bddd66a,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.48827207,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.61816916,0.01669449,-0.78247301,0.0
phase3cp_lt_event_00058,f3dbec9a8923513e871633e4,"CSRank(Mean(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),60))),8))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,b0b42baf8b96c07171,822f003332343b42f0,b3a1fc480396,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.50845985,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.62193405,0.0033389,-0.79355085,0.0
phase3cp_lt_event_00056,a2816940d50d021f250e25ba,"CSRank(Mean(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),60))),3))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,b0b42baf8b96c07171,822f003332343b42f0,b3a1fc480396,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.51443687,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.61804686,0.01001669,-0.75808792,0.0
phase3cp_lt_event_00057,3bf158d6e70d9b6c5d9d0d41,"CSRank(Mean(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),60))),5))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,b0b42baf8b96c07171,822f003332343b42f0,b3a1fc480396,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.51522809,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.64929166,0.00166667,-0.76920748,0.00166667
phase3cp_lt_event_00059,990a71d3997fe06d626da78f,"CSRank(Wma(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),60))),5))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,8644f273d365016bf4,e638ae7097b094b479,2d508bddd66a,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.51549708,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.62983981,0.01333333,-0.77863955,0.0
phase3cp_lt_event_00042,597ccf00b8db3b1c7c9f5ab8,"CSRank(Mean(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),45))),5))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,b0b42baf8b96c07171,822f003332343b42f0,b3a1fc480396,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.60335315,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.62069452,0.00833333,-0.71782748,0.0
phase3cp_lt_event_00043,cc02a1c0f793cdb1188a87d2,"CSRank(Mean(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),45))),8))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,b0b42baf8b96c07171,822f003332343b42f0,b3a1fc480396,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.61577811,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.62908647,0.00166667,-0.73461428,0.0
phase3cp_lt_event_00045,32ffca947fc347549c12a8d2,"CSRank(Wma(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),45))),8))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,8644f273d365016bf4,e638ae7097b094b479,2d508bddd66a,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.62723889,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.64905812,0.01,-0.74828813,0.0
phase3cp_lt_event_00044,985d55e5f11e8b027b1e56f8,"CSRank(Wma(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),45))),5))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,8644f273d365016bf4,e638ae7097b094b479,2d508bddd66a,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.64093804,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.65133541,0.00333333,-0.69896367,0.0
phase3cp_lt_event_00041,f9812590e1f9598c426a29b2,"CSRank(Mean(Sub(ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),45))),3))",event_state,phase3cp-low-turnover-event-state-probe,,low_turnover_event_state/round1_targeted,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,b0b42baf8b96c07171,822f003332343b42f0,b3a1fc480396,0.195,0.02785714,0.5317,0.48,,0.19139571,-0.65827684,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.62530691,0.01,-0.69662314,0.0
