"sampled_at_utc","elapsed_seconds","process_count","cpu_seconds","working_set_bytes","private_bytes","virtual_bytes","read_bytes","write_bytes"
"2026-07-16T03:20:13.3225736Z","0.1901158","3","0.109375","42250240","22806528","2212181876736","4694348","0"
"2026-07-16T03:20:28.3956554Z","15.2611975","3","15.09375","8561221632","8568602624","2223319592960","900520616","0"
"2026-07-16T03:20:43.4742853Z","30.3398274","3","30.125","12208193536","12222869504","2226964291584","900566947","0"
"2026-07-16T03:20:58.5401430Z","45.4056851","3","45.15625","12208291840","12222996480","2226968354816","900566947","0"
"2026-07-16T03:21:13.6077890Z","60.4733311","3","60.171875","13341687808","13342154752","2228102950912","905330236","0"
