lane_id,proposal_count,legal_count,canonical_count,exact_count,materialized_count,survivor_count,legal_conversion,survivor_conversion,signal_cluster_count,n_eff,top1_cluster_share,top3_cluster_share
static_cross_sectional,384,384,244,244,258,171,1.0,0.4453125,33,17.49910233,0.16374269,0.30409357
firstn_intraday_path,320,320,265,265,249,249,1.0,0.778125,69,38.10755993,0.04819277,0.14457831
temporal_program,768,768,684,684,382,255,1.0,0.33203125,192,155.9352518,0.01960784,0.05490196
event_conditioned,320,320,196,196,228,0,1.0,0.0,0,0.0,0.0,0.0
state_transition,384,384,271,271,192,0,1.0,0.0,0,0.0,0.0,0.0
orthogonal_exile,320,320,224,224,157,157,1.0,0.490625,63,25.86463799,0.10191083,0.25477707
typed_random,192,191,191,191,117,63,0.9947916666666666,0.328125,51,35.75675676,0.0952381,0.19047619
typed_ast,128,123,123,123,80,28,0.9609375,0.21875,27,26.13333333,0.07142857,0.14285714
cem,192,180,180,180,180,180,0.9375,0.9375,10,5.36246276,0.33888889,0.64444444
rx_ucb,384,383,383,383,241,146,0.9973958333333334,0.3802083333333333,84,41.6328125,0.08219178,0.17808219
uct_mcts,192,159,159,159,147,143,0.828125,0.7447916666666666,13,10.58984982,0.17482517,0.36363636
evolutionary,384,380,380,380,263,121,0.9895833333333334,0.3151041666666667,80,47.38187702,0.07438017,0.17355372
surrogate,128,120,120,120,95,95,0.9375,0.7421875,9,3.54060416,0.49473684,0.66315789
llm_proposal_repair,256,256,252,252,140,66,1.0,0.2578125,49,38.89285714,0.06060606,0.15151515
benchmark_competitor,48,48,48,48,48,42,1.0,0.875,33,28.4516129,0.07142857,0.16666667
