candidate_id,expression,factor_lane,diagnostic_role,event_fields,in_enriched_shared_pool,enriched_candidate_id,enriched_source_lane,enriched_phase3aa_factor_candidate,official_book_eligible,typed_gate_decision,typed_gate_reason,blocked_fields,blocked_primitives,required_rewrite,registry_version,entry_lineage,materialization_stage,candidate_role,input_typed_gate_decision,g2_input_gate_decision,g2_input_gate_reason
cn_factor_direct_event_0091,"CSRank(Mean($market_high_board,2))",direct_event,event_factor,market_high_board,False,,,,False,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce1_g2_input_gate_smoke,g2_selector_input_smoke,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
cn_factor_direct_event_0092,"CSRank(Mean($market_high_board,3))",direct_event,event_factor,market_high_board,True,phase3aa_event_0080_cn_factor_direct_event_0092,event_derived_feature_layer,True,False,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce1_g2_input_gate_smoke,g2_selector_input_smoke,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
cn_factor_direct_event_0093,"CSRank(Mean($market_high_board,5))",direct_event,event_factor,market_high_board,True,phase3aa_event_0081_cn_factor_direct_event_0093,event_derived_feature_layer,True,False,allow,no blocked field/primitive combination detected,,,,phase3ce1_typed_primitive_gate_v1_20260618,phase3ce1_g2_input_gate_smoke,g2_selector_input_smoke,mature_g2_candidate,allow,allow,typed primitive validator passed selector input
