field,field_lane,split,rows,nonnull,nonzero,nonnull_ratio,nonzero_ratio
amount,direct_formula,test,15287594,15287594,14961583,1,0.9786748
amount,direct_formula,train,44844557,44844557,43659812,1,0.97358107
amount,direct_formula,validation,15444967,15444967,15155719,1,0.98127235
amount_yuan,direct_formula,test,15287594,15287594,14961583,1,0.9786748
amount_yuan,direct_formula,train,44844557,44844557,43659812,1,0.97358107
amount_yuan,direct_formula,validation,15444967,15444967,15155719,1,0.98127235
close,direct_formula,test,15287594,15287594,15287594,1,1
close,direct_formula,train,44844557,44844557,44844557,1,1
close,direct_formula,validation,15444967,15444967,15444967,1,1
high,direct_formula,test,15287594,15287594,15287594,1,1
high,direct_formula,train,44844557,44844557,44844557,1,1
high,direct_formula,validation,15444967,15444967,15444967,1,1
intraday_ret_from_open,direct_formula,test,15287594,15287594,14728624,1,0.96343637
intraday_ret_from_open,direct_formula,train,44844557,44844557,42953859,1,0.95783885
intraday_ret_from_open,direct_formula,validation,15444967,15444967,14887290,1,0.96389264
low,direct_formula,test,15287594,15287594,15287594,1,1
low,direct_formula,train,44844557,44844557,44844557,1,1
low,direct_formula,validation,15444967,15444967,15444967,1,1
m1_first15_amount,direct_formula,test,15287594,14399518,14399518,0.94190871,0.94190871
m1_first15_amount,direct_formula,train,44844557,42239479,42188177,0.94190871,0.94076472
m1_first15_amount,direct_formula,validation,15444967,14547749,14542301,0.94190871,0.94155598
m1_first15_high,direct_formula,test,15287594,14399518,14399518,0.94190871,0.94190871
m1_first15_high,direct_formula,train,44844557,42239479,42239479,0.94190871,0.94190871
m1_first15_high,direct_formula,validation,15444967,14547749,14547749,0.94190871,0.94190871
m1_first15_last_close,direct_formula,test,15287594,14399518,14399518,0.94190871,0.94190871
m1_first15_last_close,direct_formula,train,44844557,42239479,42239479,0.94190871,0.94190871
m1_first15_last_close,direct_formula,validation,15444967,14547749,14547749,0.94190871,0.94190871
m1_first15_last_return_vs_open,direct_formula,test,15287594,14399518,13748709,0.94190871,0.89933766
m1_first15_last_return_vs_open,direct_formula,train,44844557,42239479,40149263,0.94190871,0.89529846
m1_first15_last_return_vs_open,direct_formula,validation,15444967,14547749,13889449,0.94190871,0.89928641
m1_first15_low,direct_formula,test,15287594,14399518,14399518,0.94190871,0.94190871
m1_first15_low,direct_formula,train,44844557,42239479,42239479,0.94190871,0.94190871
m1_first15_low,direct_formula,validation,15444967,14547749,14547749,0.94190871,0.94190871
m1_first15_range,direct_formula,test,15287594,14399518,14375002,0.94190871,0.94030506
m1_first15_range,direct_formula,train,44844557,42239479,42056063,0.94190871,0.93781867
m1_first15_range,direct_formula,validation,15444967,14547749,14514153,0.94190871,0.93973351
m1_first15_vol,direct_formula,test,15287594,14399518,14399518,0.94190871,0.94190871
