field,field_lane,split,rows,nonnull,nonzero,nonnull_ratio,nonzero_ratio
m1_first15_vol,direct_formula,train,44844557,42239479,42188177,0.94190871,0.94076472
m1_first15_vol,direct_formula,validation,15444967,14547749,14542301,0.94190871,0.94155598
m1_first15_vwap,direct_formula,test,15287594,14399518,14399518,0.94190871,0.94190871
m1_first15_vwap,direct_formula,train,44844557,42188177,42188177,0.94076472,0.94076472
m1_first15_vwap,direct_formula,validation,15444967,14542301,14542301,0.94155598,0.94155598
m1_first15_vwap_return_vs_open,direct_formula,test,15287594,14399518,14388395,0.94190871,0.94118113
m1_first15_vwap_return_vs_open,direct_formula,train,44844557,42188177,42127568,0.94076472,0.93941318
m1_first15_vwap_return_vs_open,direct_formula,validation,15444967,14542301,14529589,0.94155598,0.94073293
m1_first30_amount,direct_formula,test,15287594,13448008,13448008,0.87966805,0.87966805
m1_first30_amount,direct_formula,train,44844557,39448324,39400412,0.87966805,0.87859965
m1_first30_amount,direct_formula,validation,15444967,13586444,13581356,0.87966805,0.87933862
m1_first30_high,direct_formula,test,15287594,13448008,13448008,0.87966805,0.87966805
m1_first30_high,direct_formula,train,44844557,39448324,39448324,0.87966805,0.87966805
m1_first30_high,direct_formula,validation,15444967,13586444,13586444,0.87966805,0.87966805
m1_first30_last_close,direct_formula,test,15287594,13448008,13448008,0.87966805,0.87966805
m1_first30_last_close,direct_formula,train,44844557,39448324,39448324,0.87966805,0.87966805
m1_first30_last_close,direct_formula,validation,15444967,13586444,13586444,0.87966805,0.87966805
m1_first30_last_return_vs_open,direct_formula,test,15287594,13448008,12952988,0.87966805,0.84728755
m1_first30_last_return_vs_open,direct_formula,train,44844557,39448324,37712892,0.87966805,0.84096922
m1_first30_last_return_vs_open,direct_formula,validation,15444967,13586444,13080188,0.87966805,0.84688999
m1_first30_low,direct_formula,test,15287594,13448008,13448008,0.87966805,0.87966805
m1_first30_low,direct_formula,train,44844557,39448324,39448324,0.87966805,0.87966805
m1_first30_low,direct_formula,validation,15444967,13586444,13586444,0.87966805,0.87966805
m1_first30_range,direct_formula,test,15287594,13448008,13426384,0.87966805,0.87825357
m1_first30_range,direct_formula,train,44844557,39448324,39279996,0.87966805,0.87591446
m1_first30_range,direct_formula,validation,15444967,13586444,13555916,0.87966805,0.87769148
m1_first30_vol,direct_formula,test,15287594,13448008,13448008,0.87966805,0.87966805
m1_first30_vol,direct_formula,train,44844557,39448324,39400412,0.87966805,0.87859965
m1_first30_vol,direct_formula,validation,15444967,13586444,13581356,0.87966805,0.87933862
m1_first30_vwap,direct_formula,test,15287594,13448008,13448008,0.87966805,0.87966805
m1_first30_vwap,direct_formula,train,44844557,39400412,39400412,0.87859965,0.87859965
m1_first30_vwap,direct_formula,validation,15444967,13581356,13581356,0.87933862,0.87933862
m1_first30_vwap_return_vs_open,direct_formula,test,15287594,13448008,13437832,0.87966805,0.87900241
m1_first30_vwap_return_vs_open,direct_formula,train,44844557,39400412,39346988,0.87859965,0.87740833
m1_first30_vwap_return_vs_open,direct_formula,validation,15444967,13581356,13569484,0.87933862,0.87856996
m1_first5_amount,direct_formula,test,15287594,15033858,15033621,0.98340249,0.98338699
m1_first5_amount,direct_formula,train,44844557,44100249,44046450,0.98340249,0.98220281
m1_first5_amount,direct_formula,validation,15444967,15188619,15182931,0.98340249,0.98303421
m1_first5_high,direct_formula,test,15287594,15033858,15033858,0.98340249,0.98340249
m1_first5_high,direct_formula,train,44844557,44100249,44100249,0.98340249,0.98340249
m1_first5_high,direct_formula,validation,15444967,15188619,15188619,0.98340249,0.98340249
m1_first5_last_close,direct_formula,test,15287594,15033858,15033858,0.98340249,0.98340249
m1_first5_last_close,direct_formula,train,44844557,44100249,44100249,0.98340249,0.98340249
m1_first5_last_close,direct_formula,validation,15444967,15188619,15188619,0.98340249,0.98340249
m1_first5_last_return_vs_open,direct_formula,test,15287594,15033858,14206965,0.98340249,0.92931334
m1_first5_last_return_vs_open,direct_formula,train,44844557,44100249,41452485,0.98340249,0.92435934
m1_first5_last_return_vs_open,direct_formula,validation,15444967,15188619,14361252,0.98340249,0.92983378
m1_first5_low,direct_formula,test,15287594,15033858,15033858,0.98340249,0.98340249
m1_first5_low,direct_formula,train,44844557,44100249,44100249,0.98340249,0.98340249
m1_first5_low,direct_formula,validation,15444967,15188619,15188619,0.98340249,0.98340249
m1_first5_range,direct_formula,test,15287594,15033858,15004233,0.98340249,0.98146464
m1_first5_range,direct_formula,train,44844557,44100249,43894296,0.98340249,0.97880989
m1_first5_range,direct_formula,validation,15444967,15188619,15150699,0.98340249,0.98094732
m1_first5_vol,direct_formula,test,15287594,15033858,15033621,0.98340249,0.98338699
m1_first5_vol,direct_formula,train,44844557,44100249,44046450,0.98340249,0.98220281
m1_first5_vol,direct_formula,validation,15444967,15188619,15182931,0.98340249,0.98303421
m1_first5_vwap,direct_formula,test,15287594,15033621,15033621,0.98338699,0.98338699
m1_first5_vwap,direct_formula,train,44844557,44046450,44046450,0.98220281,0.98220281
m1_first5_vwap,direct_formula,validation,15444967,15182931,15182931,0.98303421,0.98303421
m1_first5_vwap_return_vs_open,direct_formula,test,15287594,15033621,15020349,0.98338699,0.98251883
m1_first5_vwap_return_vs_open,direct_formula,train,44844557,44046450,43965870,0.98220281,0.98040594
m1_first5_vwap_return_vs_open,direct_formula,validation,15444967,15182931,15163971,0.98303421,0.98180663
open,direct_formula,test,15287594,15287594,15287594,1,1
open,direct_formula,train,44844557,44844557,44844557,1,1
open,direct_formula,validation,15444967,15444967,15444967,1,1
pct_chg,direct_formula,test,15287594,15287594,10298917,1,0.67367808
pct_chg,direct_formula,train,44844557,44844557,29476570,1,0.65730541
pct_chg,direct_formula,validation,15444967,15444967,10667240,1,0.69066124
ret_1m,direct_formula,test,15287594,15287587,10356904,0.99999954,0.67747116
ret_1m,direct_formula,train,44844557,44843207,29641961,0.9999699,0.66099351
ret_1m,direct_formula,validation,15444967,15444964,10725528,0.99999981,0.69443515
vol,direct_formula,test,15287594,15287594,14960108,1,0.97857832
vol,direct_formula,train,44844557,44844557,43659440,1,0.97357278
vol,direct_formula,validation,15444967,15444967,15154381,1,0.98118572
volume,direct_formula,test,15287594,15287594,14960108,1,0.97857832
volume,direct_formula,train,44844557,44844557,43659440,1,0.97357278
volume,direct_formula,validation,15444967,15444967,15154381,1,0.98118572
vwap,direct_formula,test,15287594,14960108,14960108,0.97857832,0.97857832
vwap,direct_formula,train,44844557,43659440,43659440,0.97357278,0.97357278
vwap,direct_formula,validation,15444967,15154381,15154381,0.98118572,0.98118572
evt_uplimit_active,event_state,test,15287594,15287594,6262,1,0.00040961
evt_uplimit_active,event_state,train,44844557,44844557,19202,1,0.00042819
evt_uplimit_active,event_state,validation,15444967,15444967,7579,1,0.00049071
evt_uplimit_age_min,event_state,test,15287594,6262,6228,0.00040961,0.00040739
evt_uplimit_age_min,event_state,train,44844557,19202,19098,0.00042819,0.00042587
evt_uplimit_age_min,event_state,validation,15444967,7579,7542,0.00049071,0.00048831
evt_uplimit_amount,event_state,test,15287594,6262,6262,0.00040961,0.00040961
evt_uplimit_amount,event_state,train,44844557,14324,14084,0.00031941,0.00031406
evt_uplimit_amount,event_state,validation,15444967,7579,7099,0.00049071,0.00045963
evt_uplimit_auction_buy,event_state,test,15287594,5792,5206,0.00037887,0.00034054
evt_uplimit_auction_buy,event_state,train,44844557,0,0,0,0
evt_uplimit_auction_buy,event_state,validation,15444967,6156,5008,0.00039858,0.00032425
evt_uplimit_auction_money,event_state,test,15287594,5792,5792,0.00037887,0.00037887
evt_uplimit_auction_money,event_state,train,44844557,0,0,0,0
evt_uplimit_auction_money,event_state,validation,15444967,6156,6156,0.00039858,0.00039858
evt_uplimit_auction_offer,event_state,test,15287594,5792,4887,0.00037887,0.00031967
evt_uplimit_auction_offer,event_state,train,44844557,0,0,0,0
evt_uplimit_auction_offer,event_state,validation,15444967,6156,5471,0.00039858,0.00035423
evt_uplimit_auction_pre1max_ratio,event_state,test,15287594,5792,5792,0.00037887,0.00037887
evt_uplimit_auction_pre1max_ratio,event_state,train,44844557,0,0,0,0
evt_uplimit_auction_pre1max_ratio,event_state,validation,15444967,6156,6156,0.00039858,0.00039858
evt_uplimit_auction_turnover,event_state,test,15287594,6262,5792,0.00040961,0.00037887
evt_uplimit_auction_turnover,event_state,train,44844557,19202,0,0.00042819,0
evt_uplimit_auction_turnover,event_state,validation,15444967,7579,6156,0.00049071,0.00039858
evt_uplimit_fd_close,event_state,test,15287594,6262,6262,0.00040961,0.00040961
evt_uplimit_fd_close,event_state,train,44844557,14324,14084,0.00031941,0.00031406
evt_uplimit_fd_close,event_state,validation,15444967,7579,7099,0.00049071,0.00045963
evt_uplimit_fd_max,event_state,test,15287594,6262,6262,0.00040961,0.00040961
evt_uplimit_fd_max,event_state,train,44844557,14324,14084,0.00031941,0.00031406
evt_uplimit_fd_max,event_state,validation,15444967,7579,7099,0.00049071,0.00045963
evt_uplimit_type_code,event_state,test,15287594,6262,0,0.00040961,0
evt_uplimit_type_code,event_state,train,44844557,19202,0,0.00042819,0
evt_uplimit_type_code,event_state,validation,15444967,7579,0,0.00049071,0
evt_uplimit_up_limit_keep_times,event_state,test,15287594,6262,6262,0.00040961,0.00040961
evt_uplimit_up_limit_keep_times,event_state,train,44844557,19202,19202,0.00042819,0.00042819
evt_uplimit_up_limit_keep_times,event_state,validation,15444967,7579,7579,0.00049071,0.00049071
ctx_sent_damian_num,lagged_context,test,15287594,15287594,7174570,1,0.46930668
ctx_sent_damian_num,lagged_context,train,44844557,44844557,20103497,1,0.44829291
ctx_sent_damian_num,lagged_context,validation,15444967,15444967,6807768,1,0.44077582
ctx_sent_ditian_num,lagged_context,test,15287594,15287594,1560234,1,0.10205883
ctx_sent_ditian_num,lagged_context,train,44844557,44844557,10784991,1,0.24049721
ctx_sent_ditian_num,lagged_context,validation,15444967,15444967,946407,1,0.06127608
ctx_sent_down_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_down_num,lagged_context,train,44844557,44844557,44844557,1,1
ctx_sent_down_num,lagged_context,validation,15444967,15444967,15444967,1,1
ctx_sent_downlimit_num,lagged_context,test,15287594,15287594,14663404,1,0.95917016
ctx_sent_downlimit_num,lagged_context,train,44844557,44844557,40219526,1,0.89686528
ctx_sent_downlimit_num,lagged_context,validation,15444967,15444967,14471086,1,0.93694509
ctx_sent_gt5_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_gt5_num,lagged_context,train,44844557,44844557,44844557,1,1
ctx_sent_gt5_num,lagged_context,validation,15444967,15444967,15444967,1,1
ctx_sent_lb_2_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_lb_2_num,lagged_context,train,44844557,44844557,44534631,1,0.99308888
ctx_sent_lb_2_num,lagged_context,validation,15444967,15444967,15444967,1,1
ctx_sent_lb_3_num,lagged_context,test,15287594,15287594,14664368,1,0.95923322
ctx_sent_lb_3_num,lagged_context,train,44844557,44844557,42372138,1,0.94486691
ctx_sent_lb_3_num,lagged_context,validation,15444967,15444967,14690155,1,0.95112893
ctx_sent_lb_h_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_lb_h_num,lagged_context,train,44844557,44844557,42034256,1,0.93733239
ctx_sent_lb_h_num,lagged_context,validation,15444967,15444967,12475606,1,0.80774572
ctx_sent_lt5_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_lt5_num,lagged_context,train,44844557,44844557,44844557,1,1
ctx_sent_lt5_num,lagged_context,validation,15444967,15444967,15444967,1,1
ctx_sent_max_lb_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_max_lb_num,lagged_context,train,44844557,44844557,44844557,1,1
ctx_sent_max_lb_num,lagged_context,validation,15444967,15444967,15444967,1,1
ctx_sent_mian_num,lagged_context,test,15287594,15287594,14039214,1,0.91834032
ctx_sent_mian_num,lagged_context,train,44844557,44844557,39278180,1,0.87587397
ctx_sent_mian_num,lagged_context,validation,15444967,15444967,11281451,1,0.73042895
ctx_sent_tiandi_num,lagged_context,test,15287594,15287594,936044,1,0.06122899
ctx_sent_tiandi_num,lagged_context,train,44844557,44844557,2465189,1,0.05497187
ctx_sent_tiandi_num,lagged_context,validation,15444967,15444967,1270070,1,0.08223197
ctx_sent_up_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_up_num,lagged_context,train,44844557,44844557,44844557,1,1
ctx_sent_up_num,lagged_context,validation,15444967,15444967,15444967,1,1
ctx_sent_uplimit_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_uplimit_num,lagged_context,train,44844557,44844557,44844557,1,1
ctx_sent_uplimit_num,lagged_context,validation,15444967,15444967,15444967,1,1
ctx_sent_zb_num,lagged_context,test,15287594,15287594,15287594,1,1
ctx_sent_zb_num,lagged_context,train,44844557,44844557,44844557,1,1
ctx_sent_zb_num,lagged_context,validation,15444967,15444967,15444967,1,1
ctx_ths_hot_circulation_value,lagged_context,test,15287594,2322517,2322517,0.15192168,0.15192168
ctx_ths_hot_circulation_value,lagged_context,train,44844557,4888926,4888926,0.10901938,0.10901938
ctx_ths_hot_circulation_value,lagged_context,validation,15444967,2061755,2061755,0.13349041,0.13349041
ctx_ths_hot_last_pct,lagged_context,test,15287594,2322517,2310708,0.15192168,0.15114923
ctx_ths_hot_last_pct,lagged_context,train,44844557,4888926,4843859,0.10901938,0.10801442
ctx_ths_hot_last_pct,lagged_context,validation,15444967,2061755,2049705,0.13349041,0.13271022
ctx_ths_hot_last_price,lagged_context,test,15287594,2322517,2310949,0.15192168,0.15116499
ctx_ths_hot_last_price,lagged_context,train,44844557,4888926,4844100,0.10901938,0.1080198
ctx_ths_hot_last_price,lagged_context,validation,15444967,2061755,2049705,0.13349041,0.13271022
ctx_ths_hot_rank,lagged_context,test,15287594,2322517,2322517,0.15192168,0.15192168
ctx_ths_hot_rank,lagged_context,train,44844557,4888926,4888926,0.10901938,0.10901938
ctx_ths_hot_rank,lagged_context,validation,15444967,2061755,2061755,0.13349041,0.13349041
ctx_ths_hot_rank_diff,lagged_context,test,15287594,2322517,2222502,0.15192168,0.14537945
ctx_ths_hot_rank_diff,lagged_context,train,44844557,4888926,4714924,0.10901938,0.10513927
ctx_ths_hot_rank_diff,lagged_context,validation,15444967,2061755,1985358,0.13349041,0.12854401
ctx_zls_df_num,lagged_context,test,15287594,936767,936767,0.06127629,0.06127629
ctx_zls_df_num,lagged_context,train,44844557,0,0,0,0
ctx_zls_df_num,lagged_context,validation,15444967,0,0,0,0
ctx_zls_lbgd,lagged_context,test,15287594,936767,936767,0.06127629,0.06127629
ctx_zls_lbgd,lagged_context,train,44844557,0,0,0,0
ctx_zls_lbgd,lagged_context,validation,15444967,0,0,0,0
ctx_zls_strong,lagged_context,test,15287594,936767,936767,0.06127629,0.06127629
ctx_zls_strong,lagged_context,train,44844557,0,0,0,0
ctx_zls_strong,lagged_context,validation,15444967,0,0,0,0
ctx_zls_ztjs,lagged_context,test,15287594,936767,936767,0.06127629,0.06127629
ctx_zls_ztjs,lagged_context,train,44844557,0,0,0,0
ctx_zls_ztjs,lagged_context,validation,15444967,0,0,0,0
