candidate_file,row_number,candidate_id,expression_hash,fields,field_lanes,missing_schema_fields,blocked_or_future_fields,signal_nonnull_sum,effective_signal_used,decision,blockers
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,298,,f32fbe25b77adc5b3f5fe371,amount|ctx_ths_hot_last_pct|m1_first5_high|m1_first5_low|open,direct_formula|lagged_context,,,0,false,,primary_direction_not_reproduced
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,299,,f32fbe25b77adc5b3f5fe371,amount|ctx_ths_hot_last_pct|m1_first5_high|m1_first5_low|open,direct_formula|lagged_context,,,0,false,,primary_direction_not_reproduced
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,300,,f32fbe25b77adc5b3f5fe371,amount|ctx_ths_hot_last_pct|m1_first5_high|m1_first5_low|open,direct_formula|lagged_context,,,0,false,,primary_direction_not_reproduced
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,301,,f31d75d58dd483cdfb89a26f,close|high|low|m1_first15_vol|volume,direct_formula,,,194135,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,302,,f31d75d58dd483cdfb89a26f,close|high|low|m1_first15_vol|volume,direct_formula,,,194135,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,303,,f31d75d58dd483cdfb89a26f,close|high|low|m1_first15_vol|volume,direct_formula,,,194135,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,304,,f31d75d58dd483cdfb89a26f,close|high|low|m1_first15_vol|volume,direct_formula,,,194135,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,305,,f183ca0766faf44a814aca99,amount|ctx_zls_lbgd|m1_first30_high|m1_first30_low|open,direct_formula|lagged_context,,,2591,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,306,,f183ca0766faf44a814aca99,amount|ctx_zls_lbgd|m1_first30_high|m1_first30_low|open,direct_formula|lagged_context,,,2591,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\runtime\phase3ct_augmented_hybrid_bp_r3b_20260625\phase3bp_candidate_horizon_aggregate.csv,307,,f183ca0766faf44a814aca99,amount|ctx_zls_lbgd|m1_first30_high|m1_first30_low|open,direct_formula|lagged_context,,,2591,true,,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong
