source_table,source_field,development_safe_non_null,development_safe_missing,scan_status
balance_sheet_report_em,ACCEPT_DEPOSIT,2488,272273,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCEPT_DEPOSIT_INTERBANK,26424,248337,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCEPT_DEPOSIT_INTERBANK_YOY,1366,273395,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCEPT_DEPOSIT_YOY,2191,272570,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCOUNTS_PAYABLE,259715,15046,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCOUNTS_PAYABLE_YOY,230739,44022,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCOUNTS_RECE,260434,14327,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCOUNTS_RECE_YOY,236062,38699,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCRUED_EXPENSE,663,274098,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ACCRUED_EXPENSE_YOY,199,274562,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ADVANCE_PREMIUM,320,274441,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ADVANCE_PREMIUM_YOY,297,274464,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ADVANCE_RECE,50,274711,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ADVANCE_RECEIVABLES,196970,77791,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ADVANCE_RECEIVABLES_YOY,172475,102286,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ADVANCE_RECE_YOY,31,274730,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ADVICE_ASSIGN_DIVIDEND,86,274675,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ADVICE_ASSIGN_DIVIDEND_YOY,20,274741,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AGENT_BUSINESS_ASSET,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AGENT_BUSINESS_ASSET_YOY,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AGENT_BUSINESS_LIAB,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AGENT_BUSINESS_LIAB_YOY,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AGENT_TRADE_SECURITY,4806,269955,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AGENT_TRADE_SECURITY_YOY,2603,272158,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AGENT_UNDERWRITE_SECURITY,2637,272124,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AGENT_UNDERWRITE_SECURITY_YOY,356,274405,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AMORTIZE_COST_FINASSET,515,274246,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AMORTIZE_COST_FINASSET_YOY,249,274512,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AMORTIZE_COST_FINLIAB,222,274539,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AMORTIZE_COST_FINLIAB_YOY,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AMORTIZE_COST_NCFINASSET,4,274757,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AMORTIZE_COST_NCFINASSET_YOY,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AMORTIZE_COST_NCFINLIAB,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,AMORTIZE_COST_NCFINLIAB_YOY,0,274761,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,APPOINT_FVTPL_FINASSET,70,274691,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,APPOINT_FVTPL_FINASSET_YOY,10,274751,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,APPOINT_FVTPL_FINLIAB,63,274698,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,APPOINT_FVTPL_FINLIAB_YOY,8,274753,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ASSET_BALANCE,229744,45017,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ASSET_BALANCE_YOY,2005,272756,DEVELOPMENT_ONLY_COMPLETE
balance_sheet_report_em,ASSET_OTHER,25722,249039,DEVELOPMENT_ONLY_COMPLETE
