access_roles,adaptive_descendant_cap,adaptive_exhausted_arms,adaptive_state_persisted,admission,behavior_identity,candidate_id,canonical_expression,canonical_identity,claimed_state_field_id,condition_field_ids,cost_adjusted_reward,declared_field_ids,development_increment_positive,episode_policy,event_tier,exact_identity,exposure_ledger_required,expression,field_ids,forbidden_read_count,frozen_mechanism_id,generator_version,is_matched_control,legal,market_vote_policy,matched_control_id,matched_increment,maturity_contract_registered,maturity_rule,operator_family,operator_paths,parent_id,positive_time_blocks,proposal_origin,rank_ic_hit_rate,rank_ic_mean,representation_ids,requires_intrabar_order,reward,route_id,seed,seed_set,source_field_ids,state_source_expression,state_support_unit,strict,support,support_unit,support_units,survivor,tier_c_descendants_allowed,top_symbol_share,turnover,typed_route_decision,typed_route_reason,typed_route_rejection_code,uses_future_revision,vote_policy
['development'],,,,True,e9dd78eb159138a74419f335,uc_minute_static_1729_00000,"CSRank(Add(ZScore($high),ZScore($low)))",3180e600f624e883b292efec9bbc3412297e2db1ae7d0d2fc29eaa04f1889c34,,[],-0.0305286619088905,"['high', 'low']",True,,,5ab854f00c6f539b402a81516558a6ca4595dcf9065e93a669bf3a3682db7bf6,True,"CSRank(Add(ZScore($high),ZScore($low)))","['high', 'low']",0,,cn_unified_registry_driven_generator_v1,False,True,,uc_minute_static_1729_00000_control,3.528280445390386e-05,False,bar_close,Arithmetic,"['root:CSRank', 'root.CSRank[0]:Add', 'root.CSRank[0].Add[0]:ZScore', 'root.CSRank[0].Add[1]:ZScore']",,1,registry_root,0.375,-0.03047261170042321,"['cn.rep.a163d3befca931633a6185b7eaf5c35b', 'cn.rep.a24282e2c82e94c62dab47348534b71d']",False,-0.0305286619088905,MINUTE_STATIC,1729,seed_a,"['cn.sf.e63e0162f9ee5a1cc0f4d7b09b578a5b', 'cn.sf.155ca942c67e3b7985fdca8bf70262e2']",,,False,4592,stock-minute cross-section,8,False,,0.0017421602787456446,0.02242008338691675,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,ONE_SUPPORT_UNIT_ONE_VOTE
['development'],,,,True,b5b0fbfa115adc13d204e12c,uc_minute_static_1729_00000_control,CSRank($high),6273b4b2de3ccc466acea749cf04630685031596346bc377ad35e84088a71434,,[],-0.030563944713344404,"['high', 'low']",False,,,ebd6524edae62e6bfd813354888a3a55a58fba9c8f098833fc7c39d9540732b5,True,CSRank($high),"['high', 'low']",0,,cn_unified_registry_driven_generator_v1,True,True,,uc_minute_static_1729_00000,,False,bar_close,Arithmetic,['root:CSRank'],,1,matched_control,0.375,-0.030507857224996954,"['cn.rep.a163d3befca931633a6185b7eaf5c35b', 'cn.rep.a24282e2c82e94c62dab47348534b71d']",False,-0.030563944713344404,MINUTE_STATIC,1729,seed_a,"['cn.sf.e63e0162f9ee5a1cc0f4d7b09b578a5b', 'cn.sf.155ca942c67e3b7985fdca8bf70262e2']",,,False,4592,stock-minute cross-section,8,False,,0.0017421602787456446,0.022434995338980215,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,CONTROL_NO_SEPARATE_VOTE
['development'],,,,True,f99c71169e8ed047562b6776,uc_minute_static_1729_00001,"CSRank(Add(ZScore($amount),ZScore($close)))",aae251332d2727df60c56e185d5adc65f1a67ff00de76ecf80c554bc95a43412,,[],-0.036741542579309026,"['amount', 'close']",False,,,363294d225268bfb2776c7b4a7ef0435e655d0be76e61261af19cb899197d0b2,True,"CSRank(Add(ZScore($amount),ZScore($close)))","['amount', 'close']",0,,cn_unified_registry_driven_generator_v1,False,True,,uc_minute_static_1729_00001_control,-0.004255807315195662,False,bar_close,Arithmetic,"['root:CSRank', 'root.CSRank[0]:Add', 'root.CSRank[0].Add[0]:ZScore', 'root.CSRank[0].Add[1]:ZScore']",,1,registry_root,0.375,-0.036492859859220975,"['cn.rep.e1a6c7e4ed4d3bdd8b53a3bda3fa28d9', 'cn.rep.f2107e4504bd106fcf3ccc678d1c96c8']",False,-0.036741542579309026,MINUTE_STATIC,1729,seed_a,"['cn.sf.621923f2d222470d1900a03583de5059', 'cn.sf.d40f8f20500150cfff77216ced9c2922']",,,False,4592,stock-minute cross-section,8,False,,0.0017421602787456446,0.09947308803522041,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,ONE_SUPPORT_UNIT_ONE_VOTE
['development'],,,,True,02ea2f945a0f1ba426b1d0f6,uc_minute_static_1729_00001_control,CSRank($amount),be36efd0ea0257a9c69788ec55e38b81604bf7baebee3106a63422bcb7169841,,[],-0.032485735264113365,"['amount', 'close']",False,,,e6bf0656f8d329da6380c1ea6f53a70fb18f0f995702bbdc9832c4bd9a6c06f7,True,CSRank($amount),"['amount', 'close']",0,,cn_unified_registry_driven_generator_v1,True,True,,uc_minute_static_1729_00001,,False,bar_close,Arithmetic,['root:CSRank'],,1,matched_control,0.375,-0.03191087268016392,"['cn.rep.e1a6c7e4ed4d3bdd8b53a3bda3fa28d9', 'cn.rep.f2107e4504bd106fcf3ccc678d1c96c8']",False,-0.032485735264113365,MINUTE_STATIC,1729,seed_a,"['cn.sf.621923f2d222470d1900a03583de5059', 'cn.sf.d40f8f20500150cfff77216ced9c2922']",,,False,4592,stock-minute cross-section,8,False,,0.0017421602787456446,0.2299450335797796,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,CONTROL_NO_SEPARATE_VOTE
['development'],,,,True,d938c7f2c8bb3fffafd0315b,uc_minute_static_1729_00002,"CSRank(Add(ZScore($ret_1m),ZScore($vwap)))",f1d4601537838ea1c4a32ef2f07a7341b0feb9f0909fd597055d435fc4645fe9,,[],-0.15697122932749,"['ret_1m', 'vwap']",True,,,2e3e4c7fc211f49f2dc1b971b78f6664533d189fb047c068010058afb2525a9b,True,"CSRank(Add(ZScore($ret_1m),ZScore($vwap)))","['ret_1m', 'vwap']",0,,cn_unified_registry_driven_generator_v1,False,True,,uc_minute_static_1729_00002_control,0.06702426040048595,False,bar_close,Arithmetic,"['root:CSRank', 'root.CSRank[0]:Add', 'root.CSRank[0].Add[0]:ZScore', 'root.CSRank[0].Add[1]:ZScore']",,0,registry_root,0.01098901098901099,-0.15639093082123606,"['cn.rep.92264a877f9fcf2b53483a2833631e12', 'cn.rep.83d251a9f86f7e4fec75b8902aaa881b']",False,-0.15697122932749,MINUTE_STATIC,1729,seed_a,"['cn.sf.7ac67c3e2be8e149c3c02a4842c21173', 'cn.sf.b4279506efdad23a752311a627c7060d']",,,True,3628835,stock-minute cross-section,728,False,,0.0002006153490031925,0.2321194025015757,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,ONE_SUPPORT_UNIT_ONE_VOTE
['development'],,,,True,23e1b2f40f6191f951d106a0,uc_minute_static_1729_00002_control,CSRank($ret_1m),7e5f500bd764363118891a83ec2f38aed6c196341e41d6637f3169472ef7d64f,,[],-0.22399548972797595,"['ret_1m', 'vwap']",False,,,355ad82f5d935487795e551270cb019dc3904bb7605a317de71c1652f9471a44,True,CSRank($ret_1m),"['ret_1m', 'vwap']",0,,cn_unified_registry_driven_generator_v1,True,True,,uc_minute_static_1729_00002,,False,bar_close,Arithmetic,['root:CSRank'],,0,matched_control,0.004120879120879121,-0.223197066190113,"['cn.rep.92264a877f9fcf2b53483a2833631e12', 'cn.rep.83d251a9f86f7e4fec75b8902aaa881b']",False,-0.22399548972797595,MINUTE_STATIC,1729,seed_a,"['cn.sf.7ac67c3e2be8e149c3c02a4842c21173', 'cn.sf.b4279506efdad23a752311a627c7060d']",,,True,3704870,stock-minute cross-section,728,False,,0.00019649812274114882,0.3193694151451733,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,CONTROL_NO_SEPARATE_VOTE
['development'],,,,False,673d32fcb27db8b6b41b6351,uc_minute_static_1729_00003,"CSRank(Add(ZScore($low),ZScore($pct_chg)))",fe495e3faa2956c93e4b92aeeefe50b0653ac473aa034a5a7d56ec8d6b5fc6f1,,[],-0.16327337201124612,"['low', 'pct_chg']",False,,,175525bb6b28ed4aad94a094e77f8a537037597b9849b98656d720bf502eb897,True,"CSRank(Add(ZScore($low),ZScore($pct_chg)))","['low', 'pct_chg']",0,,cn_unified_registry_driven_generator_v1,False,True,,uc_minute_static_1729_00003_control,-0.13279672781789315,False,bar_close,Arithmetic,"['root:CSRank', 'root.CSRank[0]:Add', 'root.CSRank[0].Add[0]:ZScore', 'root.CSRank[0].Add[1]:ZScore']",,0,registry_root,0.0,-0.1627018711002278,"['cn.rep.a24282e2c82e94c62dab47348534b71d', 'cn.rep.ff25d250e767d497a03a512194193e34']",False,-0.16327337201124612,MINUTE_STATIC,1729,seed_a,"['cn.sf.155ca942c67e3b7985fdca8bf70262e2', 'cn.sf.e175250817b067c80c690ce8e2ea6e72']",,,False,4592,stock-minute cross-section,8,False,,0.0017421602787456446,0.22860036440732906,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,ONE_SUPPORT_UNIT_ONE_VOTE
['development'],,,,False,a6194c45e2ee8a14a54ab949,uc_minute_static_1729_00003_control,CSRank($low),e2fa7b4b5e407d519817bb039715e17f1e99af6f69c5c2fc5c1b4eb6aae865b4,,[],-0.030476644193352973,"['low', 'pct_chg']",False,,,d83f35688e9d0d01e7675c5696d07bf7f689f8beba15bc21c712920299ad87bc,True,CSRank($low),"['low', 'pct_chg']",0,,cn_unified_registry_driven_generator_v1,True,True,,uc_minute_static_1729_00003,,False,bar_close,Arithmetic,['root:CSRank'],,1,matched_control,0.375,-0.030420696190904248,"['cn.rep.a24282e2c82e94c62dab47348534b71d', 'cn.rep.ff25d250e767d497a03a512194193e34']",False,-0.030476644193352973,MINUTE_STATIC,1729,seed_a,"['cn.sf.155ca942c67e3b7985fdca8bf70262e2', 'cn.sf.e175250817b067c80c690ce8e2ea6e72']",,,False,4592,stock-minute cross-section,8,False,,0.0017421602787456446,0.022379200979489897,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,CONTROL_NO_SEPARATE_VOTE
['development'],,,,False,398467f379bba8edfd10e17a,uc_minute_static_1729_00004,"CSRank(Add(ZScore($close),ZScore($intraday_ret_from_open)))",bcdce5fc4592d4225d1134bf0a10b2cb0ad86729f796beb434af23f9e0d4e8f1,,[],-0.03559148205646992,"['close', 'intraday_ret_from_open']",False,,,4b83baab789f357396bce695790140707466611bf9cb6493f2547ca525e09731,True,"CSRank(Add(ZScore($close),ZScore($intraday_ret_from_open)))","['close', 'intraday_ret_from_open']",0,,cn_unified_registry_driven_generator_v1,False,True,,uc_minute_static_1729_00004_control,-0.004901575375562985,False,bar_close,Arithmetic,"['root:CSRank', 'root.CSRank[0]:Add', 'root.CSRank[0].Add[0]:ZScore', 'root.CSRank[0].Add[1]:ZScore']",,2,registry_root,0.375,-0.03524111453389267,"['cn.rep.f2107e4504bd106fcf3ccc678d1c96c8', 'cn.rep.e96fb2c9f0d9da680687323d1fe0f6ae']",False,-0.03559148205646992,MINUTE_STATIC,1729,seed_a,"['cn.sf.d40f8f20500150cfff77216ced9c2922', 'cn.sf.55ec8d1cbad581839da568b8db129b18']",,,False,4592,stock-minute cross-section,8,False,,0.0017421602787456446,0.14014700903090122,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,ONE_SUPPORT_UNIT_ONE_VOTE
['development'],,,,False,949e7d5ff85fcdcb803425d3,uc_minute_static_1729_00004_control,CSRank($close),c90f9b0a100d8355f5f3457ab87a73cb39de0d21ad3a9c92882400dd82456222,,[],-0.030689906680906934,"['close', 'intraday_ret_from_open']",False,,,be9ff9d1bf72bca7a79eb22744e14e29792a017057ebd09ea48cf1ff4eba1c24,True,CSRank($close),"['close', 'intraday_ret_from_open']",0,,cn_unified_registry_driven_generator_v1,True,True,,uc_minute_static_1729_00004,,False,bar_close,Arithmetic,['root:CSRank'],,1,matched_control,0.375,-0.030633875337065814,"['cn.rep.f2107e4504bd106fcf3ccc678d1c96c8', 'cn.rep.e96fb2c9f0d9da680687323d1fe0f6ae']",False,-0.030689906680906934,MINUTE_STATIC,1729,seed_a,"['cn.sf.d40f8f20500150cfff77216ced9c2922', 'cn.sf.55ec8d1cbad581839da568b8db129b18']",,,False,4592,stock-minute cross-section,8,False,,0.0017421602787456446,0.022412537536447858,ALLOW,"registry, PIT, unit, route, maturity, control and access contracts passed",,False,CONTROL_NO_SEPARATE_VOTE
