candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,ast_skeleton,ast_operator_sequence,ast_operator_multiset,ast_root_operator,ast_depth,ast_depth_bin,ast_operator_count,ast_operator_count_bin,ast_field_count,ast_field_count_bin,ast_window_count,ast_window_count_bin,ast_max_window,ast_max_window_bin,ast_complexity,ast_complexity_bin,search_memory_key,policy_score,expected_direction,x0_r3_role,note,generator_arm,generator_route,round_id,mutation_type,phase3cp_scheduler_source,aligned_ic_mean,abs_aligned_ic_mean,aligned_spread_mean,spread_hit_rate,positive_horizon_count,mean_one_way_turnover,phase3bp_blocker_flags,blocker_flags,phase3cp_rank,metric_boundary,seed,parent_id,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,proxy_quality,phase3ca_proxy_quality,train_reward,train_reward_decision,train_reward_blockers,validation_day_sortino,validation_mcmc_prob_gt_0,holdout_day_sortino,holdout_mcmc_prob_gt_0,phase3cp_real_cm_loop,cem_prior_score
phase3cp_00021,cf931cd170d0254c3ef5273a,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),5))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",rx_interaction::rx_range_location::rx_opening_amount::spread,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,close|high|low|m1_first5_vol|volume,"['close', 'high', 'low', 'm1_first5_vol', 'volume']",0,"CSRank(Sub(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N))),ZScore(Div($F,Add(Abs($F),N)))))",CSRank>Sub>ZScore>Sub>Div>Sub>Add>Abs>Sub>Mean,Abs:3|Add:3|CSRank:1|Div:3|Mean:1|Sub:6|ZScore:2,CSRank,9,depth_gt_8,19,opcount_gt_12,5,fieldcount_le_6,1,wincount_le_1,5,maxwin_le_5,25,complexity_gt_18,phase3bp:cf931cd170d0254c3ef5273a,0.11,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction bar_loc_shift_5 x m1_first5_vol spread,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair,scheduler_controlled_smoke,phase3co_arm_budget_table,0.02572,0.02572,0.0002572,0.536008,3,0.58,,,21,Phase3CP real-CM loop generation metrics are CA ranking only; CM train_reward is the feedback source,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,1e9e7c338a7cdf0d26,16110fe9b93fc289f4,44f715db81a8,0.02572,,,,,,,,,true,
phase3cp_00022,ce2b5b95a9aa65e21ddb06ef,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),20))))",rx_interaction::rx_opening_amount::rx_range_location::spread,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,amount|high|low|m1_first5_amount|open,"['amount', 'high', 'low', 'm1_first5_amount', 'open']",0,"CSRank(Sub(ZScore(Div($F,Add(Abs($F),N))),ZScore(Std(Div(Sub($F,$F),Add(Abs($F),N)),N))))",CSRank>Sub>ZScore>Div>Add>Abs>ZScore>Std>Div>Sub,Abs:2|Add:2|CSRank:1|Div:2|Std:1|Sub:2|ZScore:2,CSRank,7,depth_le_8,12,opcount_le_12,5,fieldcount_le_6,1,wincount_le_1,20,maxwin_le_30,18,complexity_le_18,phase3bp:ce2b5b95a9aa65e21ddb06ef,0.11,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first5_amount x range_vol_20 spread,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair,scheduler_controlled_smoke,phase3co_arm_budget_table,0.02852,0.02852,0.0002852,0.539928,3,0.58,,,22,Phase3CP real-CM loop generation metrics are CA ranking only; CM train_reward is the feedback source,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6dfdc2653ce052bd27,0881b8b05eb644e6d5,9fcbc555e2eb,0.02852,,,,,,,,,true,
phase3cp_00023,cc39d7f681d1d4c000a17559,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",rx_interaction::rx_range_location::rx_opening_amount::product,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,close|high|low|m1_first30_vol|volume,"['close', 'high', 'low', 'm1_first30_vol', 'volume']",0,"CSRank(Mul(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N))),ZScore(Div($F,Add(Abs($F),N)))))",CSRank>Mul>ZScore>Sub>Div>Sub>Add>Abs>Sub>Mean,Abs:3|Add:3|CSRank:1|Div:3|Mean:1|Mul:1|Sub:5|ZScore:2,CSRank,9,depth_gt_8,19,opcount_gt_12,5,fieldcount_le_6,1,wincount_le_1,2,maxwin_le_5,25,complexity_gt_18,phase3bp:cc39d7f681d1d4c000a17559,0.11,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction bar_loc_shift_2 x m1_first30_vol product,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair,scheduler_controlled_smoke,phase3co_arm_budget_table,0.03412,0.03412,0.0003412,0.547768,3,0.58,,,23,Phase3CP real-CM loop generation metrics are CA ranking only; CM train_reward is the feedback source,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6ace37bd35f0fab316,1d5c220e77d0c0ecd6,4ccb0eead839,0.03412,,,,,,,,,true,
phase3cp_00024,302c068ebfff8ae1c3e35c64,"CSRank(CSResidual(CSRank(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))),CSRank(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",cem_interaction::rx_range_location::rx_opening_amount::residual,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,close|high|low|m1_first5_vol|volume,"['close', 'high', 'low', 'm1_first5_vol', 'volume']",0,"CSRank(CSResidual(CSRank(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N))),CSRank(Div($F,Add(Abs($F),N)))))",CSRank>CSResidual>CSRank>Sub>Div>Sub>Add>Abs>Sub>Mean,Abs:3|Add:3|CSRank:3|CSResidual:1|Div:3|Mean:1|Sub:5,CSRank,9,depth_gt_8,19,opcount_gt_12,5,fieldcount_le_6,1,wincount_le_1,10,maxwin_le_15,25,complexity_gt_18,phase3bp:302c068ebfff8ae1c3e35c64,0.11,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_cem_elite: cem seed interaction bar_loc_shift_10 x m1_first5_vol residual,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair,scheduler_controlled_smoke,phase3co_arm_budget_table,0.03552,0.03552,0.0003552,0.549728,3,0.58,,,24,Phase3CP real-CM loop generation metrics are CA ranking only; CM train_reward is the feedback source,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,4926a97a8ff2d2c4d5,213c37a95c7c7e138f,4c11fea9a366,0.03552,,,,,,,,,true,0.118998
phase3cp_00025,897f2c026237c341c20e9835,"CSRank(CSResidual(CSRank(Div($m1_first30_amount,Add(Abs($amount),0.000001))),CSRank(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",cem_interaction::rx_opening_amount::rx_range_location::residual,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,amount|high|low|m1_first30_amount|open,"['amount', 'high', 'low', 'm1_first30_amount', 'open']",0,"CSRank(CSResidual(CSRank(Div($F,Add(Abs($F),N))),CSRank(Std(Div(Sub($F,$F),Add(Abs($F),N)),N))))",CSRank>CSResidual>CSRank>Div>Add>Abs>CSRank>Std>Div>Sub,Abs:2|Add:2|CSRank:3|CSResidual:1|Div:2|Std:1|Sub:1,CSRank,7,depth_le_8,12,opcount_le_12,5,fieldcount_le_6,1,wincount_le_1,10,maxwin_le_15,18,complexity_le_18,phase3bp:897f2c026237c341c20e9835,0.11,1,read_only_research_candidate,hybrid arm from phase3bp_true1min_cem_elite: cem seed interaction m1_first30_amount x range_vol_10 residual,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair,scheduler_controlled_smoke,phase3co_arm_budget_table,0.02642,0.02642,0.0002642,0.536988,3,0.58,,,25,Phase3CP real-CM loop generation metrics are CA ranking only; CM train_reward is the feedback source,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,0ad2246245af44f1ff,48b1a8d9e3521c4d2e,d54752b99c91,0.02642,,,,,,,,,true,0.118988
