field_token_id,field_uid,field_id,context,registry_present,route_compatible,representation_available,generator_exposed,generator_exposed_routes,materialization_status,information_status,information_qualified,core_pack_selected,blocker
cn.ft.00599be1d61870bc16ad00eb,source::cn_source::balance_sheet_report_em::PREFERRED_SHARES,balance_sheet_report_em.PREFERRED_SHARES,FUNDAMENTAL_DISCLOSURE,False,False,False,False,,PIT_SIDECAR_REGISTERED_LAZY_NOT_MINUTE_EXPANDED,NOT_EVALUATED,False,False,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
cn.ft.0094bd6970c6efbbcaa73be8,capability::m1_first5_vwap_return_vs_open,m1_first5_vwap_return_vs_open,FIRSTN_INTRADAY,True,True,True,True,FIRSTN_PATH,REGISTERED_TYPED_CAPABILITY,NOT_EVALUATED,False,False,
cn.ft.0098a822a221e22b462a5764,source::cn_source::cash_flow_sheet_report_em::BORROW_FUND_REDUCE,cash_flow_sheet_report_em.BORROW_FUND_REDUCE,FUNDAMENTAL_DISCLOSURE,False,False,False,False,,PIT_SIDECAR_REGISTERED_LAZY_NOT_MINUTE_EXPANDED,NOT_EVALUATED,False,False,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
cn.ft.00ad754a59020f5319117e91,source::cn_source::balance_sheet_report_em::NONCURRENT_LIAB_1YEAR,balance_sheet_report_em.NONCURRENT_LIAB_1YEAR,FUNDAMENTAL_DISCLOSURE,False,False,False,False,,PIT_SIDECAR_REGISTERED_LAZY_NOT_MINUTE_EXPANDED,NOT_EVALUATED,False,False,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
cn.ft.00af061482d8776d8c013b1e,source::cn_source::profit_sheet_report_em::INVEST_JOINT_INCOME,profit_sheet_report_em.INVEST_JOINT_INCOME,FUNDAMENTAL_DISCLOSURE,False,False,False,False,,PIT_SIDECAR_REGISTERED_LAZY_NOT_MINUTE_EXPANDED,NOT_EVALUATED,False,False,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
cn.ft.00b510b8a819aa7a7da55bd1,capability::m1_first15_last_close,m1_first15_last_close,FIRSTN_INTRADAY,True,True,True,True,FIRSTN_PATH,REGISTERED_TYPED_CAPABILITY,NOT_EVALUATED,False,False,
cn.ft.00e1b9e5107e611d54ac5624,source::cn_source::cash_flow_sheet_report_em::BEGIN_CCE_YOY,cash_flow_sheet_report_em.BEGIN_CCE_YOY,FUNDAMENTAL_DISCLOSURE,False,False,False,False,,PIT_SIDECAR_REGISTERED_LAZY_NOT_MINUTE_EXPANDED,NOT_EVALUATED,False,False,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
cn.ft.00e9a10d333fc7fb6fbe3001,source::cn_source::cash_flow_sheet_report_em::RECEIVE_INTEREST_COMMISSION,cash_flow_sheet_report_em.RECEIVE_INTEREST_COMMISSION,FUNDAMENTAL_DISCLOSURE,False,False,False,False,,PIT_SIDECAR_REGISTERED_LAZY_NOT_MINUTE_EXPANDED,NOT_EVALUATED,False,False,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
cn.ft.00f84a297bf966810418b65f,source::cn_source::cash_flow_sheet_report_em::FINANCE_NETCASH_OTHER,cash_flow_sheet_report_em.FINANCE_NETCASH_OTHER,FUNDAMENTAL_DISCLOSURE,False,False,False,False,,PIT_SIDECAR_REGISTERED_LAZY_NOT_MINUTE_EXPANDED,NOT_EVALUATED,False,False,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
cn.ft.0121687a95d97c2401a26fd4,source::cn_source::zygc_em::利润比例,zygc_em.利润比例,FUNDAMENTAL_DISCLOSURE,False,False,False,False,,BLOCKED_PIT_CONTRACT_UNRESOLVED,NOT_EVALUATED,False,False,NO_INDEPENDENT_DISCLOSURE_OR_OBSERVABLE_TIME
