expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bn_blocker_flags,phase3bn_decision
4322af929d59a70c42468947,,,opening_vs_intraday_return_divergence,m1_first15_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,10))))",1,4,0.1159485662,0.1206325677,0.95,0.0004721523778,0.0005335251817,0.8954545455,0.007249090323,-0.4537501246,0.7782191547,2558,72414,77662,1,0,0.1159485662,0.0004721523778,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1159485662,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
b7c4ed2f7529c5e30306824b,,,opening_vs_intraday_return_divergence,m1_first15_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,5))))",1,4,0.1135656332,0.1180336092,0.9409090909,0.0004656980471,0.0005203077968,0.8772727273,0.005549785863,-0.4650529865,0.7784825501,2558,72414,77662,1,0,0.1135656332,0.0004656980471,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1135656332,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
93ca0af79aa4158756a8fc7b,,,opening_vs_intraday_return_divergence,m1_first5_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,10))))",1,4,0.1117617753,0.1176065679,0.9353448276,0.0004379927781,0.000524441793,0.849137931,0.005799552729,-0.4611646507,0.7775060887,2559,76334,77662,1,0,0.1117617753,0.0004379927781,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1117617753,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
a6d29e53b44b5d68101c67b2,,,opening_vs_intraday_return_divergence,m1_first15_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,8))))",1,4,0.1115654056,0.1159227908,0.9363636364,0.0004753486577,0.0005459182692,0.9136363636,0.00590936559,-0.4602833462,0.7801223747,2558,72414,77662,1,0,0.1115654056,0.0004753486577,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1115654056,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
b9b9a75300a7c8e2c2b0a68d,,,opening_vs_intraday_return_divergence,m1_first5_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,5))))",1,4,0.1087263553,0.1152743775,0.9051724138,0.0004513662329,0.0005289651801,0.8577586207,0.004837481232,-0.4638836578,0.7797543149,2559,76334,77662,1,0,0.1087263553,0.0004513662329,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1087263553,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
f9645b18f05d443da7642e4d,,,opening_vs_intraday_return_divergence,m1_first15_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,20))))",1,4,0.1085120194,0.1132658257,0.9181818182,0.0004481158539,0.0005117650042,0.9045454545,0.003919135112,-0.4434223549,0.7813093233,2558,72414,77662,1,0,0.1085120194,0.0004481158539,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1085120194,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
a38f226feae4e673332ac920,,,opening_vs_intraday_return_divergence,m1_first15_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,15))))",1,4,0.1080688145,0.1117719677,0.9227272727,0.000454381328,0.0004938864499,0.9045454545,-0.0002658654907,-0.4509567756,0.7782020342,2558,72414,77662,1,0,0.1080688145,0.000454381328,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1080688145,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
fef272f7698645f63c675059,,,opening_vs_intraday_return_divergence,m1_first15_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,2))))",1,4,0.107782343,0.1119863715,0.9272727273,0.0004772607778,0.0005120384325,0.9,-0.003471613195,-0.4637396761,0.7842814675,2556,72414,77662,1,0,0.107782343,0.0004772607778,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.107782343,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
549476ae2c4e628c592d8198,,,opening_vs_intraday_return_divergence,m1_first15_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,3))))",1,4,0.1067902391,0.1160234669,0.9136363636,0.0004691850957,0.0005242343933,0.8772727273,-0.00369626402,-0.4642759845,0.7809701944,2558,72414,77662,1,0,0.1067902391,0.0004691850957,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1067902391,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
4b351943fc7e7b9549b870ca,,,opening_vs_intraday_return_divergence,m1_first5_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,8))))",1,4,0.1065230386,0.1130767545,0.9267241379,0.000453075285,0.0005383601869,0.875,0.004019368982,-0.4600303911,0.7797607796,2557,76334,77662,1,0,0.1065230386,0.000453075285,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1065230386,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
