expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bn_blocker_flags,phase3bn_decision
2bd85d0e14166170979289d6,,,opening_vs_intraday_return_divergence,m1_first5_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,15))))",1,4,0.1055187797,0.1104942228,0.9094827586,0.0004369915321,0.0005051686514,0.900862069,-0.001764824248,-0.4618414326,0.7810689453,2560,76334,77662,1,0,0.1055187797,0.0004369915321,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1055187797,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
2fdad72b9a55468e176828a7,,,opening_vs_intraday_return_divergence,m1_first5_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,20))))",1,4,0.104924186,0.1099736953,0.9224137931,0.0004298949612,0.0005125652119,0.8706896552,0.002499999122,-0.4535272752,0.7822038094,2559,76334,77662,1,0,0.104924186,0.0004298949612,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.104924186,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
6dae263a48cc91560ce37a1f,,,opening_vs_intraday_return_divergence,m1_first5_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,30))))",1,4,0.1020402536,0.1082214545,0.9181034483,0.0004295502016,0.0005078994353,0.8534482759,0.002207247087,-0.4544602292,0.7794068239,2559,76334,77662,1,0,0.1020402536,0.0004295502016,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1020402536,4,,bn_followup_priority
67d707bef48e171f3572984d,,,opening_vs_intraday_return_divergence,m1_first5_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,2))))",1,4,0.1013096785,0.1115286021,0.9137931034,0.0004238414338,0.00052636863,0.8663793103,-0.004304401435,-0.4639117793,0.7826965155,2558,76334,77662,1,0,0.1013096785,0.0004238414338,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1013096785,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
00228735d68cd091d505bd81,,,opening_vs_intraday_return_divergence,m1_first5_vwap_return_vs_open|ret_1m,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,3))))",1,4,0.1001272441,0.1147066295,0.8965517241,0.000403891202,0.0005261965325,0.8577586207,-0.004022833926,-0.4681714399,0.7806993422,2559,76334,77662,1,0,0.1001272441,0.000403891202,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.1001272441,4,signal_corr_abs_ge_0.80,bn_watch_or_reject
f360b4ed49b04e59022a973c,,,opening_directional_return,m1_first5_last_close|open,"CSRank(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001)))",30,4,0.02812459417,0.09675258238,0.6422413793,0.0001854172443,0.002057943121,0.5387931034,0.02888932398,0.03114290128,0.7707447739,2283,76390,77662,1,0,0.02812459417,0.0001854172443,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02812459417,1,too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
28a9cab6ba880f3bbcfdaee4,,,opening_directional_return,m1_first15_last_close|open,"CSRank(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001)))",30,4,0.02763803847,0.09928702196,0.6318181818,0.0002461206814,0.002178260264,0.5181818182,0.02305220581,0.02771286761,0.7754050964,2264,72468,77662,1,0,0.02763803847,0.0002461206814,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02763803847,1,too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
6af3e082fa71f6d767a1c745,,,opening_volume_range_imbalance,m1_first5_range|m1_first5_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,15)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02610984157,0.07951624993,0.6034482759,0.0002316364779,0.0007664535733,0.5689655172,0.02644293044,0.02425299555,0.4749331652,2236,76390,77662,1,0,0.02610984157,0.0002316364779,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02610984157,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
5ba0567e5568ffe3632dc6ea,,,opening_volume_range_imbalance,m1_first5_range|m1_first5_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,20)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02607137128,0.08002139395,0.6077586207,0.0002328351335,0.0007822795542,0.5646551724,0.02585935149,0.02445774756,0.4784745596,2236,76390,77662,1,0,0.02607137128,0.0002328351335,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02607137128,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
0766c65699fc6a45c03d2d64,,,opening_volume_range_imbalance,m1_first5_range|m1_first5_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,5)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02540656908,0.07596395206,0.599137931,0.0001705191261,0.0007219293819,0.5215517241,0.02612522515,0.02136585446,0.4494970138,2236,76390,77662,1,0,0.02540656908,0.0001705191261,,bl_signal_materialized_pass,long_top,0.02540656908,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
3c4ad362a4a29ce94810f94e,,,opening_volume_range_imbalance,m1_first5_range|m1_first5_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,10)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02493145974,0.0770158922,0.5862068966,0.0001989974045,0.0007454784449,0.5172413793,0.02528854419,0.02247633771,0.4692230267,2236,76390,77662,1,0,0.02493145974,0.0001989974045,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02493145974,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
df6990c194b9cc318652ed2b,,,opening_volume_range_imbalance,m1_first5_range|m1_first5_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,8)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02421647664,0.07571459738,0.6034482759,0.0001726349447,0.0007274556264,0.5215517241,0.02566040928,0.02159499307,0.4645211347,2236,76390,77662,1,0,0.02421647664,0.0001726349447,,bl_signal_materialized_pass,long_top,0.02421647664,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
7d7d42788becad5eb0ebb31e,,,opening_volume_range_imbalance,m1_first15_range|m1_first15_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,20)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.02385295039,0.07975653645,0.5954545455,0.0001957860121,0.0007508128593,0.5727272727,0.02441944246,0.02211489621,0.4730435525,2236,72468,77662,1,0,0.02385295039,0.0001957860121,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02385295039,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
87efc122c5f7ec6b10a078bf,,,opening_volume_range_imbalance,m1_first15_range|m1_first15_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,5)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.02362636598,0.07537455108,0.5863636364,0.0001511750818,0.00073302424,0.5136363636,0.02348405363,0.02145016441,0.4414575797,2236,72468,77662,1,0,0.02362636598,0.0001511750818,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02362636598,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
65b3d3c50aebd77643e78bc6,,,opening_volume_range_imbalance,m1_first5_range|m1_first5_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,30)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02333728217,0.07788255,0.6120689655,0.0002421567012,0.0008045619527,0.5732758621,0.02300735834,0.02261013182,0.4861051224,2236,76390,77662,1,0,0.02333728217,0.0002421567012,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02333728217,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
a07cfa21db12f8efdbf26a38,,,opening_volume_range_imbalance,m1_first5_range|m1_first5_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,3)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02290864605,0.07659229227,0.5862068966,0.0001366477635,0.0007287601758,0.5172413793,0.02559945788,0.01950280706,0.4322499548,2236,76390,77662,1,0,0.02290864605,0.0001366477635,,bl_signal_materialized_pass,long_top,0.02290864605,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
62ba3f41e3021b0e3561f5f8,,,opening_volume_range_imbalance,m1_first15_range|m1_first15_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,15)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.02290142138,0.07918455962,0.6090909091,0.000180158562,0.0007591967796,0.55,0.02353690625,0.02195186023,0.4725986763,2236,72468,77662,1,0,0.02290142138,0.000180158562,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02290142138,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
3e5fa2a3bbbb475b094bb083,,,opening_volume_range_imbalance,m1_first5_range|m1_first5_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,2)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",5,4,0.02272783336,0.07814445297,0.5603448276,0.000143107569,0.0007669572755,0.525862069,0.02426935144,0.0186309727,0.4178314375,2236,76390,77662,1,0,0.02272783336,0.000143107569,,bl_signal_materialized_pass,long_top,0.02272783336,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
9a9bb8218c4505034421adc7,,,opening_volume_range_imbalance,m1_first15_range|m1_first15_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,2)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.02255095906,0.07898869835,0.5545454545,0.0001452661053,0.000780587085,0.5454545455,0.02274329864,0.01953805779,0.3989245443,2236,72468,77662,1,0,0.02255095906,0.0001452661053,,bl_signal_materialized_pass,long_top,0.02255095906,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
d43546e47e30af103db991bc,,,opening_volume_range_imbalance,m1_first15_range|m1_first15_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,10)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.02249834473,0.07703202484,0.5818181818,0.0001718462556,0.0007688348997,0.5318181818,0.02262690189,0.02200746017,0.4732878218,2236,72468,77662,1,0,0.02249834473,0.0001718462556,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02249834473,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
e2cf4e4dc94f7ebb9cc870ae,,,opening_volume_range_imbalance,m1_first15_range|m1_first15_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,8)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.02217812589,0.07646863122,0.5590909091,0.0001590614394,0.0007482882023,0.5181818182,0.02360640205,0.0206363464,0.4658861658,2236,72468,77662,1,0,0.02217812589,0.0001590614394,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02217812589,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
77c1c68b0909e0ca98dea4b5,,,opening_volume_range_imbalance,m1_first15_range|m1_first15_vol|open|volume,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,3)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",5,4,0.02181054226,0.0766881848,0.5727272727,0.0001424035503,0.0007330068047,0.5272727273,0.02341168879,0.0208844793,0.423149342,2236,72468,77662,1,0,0.02181054226,0.0001424035503,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,long_top,0.02181054226,1,signal_corr_abs_ge_0.80|too_few_positive_horizons|weak_dense_primary_abs_ic,bn_watch_or_reject
