source_table,source_family,source_field,source_dtype,source_dtype_variants,entity_scope,semantic_roles,semantic_description,semantic_evidence,typed_route,allowed_change_transforms,observable_time_policy,pit_status,future_route_eligible,current_121_presence,current_121_field,current_generator_exposure,recommended_route,blocker,development_safe_non_null,development_safe_missing,source_field_id,source_identity_version,provider,source_release_version,value_kind,flow_or_stock,period_basis,consolidation_scope,sign_semantics,unit_certainty,semantic_certainty,company_type_applicability,coverage_ratio,source_reported_change,canonical_family,qualification_state,qualification_reason,allowed_routes,representation_ids,blocked_reason,raw_generator_exposure,historical_revision_replay_supported
balance_sheet_report_em,fundamental_balance_sheet,ACCEPT_DEPOSIT,double,"{""double"": 43, ""int64"": 7}",STOCK_REPORT_PERIOD,FUNDAMENTAL_LEVEL|FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-native financial statement cell; exact identifier retained without inferred relabeling,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.statement,delta|yoy|slope|persistence|acceleration,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.statement,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,2488,272273,cn.sf.a3b981e0559e67a639418d56167a17c9,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,unknown,unknown,unknown,unknown,unknown,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,SOURCE_SEMANTICS_NOT_ASSERTED,FINANCIAL_INSTITUTION_REVIEW_REQUIRED,0.0090551425,False,FINANCIAL_INSTITUTION_SPECIFIC,INDUSTRY_SPECIFIC,native identifier suggests sector scope but unit/applicability contract is unresolved,,,native identifier suggests sector scope but unit/applicability contract is unresolved,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCEPT_DEPOSIT_INTERBANK,double,"{""double"": 5073}",STOCK_REPORT_PERIOD,FUNDAMENTAL_LEVEL|FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-native financial statement cell; exact identifier retained without inferred relabeling,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.statement,delta|yoy|slope|persistence|acceleration,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.statement,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,26424,248337,cn.sf.7ddf274d12ada2f4d78b0266993e6fd5,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,unknown,unknown,unknown,unknown,unknown,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,SOURCE_SEMANTICS_NOT_ASSERTED,FINANCIAL_INSTITUTION_REVIEW_REQUIRED,0.0961708539,False,FINANCIAL_INSTITUTION_SPECIFIC,INDUSTRY_SPECIFIC,native identifier suggests sector scope but unit/applicability contract is unresolved,,,native identifier suggests sector scope but unit/applicability contract is unresolved,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCEPT_DEPOSIT_INTERBANK_YOY,double,"{""double"": 5073}",STOCK_REPORT_PERIOD,FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-reported YoY value in the safely observable current version,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.change.source_reported_yoy,source_reported_yoy,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.change.source_reported_yoy,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,1366,273395,cn.sf.688d4cf619415e6ed23ef2c4b49bef39,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,unknown,unknown,unknown,unknown,unknown,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,SOURCE_SEMANTICS_NOT_ASSERTED,FINANCIAL_INSTITUTION_REVIEW_REQUIRED,0.0049715935,False,FINANCIAL_INSTITUTION_SPECIFIC,INDUSTRY_SPECIFIC,native identifier suggests sector scope but unit/applicability contract is unresolved,,,native identifier suggests sector scope but unit/applicability contract is unresolved,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCEPT_DEPOSIT_YOY,double,"{""double"": 50}",STOCK_REPORT_PERIOD,FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-reported YoY value in the safely observable current version,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.change.source_reported_yoy,source_reported_yoy,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.change.source_reported_yoy,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,2191,272570,cn.sf.43244168f048fb56ceb6a584f84af878,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,unknown,unknown,unknown,unknown,unknown,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,SOURCE_SEMANTICS_NOT_ASSERTED,FINANCIAL_INSTITUTION_REVIEW_REQUIRED,0.0079742030,False,FINANCIAL_INSTITUTION_SPECIFIC,INDUSTRY_SPECIFIC,native identifier suggests sector scope but unit/applicability contract is unresolved,,,native identifier suggests sector scope but unit/applicability contract is unresolved,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCOUNTS_PAYABLE,double,"{""double"": 5166, ""int64"": 6}",STOCK_REPORT_PERIOD,FUNDAMENTAL_LEVEL|FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-native financial statement cell; exact identifier retained without inferred relabeling,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.statement,delta|yoy|slope|persistence|acceleration,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.statement,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,259715,15046,cn.sf.e5984e907750728bdd7a9045c518e5e8,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,currency,stock,point_in_time,source_reported_consolidated_or_unknown,source_signed_numeric_no_abs_rewrite,ASSERTED_FROM_EXACT_SOURCE_FIELD_SEMANTICS,ASSERTED_FROM_EXACT_SOURCE_FIELD_SEMANTICS,general_industrial,0.9452396810,False,WORKING_CAPITAL,DERIVED_ONLY,"asserted statement field; raw currency level remains blocked and only canonical change, normalized ratio, or source-reported YoY representations are permitted",SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,cn.rep.3dede1bcf6596e967f3f9aaef4deba74|cn.rep.488543a7597e25f3511ba88eb2a4a255|cn.rep.9340e79aca86257e85fd5108fe89fc8a|cn.rep.ad831a69db6936ff5a4ab482543449e6|cn.rep.d6c2a97a2a5c7861d872225dfb1f8538|cn.rep.f27917796d8b0c2c739b3aecdbb637bc,,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCOUNTS_PAYABLE_YOY,double,"{""double"": 5172}",STOCK_REPORT_PERIOD,FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-reported YoY value in the safely observable current version,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.change.source_reported_yoy,source_reported_yoy,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.change.source_reported_yoy,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,230739,44022,cn.sf.8716dedbf7637085725880ea4f6b0bc5,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,rate,stock,point_in_time,source_reported_consolidated_or_unknown,source_native_signed_yoy_rate_no_scale_conversion,ASSERTED_RATE_KIND_SOURCE_NATIVE_SCALE,ASSERTED_FROM_EXACT_SOURCE_FIELD_SEMANTICS,general_industrial,0.8397807549,True,WORKING_CAPITAL,DERIVED_ONLY,"asserted statement field; raw currency level remains blocked and only canonical change, normalized ratio, or source-reported YoY representations are permitted",SLOW_TEMPORAL_CHANGE,cn.rep.1fd369ad43a0f2850c24b2b4d7f71472,,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCOUNTS_RECE,double,"{""double"": 5097, ""int64"": 26}",STOCK_REPORT_PERIOD,FUNDAMENTAL_LEVEL|FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-native financial statement cell; exact identifier retained without inferred relabeling,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.statement,delta|yoy|slope|persistence|acceleration,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.statement,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,260434,14327,cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,currency,stock,point_in_time,source_reported_consolidated_or_unknown,source_signed_numeric_no_abs_rewrite,ASSERTED_FROM_EXACT_SOURCE_FIELD_SEMANTICS,ASSERTED_FROM_EXACT_SOURCE_FIELD_SEMANTICS,general_industrial,0.9478565007,False,WORKING_CAPITAL,DERIVED_ONLY,"asserted statement field; raw currency level remains blocked and only canonical change, normalized ratio, or source-reported YoY representations are permitted",SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,cn.rep.5752df468f0b32c091ae7f5a0c578e5a|cn.rep.a26e7f616ea12b9a29d8b7d14ebaddc0|cn.rep.c4de4ea9482451d568484fa2e8f38759|cn.rep.c6b97ba35e4a83ad608f1e2c8ae47971|cn.rep.ef9f689be2744c528afc3f052bafc700|cn.rep.f0ed2e5b7bd39ce6826c8c04c28db518,,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCOUNTS_RECE_YOY,double,"{""double"": 5123}",STOCK_REPORT_PERIOD,FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-reported YoY value in the safely observable current version,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.change.source_reported_yoy,source_reported_yoy,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.change.source_reported_yoy,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,236062,38699,cn.sf.0dc5be68ccec1227b8b0db86fa41fb51,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,rate,stock,point_in_time,source_reported_consolidated_or_unknown,source_native_signed_yoy_rate_no_scale_conversion,ASSERTED_RATE_KIND_SOURCE_NATIVE_SCALE,ASSERTED_FROM_EXACT_SOURCE_FIELD_SEMANTICS,general_industrial,0.8591539556,True,WORKING_CAPITAL,DERIVED_ONLY,"asserted statement field; raw currency level remains blocked and only canonical change, normalized ratio, or source-reported YoY representations are permitted",SLOW_TEMPORAL_CHANGE,cn.rep.92b6dc2ae1855cd810d77a65ce643c7b,,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCRUED_EXPENSE,double,"{""double"": 5118}",STOCK_REPORT_PERIOD,FUNDAMENTAL_LEVEL|FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-native financial statement cell; exact identifier retained without inferred relabeling,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.statement,delta|yoy|slope|persistence|acceleration,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.statement,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,663,274098,cn.sf.c4eed533d2d28939c5e55b8f20919213,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,unknown,unknown,unknown,unknown,unknown,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,SOURCE_SEMANTICS_NOT_ASSERTED,NONE,0.0024130062,False,OTHER_UNRESOLVED,LOW_COVERAGE_ARCHIVE,coverage below 0.10 without asserted applicability,,,coverage below 0.10 without asserted applicability,False,False
balance_sheet_report_em,fundamental_balance_sheet,ACCRUED_EXPENSE_YOY,double,"{""double"": 5118}",STOCK_REPORT_PERIOD,FUNDAMENTAL_CHANGE|DISCLOSURE_EVENT,source-reported YoY value in the safely observable current version,SOURCE_SCHEMA_AND_NATIVE_IDENTIFIER,fundamental.change.source_reported_yoy,source_reported_yoy,NEXT_SESSION_AFTER_MAX_NOTICE_UPDATE,PIT_SAFE_CURRENT_SNAPSHOT_ONLY,True,ABSENT,,False,fundamental.change.source_reported_yoy,NO_FORMAL_SEARCH_IN_THIS_TASK; SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,199,274562,cn.sf.c54813794d311d4376d002328724cf88,cn_source_field_identity_v2,AKSHARE_EASTMONEY,cn_fundamental_akshare_fullA_partitioned_pit_v1_20260603,unknown,unknown,unknown,unknown,unknown,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,SOURCE_SEMANTICS_NOT_ASSERTED,NONE,0.0007242658,False,GROWTH,LOW_COVERAGE_ARCHIVE,coverage below 0.10 without asserted applicability,,,coverage below 0.10 without asserted applicability,False,False
