search_memory_key,expression_hash,skeleton_hash,field_set_hash,candidate_id,source_label,source_lane,phase3_budget_bucket,field_family,field_name,expression
phase3ad_new_data:d6d3030f57aadd1d,8b7c46e094ddbda23b18744b,0af4ff3c96abef1e68af5d17,71e8fb28721f63e037b73f82,phase3aa_event_0001_phase3ad_newdata_fundamental_debt_asset_inverse_00001,phase3aj,cn_phase3ad_new_data_feature_layer,fundamental_pit_feature_layer,,,"CSRank(Neg(Div($ctx_fulla_bs_total_liabilities,Add(Abs($ctx_fulla_bs_total_assets),0.000001))))"
v2cand-c965c22e2824,ba8cd9c1b0aaac4a2018e07a,b9e0eda354dd3f1d16704524,a09120527c96e1ad160987c1,phase3aa_event_0001_phase3ae_brepair_v1_00001,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,CSRank($evt_limit_fengdan_rate_last_by_0930)
phase3ad_new_data:0fa4a7b2ed284538,3f2e22f0b9a7f7afa97ffb24,c2641d9cf33f9f7b5b3ead56,505e58d86ad007d0e26e65fe,phase3aa_event_0002_phase3ad_newdata_fundamental_cash_asset_quality_00002,phase3aj,cn_phase3ad_new_data_feature_layer,fundamental_pit_feature_layer,,,"CSRank(Div($ctx_fulla_bs_monetaryfunds,Add(Abs($ctx_fulla_bs_total_assets),0.000001)))"
v2cand-656e4b646e8b,864a758370f7a036f5d0b2f9,3e4e7a619207cf13e039acfd,a09120527c96e1ad160987c1,phase3aa_event_0002_phase3ae_brepair_v1_00002,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,CSRank(Neg($evt_limit_fengdan_rate_last_by_0930))
phase3ad_new_data:548c03fd607e2900,6ab76c864a98d739d12ab479,0af4ff3c96abef1e68af5d17,42b079ce88d472c3dce3c85e,phase3aa_event_0003_phase3ad_newdata_fundamental_goodwill_asset_inverse_00003,phase3aj,cn_phase3ad_new_data_feature_layer,fundamental_pit_feature_layer,,,"CSRank(Neg(Div($ctx_fulla_bs_goodwill,Add(Abs($ctx_fulla_bs_total_assets),0.000001))))"
v2cand-0d4ab3d957e2,ea85bac04a1ef251b966d0d8,ac6b177ac5ee47c4847b2ac5,a09120527c96e1ad160987c1,phase3aa_event_0003_phase3ae_brepair_v1_00003,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,"CSRank(Log(Add(Abs($evt_limit_fengdan_rate_last_by_0930),1)))"
phase3ad_new_data:4b0a2fba752906e9,d65da6dd0478948ec156d2f4,0af4ff3c96abef1e68af5d17,c6c2749276845d659000401c,phase3aa_event_0004_phase3ad_newdata_fundamental_inventory_asset_inverse_00004,phase3aj,cn_phase3ad_new_data_feature_layer,fundamental_pit_feature_layer,,,"CSRank(Neg(Div($ctx_fulla_bs_inventory,Add(Abs($ctx_fulla_bs_total_assets),0.000001))))"
v2cand-b822f0414385,941067f317148385d274db6f,9dc0579ac06ab21cc1d87d9c,a09120527c96e1ad160987c1,phase3aa_event_0004_phase3ae_brepair_v1_00004,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,CSRank(ZScore($evt_limit_fengdan_rate_last_by_0930))
phase3ad_new_data:d1a0295d8c46e9fa,37615152474cf037376cd9d5,c2641d9cf33f9f7b5b3ead56,0d202ea8e6cccd91f009006a,phase3aa_event_0005_phase3ad_newdata_fundamental_current_ratio_00005,phase3aj,cn_phase3ad_new_data_feature_layer,fundamental_pit_feature_layer,,,"CSRank(Div($ctx_fulla_bs_total_current_assets,Add(Abs($ctx_fulla_bs_total_current_liab),0.000001)))"
v2cand-dbe5ceee3972,c039a021ff587a56154e9821,33ffcbf5f3dab6333c8a2cfa,a09120527c96e1ad160987c1,phase3aa_event_0005_phase3ae_brepair_v1_00005,phase3aj,phase3ae_bounded_repair_feature_layer,event_derived_feature_layer,limit_event_sentiment,fengdan_rate,"CSRank(Mean($evt_limit_fengdan_rate_last_by_0930,2))"
