candidate_id,expression_hash,run,source_round,generator_arm,generator_route,source_generator,source_lane,factor_lane,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,phase3ca_proxy_quality,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,fields,expression,train_reward,train_day_sortino,train_minute_sortino,train_worst_horizon_day_sortino,train_median_horizon_day_sortino,train_horizon_sortino_stdev,train_day_mcmc_p25,train_day_mcmc_prob_gt_0,train_mean_one_way_turnover,validation_day_sortino,validation_day_mcmc_prob_gt_0,holdout_day_sortino,holdout_day_mcmc_prob_gt_0,inherited_blockers,train_reward_blockers,train_reward_decision,seed,round_id,parent_id,mutation_type,blocker_flags,validation_mcmc_prob_gt_0,holdout_mcmc_prob_gt_0
phase3bp_00089,e4885ebf1544e8814e331e19,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_amount::rx_range_location::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,c3be9eb0a3620ec39b,651e90e40fe181795a,a920d91b48eb,,0.02011317208,0.02011317208,0.4777070064,0.6154318673,amount|high|low|m1_first5_amount|open,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),15))))",-0.90686831,-0.62551138,-0.62551138,-0.92802443,-0.6047356,0.22659031,-0.67145273,0,0.61205387,-0.65335447,0,-0.74470714,0,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
phase3bp_00093,e1a686878b947a8ce2f6222a,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_amount::rx_range_location::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6dfdc2653ce052bd27,0881b8b05eb644e6d5,9fcbc555e2eb,,0.01981749888,0.01981749888,0.4410828025,0.6370666383,amount|high|low|m1_first5_amount|open,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",-0.9308196,-0.63078556,-0.63078556,-0.92486766,-0.60607594,0.21873913,-0.68092692,0,0.63864699,-0.64491053,0,-0.74581389,0,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
phase3bp_00097,d79ef720c2510971b68cb4e3,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_amount::rx_range_location::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,9e96ab1433d465d733,b244beaf15854a7b91,5fa9d9e6c005,,0.01953624415,0.01953624415,0.4463087248,0.6387065392,amount|high|low|m1_first15_amount|open,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",-0.94059137,-0.6424277,-0.6424277,-0.9249981,-0.62362871,0.22008937,-0.68955074,0,0.64079528,-0.64479417,0,-0.74345162,0,too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
phase3bp_00095,e07b59571ce8903c0afb6ffb,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_amount::rx_range_location::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,c3be9eb0a3620ec39b,651e90e40fe181795a,a920d91b48eb,,0.0196573314,0.0196573314,0.4617834395,0.6359140181,amount|high|low|m1_first5_amount|open,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",-0.95252837,-0.66182354,-0.66182354,-0.93753854,-0.63247077,0.21506632,-0.7019921,0,0.63498983,-0.65153687,0,-0.77648525,0,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,signal_corr_abs_ge_0.75|too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
phase3bp_00108,b69c81e209d78548623d085c,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_amount::rx_range_location::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,152605e05e909b77c2,9cfef81cfbb0fae593,cff2ed07fbb5,,0.02001261363,0.02001261363,0.464028777,0.6355366891,amount|high|low|m1_first30_amount|open,"CSRank(Mul(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",-0.95923133,-0.66463368,-0.66463368,-0.94329304,-0.66367263,0.24405874,-0.7173605,0,0.63584993,-0.69741632,0,-0.745509,0,too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
phase3bp_00106,bbdce13fae36e19225ae432c,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_amount::rx_range_location::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,e405978a5756844266,1b38f4fc4f33328707,f58dce0e901e,,0.01938305126,0.01938305126,0.4580536913,0.6355561027,amount|high|low|m1_first15_amount|open,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",-0.96150817,-0.673717,-0.673717,-0.93659622,-0.65392143,0.21334508,-0.71615076,0,0.63477949,-0.64422011,0,-0.74098762,0,too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
phase3bp_00107,bad2dac6f562c7a32403a4fc,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_amount::rx_range_location::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,high_turnover,4a12e39b0c66549ca7,0a3fdd7a0e3b1ee514,2f158d4bbf6b,,0.0217072448,0.0217072448,0.4928057554,0.6666007481,amount|high|low|m1_first30_amount|open,"CSRank(Sub(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",-0.9774677,-0.65945465,-0.65945465,-0.93730923,-0.64233004,0.25376077,-0.70535559,0,0.66915895,-0.71965606,0,-0.75694652,0,too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
phase3bp_00105,c0a7b4180fa546725dfc4b2e,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_amount::rx_range_location::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,high_turnover,256dd72ddbc400770a,1b38f4fc4f33328707,f58dce0e901e,,0.02216509187,0.02216509187,0.4966442953,0.6750398653,amount|high|low|m1_first15_amount|open,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",-1.01088686,-0.69591717,-0.69591717,-0.93988141,-0.65198012,0.21145659,-0.73971047,0,0.67695996,-0.6562086,0,-0.73700772,0,too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
phase3bp_00111,a2e5350d1b33595611163614,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_range::rx_range_location::product,opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,high_turnover,dc563efed3e1157cb9,e2ae9f0d23561d9805,9e15e58645ec,,0.007300918965,0.007300918965,0.4904458599,0.6567551308,high|low|m1_first5_high|m1_first5_low|open,"CSRank(Mul(ZScore(Div(Sub($m1_first5_high,$m1_first5_low),Add(Abs($open),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),15))))",-1.01843754,-0.73039848,-0.73039848,-0.92847722,-0.69017998,0.20305329,-0.75992875,0,0.6601511,-0.6571162,0.00166667,-0.8712819,0,too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,too_few_positive_horizons|weak_dense_primary_abs_ic,0.00166667,0.0
phase3bp_00109,aafddca7f816cfc73c5ae0c1,,,cem_exploit,,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,rx_interaction::rx_opening_range::rx_range_location::product,opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,high_turnover,dc563efed3e1157cb9,e2ae9f0d23561d9805,9e15e58645ec,,0.006804721278,0.006804721278,0.5063694268,0.6675994229,high|low|m1_first5_high|m1_first5_low|open,"CSRank(Mul(ZScore(Div(Sub($m1_first5_high,$m1_first5_low),Add(Abs($open),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",-1.03654477,-0.74168082,-0.74168082,-0.9330779,-0.70193562,0.19689219,-0.76904414,0,0.67205602,-0.73648976,0,-0.88555807,0,too_few_positive_horizons|weak_dense_primary_abs_ic,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|inherited_search_blocker,HOLD_TRAIN_REWARD,,,,,too_few_positive_horizons|weak_dense_primary_abs_ic,0.0,0.0
