field_id,representation_id,source_field_id,source_family,source_table,source_field,temporal_semantics,search_eligible,allowed_routes,historical_revision_replay_supported,seed_a_proposal_count,seed_b_proposal_count,strict_count,survivor_seed_count,cross_seed_exact_survivor,legacy_phase3ga_cm_cn_exposure,runtime_scope
fund_ba_total_assets_delta,cn.rep.80ad701c547b69a1db784db911915dc6,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_size,balance_sheet_report_em,TOTAL_ASSETS,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_assets_yoy,cn.rep.27ced252af9a6dbd72f01e803db27845,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_ASSETS,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,2,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_assets_slope,cn.rep.6c8ffc65ff597f66af85de61af466fd2,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_size,balance_sheet_report_em,TOTAL_ASSETS,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,2,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_assets_persistence,cn.rep.e7e4100ac718d3111c908822cef08e96,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_size,balance_sheet_report_em,TOTAL_ASSETS,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_assets_acceleration,cn.rep.01d7e06eb10cf2cf586da292ac477b38,cn.sf.60d83a7afdd194b37a2c575c23983508,canonical_fundamental_size,balance_sheet_report_em,TOTAL_ASSETS,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_assets_source_yoy,cn.rep.44d91d47d3e39147af58e3e67b09ea13,cn.sf.5524d5a1e7084a83f8429114cb4e8226,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_ASSETS_YOY,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_liabilities_delta,cn.rep.32efbe2020883486d6dffd1a91edd066,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_LIABILITIES,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_liabilities_yoy,cn.rep.3ffb53dc6784a08cbbc354392fb2444a,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_LIABILITIES,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,2,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_liabilities_slope,cn.rep.ffddbb14480fa232d92ab5ed2c0d746d,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_LIABILITIES,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_liabilities_persistence,cn.rep.155fcf4b73358117a706b1356b1cfc6c,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_LIABILITIES,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_liabilities_acceleration,cn.rep.3bb9376f2abc160299757cc9179c21b8,cn.sf.911bcfaee1a839850a29432cd89e35a8,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_LIABILITIES,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,2,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_liabilities_source_yoy,cn.rep.9a2649dbef0f26a2c3a5cf8e7a58c3c3,cn.sf.89c64a7dc304edda97b56954db54e8c4,canonical_fundamental_growth,balance_sheet_report_em,TOTAL_LIABILITIES_YOY,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
fund_ba_total_equity_delta,cn.rep.f7e683c670b162fe2e1f41e5675f9f1c,cn.sf.0f0bfac4037c3ade1c551b83fd48478f,canonical_fundamental_leverage,balance_sheet_report_em,TOTAL_EQUITY,SLOW_CHANGE,True,"[""SLOW_TEMPORAL_CHANGE""]",False,0,0,0,0,False,False,UNIFIED_DEVELOPMENT_DISCOVERY_ONLY
