route_id,qualified_registry_field_count,proposal_count,legal_count,canonical_count,exact_count,signal_cluster_count,admission_count,strict_count,survivor_count,runtime_field_count,seed_count,claim_ceiling
MINUTE_STATIC,11,54,54,48,48,32,20,8,0,11,2,DEVELOPMENT_ONLY_NOT_OOS
FIRSTN_PATH,41,62,62,58,58,50,26,12,0,33,2,DEVELOPMENT_ONLY_NOT_OOS
SLOW_CROSS_SECTIONAL_LEVEL,47,98,98,74,74,72,52,26,3,37,2,DEVELOPMENT_ONLY_NOT_OOS
SLOW_TEMPORAL_CHANGE,141,72,72,72,72,69,32,16,2,36,2,DEVELOPMENT_ONLY_NOT_OOS
DISCLOSURE_EVENT,4,16,16,8,8,3,16,8,0,4,2,DEVELOPMENT_ONLY_NOT_OOS
MARKET_REGIME_CONDITION,29,62,62,60,60,23,22,14,1,26,2,DEVELOPMENT_ONLY_NOT_OOS
INTRADAY_STATE_TRANSITION,14,56,56,44,44,24,20,12,0,14,2,DEVELOPMENT_ONLY_NOT_OOS
BROAD_EVENT_FROZEN_ENTRY,11,44,44,22,22,21,44,44,8,11,2,DEVELOPMENT_ONLY_NOT_OOS
