physical_field_id,source_domain,source_table,source_field,source_family,dtype,entity_scope,observable_time_field,pit_status,physical_evidence,current_121_presence
active121::amount,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,amount,raw_1min,float64,STOCK,,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::amount_yuan,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,amount_yuan,raw_1min,float64,STOCK,,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::close,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,close,raw_1min,float64,STOCK,,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::code,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,code,metadata,string,STOCK,,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::ctx_billboard_accum_amount,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,ctx_billboard_accum_amount,lagged_daily_context,float64,STOCK,signal_time,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::ctx_billboard_billboard_buy_amt,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,ctx_billboard_billboard_buy_amt,lagged_daily_context,float64,STOCK,signal_time,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::ctx_billboard_billboard_deal_amt,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,ctx_billboard_billboard_deal_amt,lagged_daily_context,float64,STOCK,signal_time,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::ctx_billboard_billboard_net_amt,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,ctx_billboard_billboard_net_amt,lagged_daily_context,float64,STOCK,signal_time,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::ctx_billboard_billboard_sell_amt,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,ctx_billboard_billboard_sell_amt,lagged_daily_context,float64,STOCK,signal_time,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::ctx_billboard_buy_ratio,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,ctx_billboard_buy_ratio,lagged_daily_context,float64,STOCK,signal_time,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::ctx_billboard_deal_amount_ratio,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,ctx_billboard_deal_amount_ratio,lagged_daily_context,float64,STOCK,signal_time,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
active121::ctx_billboard_deal_net_ratio,TRUE1MIN_VERSIONED_PANEL,true1min_augmented_panel,ctx_billboard_deal_net_ratio,lagged_daily_context,float64,STOCK,signal_time,PIT_VERSIONED_HISTORY,versioned 121-field Fabric registry and development release,True
