runner,field_id,source_family,registered,physically_available,pit_qualified,search_eligible,generator_visible,proposal_count,legal_count,canonical_identity_count,exact_identity_count,signal_cluster_count,admission_count,strict_count,full_development_reward_count,survivor_count,cross_seed_exact_count,proxy_count,feedback_count,evidence_ceiling
LEGACY_PHASE3GA_CM_CN,amount,raw_1min,True,True,True,True,True,3759,3759,50,3759,627,29,20,20,0,0,237,39,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,amount,raw_1min,True,True,True,True,True,26,26,20,20,16,8,4,4,0,6,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,amount_yuan,raw_1min,True,True,True,True,True,270,270,14,270,270,3,3,3,0,0,10,2,DEVELOPMENT_ONLY_NOT_OOS
UNIFIED_DEVELOPMENT_DISCOVERY,amount_yuan,raw_1min,True,True,True,True,True,30,30,24,24,17,8,2,2,0,6,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_01166fdd6c3a2aab,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_01166fdd6c3a2aab,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_16c53855e757c585,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_16c53855e757c585,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,2,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_4fbf6cc691461c6c,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_4fbf6cc691461c6c,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_7b391e59670c491e,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_7b391e59670c491e,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_8a64cdfefa6bcc35,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_8a64cdfefa6bcc35,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,2,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_9041949344c58bcf,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_9041949344c58bcf,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,2,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_9618ee1100155073,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_9618ee1100155073,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_ac96e6d4db507a1a,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_ac96e6d4db507a1a,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_b22d9565d0b39241,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_b22d9565d0b39241,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_cf70889cec0c77df,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_cf70889cec0c77df,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,2,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
LEGACY_PHASE3GA_CM_CN,broad_event_d42c0973350238e0,broad_event_frozen_entry,True,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,PROPOSAL_OR_NOT_EVALUATED
UNIFIED_DEVELOPMENT_DISCOVERY,broad_event_d42c0973350238e0,broad_event_frozen_entry,True,True,True,True,True,4,4,2,2,2,4,4,4,0,2,0,0,DEVELOPMENT_ONLY_NOT_OOS
