field_id,registered_in_unified_authority,source_family,pit_status,search_eligible_unified,allowed_routes,legacy_phase3ga_visible,unified_runner_visible,runtime_authority
amount,True,raw_1min,PIT_VERSIONED_HISTORY,True,"[""MINUTE_STATIC"", ""FIRSTN_PATH"", ""INTRADAY_STATE_TRANSITION"", ""MARKET_REGIME_CONDITION""]",True,True,SPLIT_AUTHORITY_LEGACY_AND_UNIFIED
amount_yuan,True,raw_1min,PIT_VERSIONED_HISTORY,True,"[""MINUTE_STATIC"", ""FIRSTN_PATH"", ""INTRADAY_STATE_TRANSITION"", ""MARKET_REGIME_CONDITION""]",True,True,SPLIT_AUTHORITY_LEGACY_AND_UNIFIED
broad_event_01166fdd6c3a2aab,True,broad_event_frozen_entry,PIT_VERSIONED_HISTORY,True,"[""BROAD_EVENT_FROZEN_ENTRY""]",False,True,UNIFIED_REGISTRY_PATH
broad_event_16c53855e757c585,True,broad_event_frozen_entry,PIT_VERSIONED_HISTORY,True,"[""BROAD_EVENT_FROZEN_ENTRY""]",False,True,UNIFIED_REGISTRY_PATH
broad_event_4fbf6cc691461c6c,True,broad_event_frozen_entry,PIT_VERSIONED_HISTORY,True,"[""BROAD_EVENT_FROZEN_ENTRY""]",False,True,UNIFIED_REGISTRY_PATH
broad_event_7b391e59670c491e,True,broad_event_frozen_entry,PIT_VERSIONED_HISTORY,True,"[""BROAD_EVENT_FROZEN_ENTRY""]",False,True,UNIFIED_REGISTRY_PATH
broad_event_8a64cdfefa6bcc35,True,broad_event_frozen_entry,PIT_VERSIONED_HISTORY,True,"[""BROAD_EVENT_FROZEN_ENTRY""]",False,True,UNIFIED_REGISTRY_PATH
broad_event_9041949344c58bcf,True,broad_event_frozen_entry,PIT_VERSIONED_HISTORY,True,"[""BROAD_EVENT_FROZEN_ENTRY""]",False,True,UNIFIED_REGISTRY_PATH
broad_event_9618ee1100155073,True,broad_event_frozen_entry,PIT_VERSIONED_HISTORY,True,"[""BROAD_EVENT_FROZEN_ENTRY""]",False,True,UNIFIED_REGISTRY_PATH
broad_event_ac96e6d4db507a1a,True,broad_event_frozen_entry,PIT_VERSIONED_HISTORY,True,"[""BROAD_EVENT_FROZEN_ENTRY""]",False,True,UNIFIED_REGISTRY_PATH
