field_id,representation_id,source_field_id,source_family,source_table,source_field,entity_scope,temporal_semantics,observable_clock,maturity_rule,pit_status,unit_status,field_role,search_eligible,allowed_routes,blocked_reason
amount,cn.rep.e1a6c7e4ed4d3bdd8b53a3bda3fa28d9,cn.sf.621923f2d222470d1900a03583de5059,raw_1min,true1min_augmented_panel,amount,STOCK,BAR_VALUE,bar_close,0 bars,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,primary,True,"[""MINUTE_STATIC"", ""FIRSTN_PATH"", ""INTRADAY_STATE_TRANSITION"", ""MARKET_REGIME_CONDITION""]",
amount_yuan,cn.rep.2b9fb566603b549f272e5b36364ea811,cn.sf.dceb5c19b0a46f64c4a2954cf5620c18,raw_1min,true1min_augmented_panel,amount_yuan,STOCK,BAR_VALUE,bar_close,0 bars,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,primary,True,"[""MINUTE_STATIC"", ""FIRSTN_PATH"", ""INTRADAY_STATE_TRANSITION"", ""MARKET_REGIME_CONDITION""]",
close,cn.rep.f2107e4504bd106fcf3ccc678d1c96c8,cn.sf.d40f8f20500150cfff77216ced9c2922,raw_1min,true1min_augmented_panel,close,STOCK,BAR_VALUE,bar_close,0 bars,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,primary,True,"[""MINUTE_STATIC"", ""FIRSTN_PATH"", ""INTRADAY_STATE_TRANSITION"", ""MARKET_REGIME_CONDITION""]",
code,cn.rep.97fa58f46d1c1191c916206eb4f95acb,cn.sf.faa43e83e35ad3fca1915bb2baffca3d,metadata,true1min_augmented_panel,code,STOCK,METADATA,metadata_only,0 rows,PIT_VERSIONED_HISTORY,NOT_APPLICABLE_METADATA,blocked,False,[],identifier/label/clock metadata is not a searchable feature
ctx_billboard_accum_amount,cn.rep.77d2c0bf683a453c1901048a17983a7c,cn.sf.6cc9527dc6817d39f96d71288edfddea,lagged_daily_context,true1min_augmented_panel,ctx_billboard_accum_amount,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_billboard_billboard_buy_amt,cn.rep.ecdfdd2727ca819c649b99dc6035bf72,cn.sf.c9804800c1c3c8007de54a846ddc9c6b,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_buy_amt,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_billboard_billboard_deal_amt,cn.rep.29c7fe13f8fe2a42a9148bfb371b8f91,cn.sf.b85f38801b4c895e0523ac3689fa42f1,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_deal_amt,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_billboard_billboard_net_amt,cn.rep.ccfb889d3ffb74760bb52bb93e6f0c6f,cn.sf.38495d480ad9d13e13d6f4db0cddcee0,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_net_amt,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_billboard_billboard_sell_amt,cn.rep.10186a2d8238ca7f4839037535a2cb14,cn.sf.e14637a2c529ed5268e0963087f9696f,lagged_daily_context,true1min_augmented_panel,ctx_billboard_billboard_sell_amt,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_billboard_buy_ratio,cn.rep.5f95bacb284682876e4fc933bdbc652a,cn.sf.907793dda44688dbf82f540d3aca661b,lagged_daily_context,true1min_augmented_panel,ctx_billboard_buy_ratio,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_billboard_deal_amount_ratio,cn.rep.8a87ee2b65d5c3b46547ad4d1936d3ca,cn.sf.bd7877b41fb441079341d1aa339e3f35,lagged_daily_context,true1min_augmented_panel,ctx_billboard_deal_amount_ratio,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_billboard_deal_net_ratio,cn.rep.25280e4287176b60f7a6c762b67f71fc,cn.sf.356774b96f3e40690e94034816616d29,lagged_daily_context,true1min_augmented_panel,ctx_billboard_deal_net_ratio,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_billboard_net_bs_amt,cn.rep.8483e044002138adb2c17c1550ad9c6c,cn.sf.55f0343d8aed8fcb607166643308999c,lagged_daily_context,true1min_augmented_panel,ctx_billboard_net_bs_amt,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_billboard_sell_ratio,cn.rep.f67d064c1bf88b9597b150c51b1a137e,cn.sf.379464703014cb7ba4b09a54bf5cc83d,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sell_ratio,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_billboard_sum_buy_amt,cn.rep.080a7abd2f93c53c365ee04f51f3a6fa,cn.sf.e8b975ea1e98e060211d115b749cf83c,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sum_buy_amt,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_billboard_sum_sell_amt,cn.rep.31ac7590835d63608f7a48f6a0a2c05e,cn.sf.50c625ee2b29e9cfa3ec5bca613d2298,lagged_daily_context,true1min_augmented_panel,ctx_billboard_sum_sell_amt,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_billboard_turnoverrate,cn.rep.35cb5d2901d20bd3290de0eb8a9d2e95,cn.sf.e4698dcb77bb016930cf6a7dc5c81060,lagged_daily_context,true1min_augmented_panel,ctx_billboard_turnoverrate,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_hfq_float_market_cap_yuan,cn.rep.71d7d649f92989042bf35280d99d9b09,cn.sf.110a6284eff4d8ed5cc8f17a0057d742,lagged_daily_context,true1min_augmented_panel,ctx_hfq_float_market_cap_yuan,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_hfq_is_st,cn.rep.853264ca1cb0683892c6de620202071c,cn.sf.f886a2e8bf9f1f1a3a416cd6bf403253,lagged_daily_context,true1min_augmented_panel,ctx_hfq_is_st,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,condition-only,True,"[""MARKET_REGIME_CONDITION""]",
ctx_hfq_market_cap_yuan,cn.rep.e60216718b4fb4a1a2e37897e16860ff,cn.sf.9fc7a99ef38bd72d6d6caa20b65396f3,lagged_daily_context,true1min_augmented_panel,ctx_hfq_market_cap_yuan,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_hfq_pb,cn.rep.96fdde1e58da4cc95e27dbf90cc60e99,cn.sf.98b94046ec42578911c3ee9409a410a8,lagged_daily_context,true1min_augmented_panel,ctx_hfq_pb,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_hfq_pe_ttm,cn.rep.e53898e1bbdd126aa8c9bc5f4b5f9d43,cn.sf.009895eaf5bc14bcfc543ac8d67952e9,lagged_daily_context,true1min_augmented_panel,ctx_hfq_pe_ttm,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_hfq_prev_is_limit_up,cn.rep.feb8daaa4f70738f9c67816edc2652c5,cn.sf.f12efe73909999d5d8349b0ab78003de,lagged_daily_context,true1min_augmented_panel,ctx_hfq_prev_is_limit_up,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,state-only,True,"[""MARKET_REGIME_CONDITION""]",
ctx_hfq_ps_ttm,cn.rep.20edbe38a22c72dc1a51c8152d740f77,cn.sf.30b1d0ad56bcaf789ae3ea7931ff825b,lagged_daily_context,true1min_augmented_panel,ctx_hfq_ps_ttm,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_hfq_turnover_ratio,cn.rep.ce1a159e1374e5b5b2028ad4d1a737fb,cn.sf.cc4fd7b343b9e8f35217f25e482d77b5,lagged_daily_context,true1min_augmented_panel,ctx_hfq_turnover_ratio,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_hfq_volume_ratio,cn.rep.3389b4acd816510e5eaa84a7ca7a2cef,cn.sf.0734fa427f0bbe4b475e57f1a62f0d77,lagged_daily_context,true1min_augmented_panel,ctx_hfq_volume_ratio,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_holder_avg_hold_num,cn.rep.9a19bedea24698afc83697d7bd0a3183,cn.sf.644a83b1a56f0f6332136c034558ced7,lagged_daily_context,true1min_augmented_panel,ctx_holder_avg_hold_num,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_holder_avg_market_cap,cn.rep.bd82cd6413c9c0ac131783f5ae12489d,cn.sf.49aa5b3883600c0b60426d992430429e,lagged_daily_context,true1min_augmented_panel,ctx_holder_avg_market_cap,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_holder_holder_num,cn.rep.cd2d823b5bbdea3cf267691031562159,cn.sf.3c17f68267b2c717ed21cf37d46de356,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_holder_holder_num_change,cn.rep.fe7002e859e93131138d92c12987ffa6,cn.sf.bced3fd81c3667f7bd8620609fb6aebd,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num_change,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_holder_holder_num_ratio,cn.rep.e634adbcb8563d0f73022b166360e93e,cn.sf.38290cbd009c41d5ad3bb58292e86a68,lagged_daily_context,true1min_augmented_panel,ctx_holder_holder_num_ratio,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,ASSERTED_FROM_EXACT_ACTIVE121_FIELD,interaction-only,True,"[""SLOW_CROSS_SECTIONAL_LEVEL"", ""SLOW_TEMPORAL_CHANGE""]",
ctx_rzrq_rqye,cn.rep.c7437a81af611f7bbacd1b233c8bcb7d,cn.sf.535935cef05214af3cb68190752b0c5a,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rqye,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
ctx_rzrq_rqyl,cn.rep.a7200669acd8e4fdc0d44063879e452e,cn.sf.d396928146079671fc0a28c83a6546c2,lagged_daily_context,true1min_augmented_panel,ctx_rzrq_rqyl,STOCK,PREVIOUS_SESSION_STOCK_CONTEXT,previous_session,1 sessions,PIT_VERSIONED_HISTORY,SOURCE_UNIT_GLOSSARY_NOT_ASSERTED,interaction-only,False,[],SOURCE_UNIT_GLOSSARY_NOT_ASSERTED
