generator_arm,candidate_count,clean_feedback_count,min_clean_feedback,feedback_update_allowed,positive_train_reward_rate,median_train_reward,validation_survival_rate,new_family_rate,low_turnover_rate,rewardhack_family_rate,wrong_lag_reject_rate,top_family_concentration,exploit_allowed_family_count,arm_score
typed_ast_fresh,11,5,4,true,0.45454545,-0.16,0.45454545,0.63636364,1.0,0.54545455,0.0,0.27272727,1,1.56727273
rx_ucb_fresh,9,3,4,false,0.33333333,-0.16,0.33333333,0.88888889,1.0,0.66666667,0.0,0.22222222,1,1.50666667
challenger_repair,4,0,4,false,0.0,-0.16,0.0,1.0,1.0,1.0,0.0,0.25,0,0.59
