candidate_id,expression_hash,expression,generator_arm,generator_route,seed,round_id,parent_id,mutation_type,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,blocker_flags,phase3ca_proxy_quality,train_reward,train_reward_decision,train_reward_blockers,validation_day_sortino,validation_mcmc_prob_gt_0,holdout_day_sortino,holdout_mcmc_prob_gt_0
phase3cp_00021,c70cc97d5c573accb984ae6f,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,,typed_ast_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,dd0cbfd4948290aab1,33b91cd228d05c4f76,6d9e26612dcc,0.03892,0.03892,0.554488,0.48,,0.2381064,0.19904851,TRAIN_REWARD_FOLLOWUP_READY,,0.09952426,0.58,-0.3,0.25
phase3cp_00016,eb4b97fd2cd1153daeddd57c,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,,typed_ast_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,dd0cbfd4948290aab1,33b91cd228d05c4f76,6d9e26612dcc,0.03822,0.03822,0.553508,0.48,,0.2357124,0.19885699,TRAIN_REWARD_FOLLOWUP_READY,,0.0994285,0.58,-0.3,0.25
phase3cp_00018,de754dc2683bb8910406faab,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,,typed_ast_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,c3be9eb0a3620ec39b,651e90e40fe181795a,a920d91b48eb,0.03682,0.03682,0.551548,0.48,,0.2309244,0.19847395,TRAIN_REWARD_FOLLOWUP_READY,,0.09923698,0.58,-0.3,0.25
phase3cp_00026,bad2dac6f562c7a32403a4fc,"CSRank(Sub(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,,typed_ast_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,f3d0ccad29ac7200a7,0a3fdd7a0e3b1ee514,2f158d4bbf6b,0.03612,0.03612,0.550568,0.48,,0.2285304,0.19828243,TRAIN_REWARD_FOLLOWUP_READY,,0.09914122,0.58,-0.3,0.25
phase3cp_00002,fa31569138d684c28bd7dde3,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,,rx_ucb_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6dfdc2653ce052bd27,0881b8b05eb644e6d5,9fcbc555e2eb,0.03492,0.03492,0.548888,0.42,,0.2244264,0.19795411,TRAIN_REWARD_FOLLOWUP_READY,,0.09897706,0.58,-0.3,0.25
phase3cp_00009,d79ef720c2510971b68cb4e3,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,,rx_ucb_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,9e96ab1433d465d733,b244beaf15854a7b91,5fa9d9e6c005,0.03352,0.03352,0.546928,0.42,,0.2196384,0.19757107,TRAIN_REWARD_FOLLOWUP_READY,,0.09878554,0.58,-0.3,0.25
phase3cp_00013,fd794bc3fbeb87c69e28ca56,"CSRank(Mul(ZScore($m1_first30_vwap_return_vs_open),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,,rx_ucb_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,3a0aa671f151a6385d,d8a143641400f72a64,b24202f19afd,0.0334,0.0334,0.54676,0.42,,0.219228,0.19753824,TRAIN_REWARD_FOLLOWUP_READY,,0.09876912,0.58,-0.3,0.25
phase3cp_00024,b4534e0bb90bc0a942afca65,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,,typed_ast_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,1e9e7c338a7cdf0d26,16110fe9b93fc289f4,44f715db81a8,0.03332,0.03332,0.546648,0.48,,0.2189544,0.19751635,TRAIN_REWARD_FOLLOWUP_READY,,0.09875818,0.58,-0.3,0.25
phase3cp_00003,f935251770c9667bfc4d7cbd,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),5))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,,rx_ucb_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,82d605af753316a0b5,87fee8d17c1e7d99c6,6311c4234f5c,0.03282,0.03282,0.545948,0.42,,0.2172444,-0.16,TRAIN_REWARD_REJECT,cp_smoke_not_clean,-0.05,0.35,0.7,0.82
phase3cp_00008,e07b59571ce8903c0afb6ffb,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,,rx_ucb_fresh/round1_scheduler_controlled,,scheduler_controlled_smoke,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,c3be9eb0a3620ec39b,651e90e40fe181795a,a920d91b48eb,0.03212,0.03212,0.544968,0.42,,0.2148504,-0.16,TRAIN_REWARD_REJECT,cp_smoke_not_clean,-0.05,0.35,0.7,0.82
