backend,route_id,pair_id,primary_candidate_id,control_candidate_id,pair_evaluation_status,pair_evaluation_blockers,primary_train_reward,control_train_reward,matched_train_increment,primary_train_rank_ic,control_train_rank_ic,matched_rank_ic_increment,primary_turnover,control_turnover,matched_turnover_increment,pair_support_count,pair_support_overlap,clock_namespace,support_unit,primary_expression,control_expression,primary_receipt_hash,control_receipt_hash,pair_receipt_hash
stock_session,DISCLOSURE_EVENT,cn.pair.005e4b0769715aec42cafc79f153e36b,cn.comp.0708721488652e5590d8,cn.comp.0708721488652e5590d8.control,PAIR_EVALUATED,,0.27589487,0.26705718,0.00883769000000001,0.00091156,0.00022445,0.0006871099999999999,0.0264521,0.0240694,0.002382699999999998,1495351,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_total_current_liab_slope_at_disclosure))","Add($fund_ba_total_current_liab_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",550de019dbfa21e5ec6264beb43a5ab9a98421a165377d3ebed19b82cce49629,50715a1cda010abb84be8d705c114228a6f894b7a812e8e25114979542d98653,cc950660e2554399b39646c0d41fe5cad463c29eb573babb9c37bacd9c875cb0
stock_session,DISCLOSURE_EVENT,cn.pair.0790f376468402726b58c62c2303b989,cn.comp.0f9c6e721da87d0a2cc4,cn.comp.0f9c6e721da87d0a2cc4.control,PAIR_EVALUATED,,0.27663256,0.20878456,0.06784800000000002,0.00134414,0.00376626,-0.00242212,0.02685659,0.02391486,0.00294173,1495351,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_total_current_assets_slope_at_disclosure))","Add($fund_ba_total_current_assets_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",07977c0c045caf6232e353ef961d98024fa37a307c3458006484c18f7c0c1a06,0bf6631f67d0424c0fd5fac2bccbd36129c77da5a18ad08b648abd0d1e259e03,0466918c4b57c11b3fabbf507bd1438c937403daafb64b336f02d290a711fbd7
stock_session,DISCLOSURE_EVENT,cn.pair.1a7acdb893a528063fad87ec00e76d19,cn.comp.09913439cc960b5cf7c4,cn.comp.09913439cc960b5cf7c4.control,PAIR_EVALUATED,,0.29184687,0.24765926,0.04418760999999999,0.00149635,-0.00313221,0.00462856,0.02699244,0.02345823,0.0035342099999999994,1496922,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_accounts_payable_acceleration_at_disclosure))","Add($fund_ba_accounts_payable_acceleration_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",477b9603919e2fe60aa9634e3279e58375cf3eb70d6288345527b9f7d6a18002,5c635f6e95c2a3a44e1b325fb2652930c04d0c1f675a511db2050c35e886ba70,9a0f338f98a38a88410bdacb26337517942dbbce7670bd9af481993da48742f4
stock_session,DISCLOSURE_EVENT,cn.pair.3fc30deb905c5aa0f94f2796e04029b5,cn.comp.173ee134264879a2aeb2,cn.comp.173ee134264879a2aeb2.control,PAIR_EVALUATED,,0.26610094,0.15491859,0.11118235000000001,0.00013961,-0.00761777,0.00775738,0.02858097,0.02387609,0.0047048800000000016,1477684,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_inventory_delta_at_disclosure))","Add($fund_ba_inventory_delta_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",5ec4b3f6985570b27e7caaacd96334e4b587421bdb27e88ba0c0d01be8b76e75,2a0587c6c0d1fafc027afbff55517cdf659fe7f33869cae9ff98fff679cdad40,34edafc335914fe5fafd462318f8ee41c7038ed8dd50a75e2d4b387839b3c7f3
stock_session,DISCLOSURE_EVENT,cn.pair.46348a73fcb18bef51fd82271ceb1fdb,cn.comp.0547525144e8e17d1341,cn.comp.0547525144e8e17d1341.control,PAIR_EVALUATED,,0.3731614,0.05053817,0.32262323,-0.00312681,-0.01512019,0.011993380000000001,0.04028692,0.02448063,0.015806289999999997,1432848,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_balance_pulse,1),Sign($fund_ba_total_assets_slope_at_disclosure))","Add($fund_ba_total_assets_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_balance_pulse)))",1c8f3a8a7f9e94a04c63289b61978f72a52270849e0b9e342968a2c0c82f9b0d,5a6dd8d5f11c84c10acbd93b12e0f7a7753e6f9be82082c7dd9b9e31009e8cfe,9b00288d69b1ddff70c81d63a04f47b75957ce2c2a87e8e43eb22d2a90bd3736
stock_session,DISCLOSURE_EVENT,cn.pair.5460a833dfc48c1134a60d7e11efb744,cn.comp.213dc00a2af613eeba89,cn.comp.213dc00a2af613eeba89.control,PAIR_EVALUATED,,0.36952575,0.41007579,-0.04055004000000001,-0.00265508,0.00200361,-0.00465869,0.05898213,0.03663534,0.02234679,1432848,1.0,stock_session,unique disclosure episode,"EventCount($fund_disclosure_balance_pulse,1)",TimeSince($fund_disclosure_balance_pulse),003ed322fa2984136f1b96c5d54f4daa5e99deecdf4382963f641bf090fcf719,e1f154e60282fb210fd66dba7060861b1ca64504ccd7b47557b1247cb8e78e7a,e86d21c3f3bae8b3f1b364c0ca43ce939a85f10ce9f0d6d36702b7a3dd9f0541
stock_session,DISCLOSURE_EVENT,cn.pair.5667c2c9a4008f47300bc8644e586446,cn.comp.18cde64e16d7c17038b1,cn.comp.18cde64e16d7c17038b1.control,PAIR_EVALUATED,,0.41139912,0.23325661,0.17814251,0.00266341,-0.0050627,0.00772611,0.0397986,0.02595003,0.013848570000000004,1402784,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_balance_pulse,1),Sign($fund_ba_total_current_liab_delta_at_disclosure))","Add($fund_ba_total_current_liab_delta_at_disclosure,Mul(0,TimeSince($fund_disclosure_balance_pulse)))",71dec053f62797a8ac4f7904760d520f21b1ed2a2ac1fd31211d88de81851a48,48a4491e95c6b3fe866b5b38b602fb277bf54152f2a269fe43b742e07053bc26,c61395214b77a59a44b8a90fa789105933631be1daf71321fa1b4f3e6ff6c321
stock_session,DISCLOSURE_EVENT,cn.pair.568ce475b9a97ab44e0bb3e67b83b4b2,cn.comp.35d5818c412e62a7dcf8,cn.comp.35d5818c412e62a7dcf8.control,PAIR_EVALUATED,,0.41847326,0.41011053,0.00836273000000004,0.00404766,0.00349092,0.00055674,0.03703273,0.03944635,-0.0024136199999999983,1310037,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_balance_pulse,1),Sign($fund_holder_average_shares_log_change_at_disclosure))","Add($fund_holder_average_shares_log_change_at_disclosure,Mul(0,TimeSince($fund_disclosure_balance_pulse)))",969824ffdaa6fd3a25786d6f48303c2d5859932fec0a8ae424bdafafdf8ce35d,c1386447c342fc282f84ecb132056de21d7bc32696ce2cf81a9826c79fb53624,56b51afac76c25a62f2eb8a2947e4feb1e1983ee7bf811db1c671caf0a6925c9
stock_session,DISCLOSURE_EVENT,cn.pair.5fe140c26e9450ab8aad5c608edb2432,cn.comp.3f981016d06099b98fd3,cn.comp.3f981016d06099b98fd3.control,PAIR_EVALUATED,,0.37703142,0.16621098,0.21082044,-0.0027533,-0.0211502,0.0183969,0.03944821,0.02174753,0.017700679999999996,1424285,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_balance_pulse,1),Sign($fund_ba_total_assets_source_yoy_at_disclosure))","Add($fund_ba_total_assets_source_yoy_at_disclosure,Mul(0,TimeSince($fund_disclosure_balance_pulse)))",0383672805fdaf3bb679a9d5b447c1b4eb57ef3e6db9ef65670fdc276b50a644,bac298525b531360a15cf43582413c00dff26b312c524b466f50427cd836eb22,c9501181543d973404f2759236d87f8f1c99a29b0fcb49616a66fe4d3facaa7f
stock_session,DISCLOSURE_EVENT,cn.pair.60791de9f222b69b7be347c6762dfea4,cn.comp.0e74e0589c9014e5e40e,cn.comp.0e74e0589c9014e5e40e.control,PAIR_EVALUATED,,0.29708018,0.03159207,0.26548811000000005,0.00172185,-0.01094202,0.01266387,0.0270115,0.02117961,0.005831889999999999,1513143,1.0,stock_session,unique disclosure episode,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_total_equity_acceleration_at_disclosure))","Add($fund_ba_total_equity_acceleration_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",a01ad1cf0a87e079a095802f2bb58f88a6418c20a93a278d311cc95db1b8b730,8305d08e402bfd9270ceb7dc4537938c31842708f184baeb4a559d83414949ba,1b11aec3b723a0ac148619cd3a52427821be1e9cefae0fa89b6a0938ef791c99
