panel,ncols,has_m1_first_ret,has_range_location,has_current_firstn_fields,has_ctx_fields,has_evt_fields,m1_fields
G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3cy_true1min_sidecar_augmented_shards_20260626\shard_00\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet,121,False,False,True,True,True,m1_first15_amount|m1_first15_bars|m1_first15_high|m1_first15_last_close|m1_first15_last_return_vs_open|m1_first15_low|m1_first15_range|m1_first15_vol|m1_first15_vwap|m1_first15_vwap_return_vs_open|m1_first30_amount|m1_first30_bars|m1_first30_high|m1_first30_last_close|m1_first30_last_return_vs_open|m1_first30_low|m1_first30_range|m1_first30_vol|m1_first30_vwap|m1_first30_vwap_return_vs_open|m1_first5_amount|m1_first5_bars|m1_first5_high|m1_first5_last_close|m1_first5_last_return_vs_open|m1_first5_low|m1_first5_range|m1_first5_vol|m1_first5_vwap|m1_first5_vwap_return_vs_open
G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3cy_true1min_sidecar_augmented_shards_20260626\shard_01\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet,121,False,False,True,True,True,m1_first15_amount|m1_first15_bars|m1_first15_high|m1_first15_last_close|m1_first15_last_return_vs_open|m1_first15_low|m1_first15_range|m1_first15_vol|m1_first15_vwap|m1_first15_vwap_return_vs_open|m1_first30_amount|m1_first30_bars|m1_first30_high|m1_first30_last_close|m1_first30_last_return_vs_open|m1_first30_low|m1_first30_range|m1_first30_vol|m1_first30_vwap|m1_first30_vwap_return_vs_open|m1_first5_amount|m1_first5_bars|m1_first5_high|m1_first5_last_close|m1_first5_last_return_vs_open|m1_first5_low|m1_first5_range|m1_first5_vol|m1_first5_vwap|m1_first5_vwap_return_vs_open
G:\Project_V7_Rotation\alpha_pit_true1min_engine_20260619\runtime\phase3cy_true1min_sidecar_augmented_shards_20260626\shard_02\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet,121,False,False,True,True,True,m1_first15_amount|m1_first15_bars|m1_first15_high|m1_first15_last_close|m1_first15_last_return_vs_open|m1_first15_low|m1_first15_range|m1_first15_vol|m1_first15_vwap|m1_first15_vwap_return_vs_open|m1_first30_amount|m1_first30_bars|m1_first30_high|m1_first30_last_close|m1_first30_last_return_vs_open|m1_first30_low|m1_first30_range|m1_first30_vol|m1_first30_vwap|m1_first30_vwap_return_vs_open|m1_first5_amount|m1_first5_bars|m1_first5_high|m1_first5_last_close|m1_first5_last_return_vs_open|m1_first5_low|m1_first5_range|m1_first5_vol|m1_first5_vwap|m1_first5_vwap_return_vs_open
