candidate_id,expression_hash,generator_arm,factor_lane,expression,split,horizon_min,curve_count,day_count,net_mean_return,raw_mean_return,net_hit_rate,minute_sortino,day_sortino,day_mcmc_sortino_p25,day_mcmc_sortino_median,day_mcmc_prob_sortino_gt_0,max_drawdown,mean_one_way_turnover
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,equal_weight_horizon_sleeves,49,49,2.16299e-05,0.0007182638,0.59183673,0.02722219,0.02722219,-0.0429087,0.05523944,0.60833333,-0.00712971,0.69663387
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,1,49,49,2.0757e-06,0.0006987096,0.48979592,0.0130043,0.0130043,-0.12701715,0.0200618,0.54166667,-0.00219993,0.69663387
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,5,49,49,-0.0001057821,0.0005908517,0.57142857,-0.08736233,-0.08736233,-0.13806203,-0.06832961,0.34666667,-0.01056033,0.69663387
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",train,15,49,49,0.0001685962,0.0008652301,0.69387755,0.15656989,0.15656989,0.04336991,0.18004056,0.83,-0.00956525,0.69663387
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",validation,equal_weight_horizon_sleeves,17,17,-0.0001148874,0.0005843177,0.35294118,-0.39938356,-0.39938356,-0.52723177,-0.42549197,0.04666667,-0.00243759,0.69920507
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",validation,1,17,17,-7.61449e-05,0.0006230602,0.35294118,-0.39043985,-0.39043985,-0.52904649,-0.41042694,0.04666667,-0.00183614,0.69920507
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",validation,5,17,17,-0.0001023199,0.0005968852,0.52941176,-0.37805292,-0.37805292,-0.50167297,-0.36225345,0.07,-0.00250077,0.69920507
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",validation,15,17,17,-0.0001661973,0.0005330078,0.29411765,-0.29476289,-0.29476289,-0.42595059,-0.30004198,0.145,-0.00350784,0.69920507
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",holdout,equal_weight_horizon_sleeves,16,16,0.0001247167,0.000812924,0.625,1.00886859,1.00886859,0.52659152,1.07426113,0.95666667,-0.00048902,0.6882073
phase3cp_00030,c8af19143070433e5893b16e,event_state,rx_interaction::rx_range_location::rx_opening_amount::product,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",holdout,1,16,16,-0.0001002891,0.0005879182,0.3125,-0.47524503,-0.47524503,-0.59635154,-0.48973586,0.02666667,-0.00187922,0.6882073
