field_uid,field_id,source_table,source_field,data_family,entity_scope,semantic_role,field_role,observable_time,pit_status,materialization_status,registry_present,registry_search_eligible,eligible_routes,generator_observed_routes,information_status,information_qualified,core_pack_selected,core_pack_decision,nearest_root_id,nearest_root_nmi,operator_path_status,review_outcome,review_reason,alpha_or_performance_claim
capability::amount,amount,true1min_augmented_panel,amount,raw_1min,STOCK,primary,primary,bar_close,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION|MINUTE_STATIC,FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION|MINUTE_STATIC,EVALUATED_DEVELOPMENT_ONLY,True,True,EXPLORATORY_CORE,,0.0,STRUCTURALLY_OBSERVED,ALLOW_KEEP_REVIEW,INFORMATION_QUALIFIED_AND_STRUCTURALLY_CONSUMED,False
capability::amount_yuan,amount_yuan,true1min_augmented_panel,amount_yuan,raw_1min,STOCK,primary,primary,bar_close,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION|MINUTE_STATIC,FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION|MINUTE_STATIC,EVALUATED_DEVELOPMENT_ONLY,True,False,REDUNDANCY_ARCHIVE,amount,1.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,NON_CORE_ELIGIBLE_ROOT_AVAILABLE_OUTSIDE_FROZEN_CORE_SCOPE,False
capability::broad_event_01166fdd6c3a2aab,broad_event_01166fdd6c3a2aab,frozen_event_episode_registry,HOTNESS_CHANGE,broad_event_frozen_entry,STOCK,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_16c53855e757c585,broad_event_16c53855e757c585,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,broad_event_frozen_entry,STOCK,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_4fbf6cc691461c6c,broad_event_4fbf6cc691461c6c,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,broad_event_frozen_entry,MARKET,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_7b391e59670c491e,broad_event_7b391e59670c491e,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,broad_event_frozen_entry,MARKET,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_8a64cdfefa6bcc35,broad_event_8a64cdfefa6bcc35,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,broad_event_frozen_entry,STOCK,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_9041949344c58bcf,broad_event_9041949344c58bcf,frozen_event_episode_registry,BILLBOARD_CHANGE,broad_event_frozen_entry,STOCK,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_9618ee1100155073,broad_event_9618ee1100155073,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,broad_event_frozen_entry,STOCK,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
capability::broad_event_ac96e6d4db507a1a,broad_event_ac96e6d4db507a1a,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,broad_event_frozen_entry,MARKET,frozen_event_entry,condition-only,episode_maturity_time,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,True,True,BROAD_EVENT_FROZEN_ENTRY,BROAD_EVENT_FROZEN_ENTRY,IMPORTED_FROZEN_EPISODE_SUPPORT_ONLY,False,False,CONTROL_ONLY,,0.0,STRUCTURALLY_OBSERVED,HOLD_RESEARCH,GENERATOR_SUPPORT_OR_CONTROL_ROOT_NOT_ALPHA_PAYLOAD,False
