candidate_id,route_id,expression,operator_family,seed,proposal_origin,matched_control_id,declared_field_ids,condition_field_ids,is_matched_control,vote_policy,maturity_contract_registered,exposure_ledger_required,access_roles,uses_future_revision,requires_intrabar_order,generator_version,skeleton_id,financial_hypothesis,input_roles,unit_signature,clock_contract,maturity_contract,control_ablation_rule,maximum_depth,support_unit,outer_mapping,search_role,episode_policy,pair_id,control_constructor_id,pair_mapping_portfolio_contract,pair_support_alignment_policy,pair_maturity_alignment_policy,allow_behavior_equivalence,pair_member_role,legal,typed_route_decision,typed_route_rejection_code,typed_route_reason,canonical_expression,canonical_identity,exact_identity,field_ids,source_field_ids,representation_ids,operator_paths,maturity_rule,generator_authority,constructor_profile,generation_attempt_index,generation_stream_id,clock_namespace
cn.comp.b022551a984c89b1e738,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_inventory_acceleration_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.b022551a984c89b1e738.control,"[""fund_disclosure_holder_pulse"", ""fund_ba_inventory_acceleration_at_disclosure""]","[""fund_disclosure_holder_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.50522d7e8be5c1721b18890ee6776233,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_inventory_acceleration_at_disclosure))",9d24a0752fa195f7fbf0515479480f18b2c7a48a2d9f2e64d59d5bb2249623dc,ffc5b09302443c800af17212649a46e18ec4a902bd9e0372eefcd965bf306918,"[""fund_ba_inventory_acceleration_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.b8125b47ca797d0c04fc5edc8d729586"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.408cff2592e5b6515fdfb1a6febc2022"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,92,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29,stock_session
cn.comp.b022551a984c89b1e738.control,DISCLOSURE_EVENT,"Add($fund_ba_inventory_acceleration_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.b022551a984c89b1e738,"[""fund_disclosure_holder_pulse"", ""fund_ba_inventory_acceleration_at_disclosure""]","[""fund_disclosure_holder_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.50522d7e8be5c1721b18890ee6776233,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_inventory_acceleration_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",b32fe4217828a8149173784f69dec7d85392f4bbb1f0f10baa117c9627359586,99096c5b32bd213efff256f87355555da85175983f1b56db841bf7baec3f8330,"[""fund_ba_inventory_acceleration_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.b8125b47ca797d0c04fc5edc8d729586"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.408cff2592e5b6515fdfb1a6febc2022"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,92,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29,stock_session
cn.comp.58d4c2c26ea1520068d2,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_accounts_rece_slope_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.58d4c2c26ea1520068d2.control,"[""fund_disclosure_holder_pulse"", ""fund_ba_accounts_rece_slope_at_disclosure""]","[""fund_disclosure_holder_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.7dee173d477dfd79203617658c3da306,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_accounts_rece_slope_at_disclosure))",3b2536d54266760e3d7bee42d9254c2cfc53bf6a6eaceca9be1b04bc05d8e60e,0d9183e1cf2165e9f20b7db962df441a784dff66118a6004fc112e62db3f06c4,"[""fund_ba_accounts_rece_slope_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.663f8c4b2426677fa7730b30dbe4595e"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,116,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29,stock_session
cn.comp.58d4c2c26ea1520068d2.control,DISCLOSURE_EVENT,"Add($fund_ba_accounts_rece_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.58d4c2c26ea1520068d2,"[""fund_disclosure_holder_pulse"", ""fund_ba_accounts_rece_slope_at_disclosure""]","[""fund_disclosure_holder_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.7dee173d477dfd79203617658c3da306,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_accounts_rece_slope_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",7f701ff5b65954f9a22817373c0a9ae8a45ec1b003c66497ef71859d3ed541ef,7f3ab40cf7522f24c5e1748dff53a128416b64ea9c704b90cdf25d18de4441eb,"[""fund_ba_accounts_rece_slope_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.b2ca74da8aa8c7a407ef9f61f8ff7209"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.663f8c4b2426677fa7730b30dbe4595e"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,116,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29,stock_session
cn.comp.9fe5aca9985903f10f63,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_balance_pulse,1),Sign($fund_ba_total_current_assets_yoy_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.9fe5aca9985903f10f63.control,"[""fund_disclosure_balance_pulse"", ""fund_ba_total_current_assets_yoy_at_disclosure""]","[""fund_disclosure_balance_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.6f8cb7ecd450b3b757a807d092ebdbef,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_balance_pulse,1),Sign($fund_ba_total_current_assets_yoy_at_disclosure))",5988c33afb0f5e31c02a711d8eba5a58bd393575e086d76d3d09a4d34398b35a,81ad1c6ca1cc93caa8fcfe068b670886995a7d0d57c79d8df57d3244d1c1bbac,"[""fund_ba_total_current_assets_yoy_at_disclosure"", ""fund_disclosure_balance_pulse""]","[""cn.sf.924d664bf492b3f85c7bbf23f21006ec"", ""cn.sf.60d83a7afdd194b37a2c575c23983508""]","[""cn.rep.3d2ab3c7ee894d3a5abff8418fd17934"", ""cn.rep.d492f654855668bd8d928f7c52d9e376""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,140,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29,stock_session
cn.comp.9fe5aca9985903f10f63.control,DISCLOSURE_EVENT,"Add($fund_ba_total_current_assets_yoy_at_disclosure,Mul(0,TimeSince($fund_disclosure_balance_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.9fe5aca9985903f10f63,"[""fund_disclosure_balance_pulse"", ""fund_ba_total_current_assets_yoy_at_disclosure""]","[""fund_disclosure_balance_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.6f8cb7ecd450b3b757a807d092ebdbef,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_total_current_assets_yoy_at_disclosure,Mul(0,TimeSince($fund_disclosure_balance_pulse)))",fcf33c4da762a667241d81254f1323506ad386fc282248f8e11314324361261d,309b0065e5f4f07a5b3ec9a44dc9e65cf22ac04b402799b333d5e105497d8bfe,"[""fund_ba_total_current_assets_yoy_at_disclosure"", ""fund_disclosure_balance_pulse""]","[""cn.sf.924d664bf492b3f85c7bbf23f21006ec"", ""cn.sf.60d83a7afdd194b37a2c575c23983508""]","[""cn.rep.3d2ab3c7ee894d3a5abff8418fd17934"", ""cn.rep.d492f654855668bd8d928f7c52d9e376""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,140,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29,stock_session
cn.comp.fed975e62a4f01707ea9,DISCLOSURE_EVENT,"Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_accounts_rece_source_yoy_at_disclosure))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.fed975e62a4f01707ea9.control,"[""fund_disclosure_holder_pulse"", ""fund_ba_accounts_rece_source_yoy_at_disclosure""]","[""fund_disclosure_holder_pulse""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.b1bdf7cd4aea0e2eb7b39dd98039ceb8,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Mul(EventCount($fund_disclosure_holder_pulse,1),Sign($fund_ba_accounts_rece_source_yoy_at_disclosure))",235d2d3e501ff9a669ff70c2d32e0aee568f0319aa5e893a2aa1418e56bc71d8,b98a416f8b0fd23ed788d3feacda85a420132a21de4f900c84dd388f715f75c0,"[""fund_ba_accounts_rece_source_yoy_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.0dc5be68ccec1227b8b0db86fa41fb51"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.7c76bcb8c4beb063a76e72883eccb56e"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Mul"", ""root.Mul[0]:EventCount"", ""root.Mul[1]:Sign""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,164,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29,stock_session
cn.comp.fed975e62a4f01707ea9.control,DISCLOSURE_EVENT,"Add($fund_ba_accounts_rece_source_yoy_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",EventWindow,2026072201,typed_compositional_grammar_v2,cn.comp.fed975e62a4f01707ea9,"[""fund_disclosure_holder_pulse"", ""fund_ba_accounts_rece_source_yoy_at_disclosure""]","[""fund_disclosure_holder_pulse""]",True,CONTROL_NO_SEPARATE_VOTE,True,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.disclosure_event.event_prior_condition,prior PIT condition changes event impact,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,episode_observable_time,episode maturity plus registered action delay,remove_condition_gate,4,unique disclosure episode,cross_sectional,PRIMARY_SEARCH,UNIQUE_DISCLOSURE_EPISODE,cn.pair.b1bdf7cd4aea0e2eb7b39dd98039ceb8,cn_compositional_same_fields_disclosure_event_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","Add($fund_ba_accounts_rece_source_yoy_at_disclosure,Mul(0,TimeSince($fund_disclosure_holder_pulse)))",a5b866fd4b5646198270d37b89d2b560604459c99858e7b415db900bd5e6344f,e26122810d8edcbe6076f09f4e492116a762ffcd05fdb8eed131a77cb62dcc9b,"[""fund_ba_accounts_rece_source_yoy_at_disclosure"", ""fund_disclosure_holder_pulse""]","[""cn.sf.0dc5be68ccec1227b8b0db86fa41fb51"", ""cn.sf.c85042cbf88a455c9d57707708d9f212""]","[""cn.rep.7c76bcb8c4beb063a76e72883eccb56e"", ""cn.rep.9014032fdf4a54b3b31c964baa37e195""]","[""root:Add"", ""root.Add[1]:Mul"", ""root.Add[1].Mul[1]:TimeSince""]",observable disclosure time plus registered action delay,RegistryDrivenGenerator,registry_compositional_v2,164,c7a37d3ff0b6942080b8549301971733580244ed09dbdfb28f01f35550a66c29,stock_session
