candidate_id,expression_hash,expression,generator_arm,generator_route,seed,round_id,parent_id,mutation_type,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,blocker_flags,phase3ca_proxy_quality,train_reward,train_reward_decision,train_reward_blockers,validation_day_sortino,validation_mcmc_prob_gt_0,holdout_day_sortino,holdout_mcmc_prob_gt_0
phase3cp_00030,c8af19143070433e5893b16e,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",event_state,future-event-state-generator,,event_state/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6ace37bd35f0fab316,1d5c220e77d0c0ecd6,4ccb0eead839,0.03012,0.03012,0.542168,0.62,,0.1765104,-0.01381677,HOLD_TRAIN_REWARD,extreme_turnover,0.56475186,0.7394958,3.63709504,0.96626506
phase3cp_00003,f935251770c9667bfc4d7cbd,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),5))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,,rx_ucb_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,82d605af753316a0b5,87fee8d17c1e7d99c6,6311c4234f5c,0.03282,0.03282,0.545948,0.42,,0.2172444,-0.37184462,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,0.04308031,0.48392555,-0.29133125,0.26351351
phase3cp_00023,cc39d7f681d1d4c000a17559,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",challenger_repair,future-phase3cr-repair,,challenger_repair/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6ace37bd35f0fab316,1d5c220e77d0c0ecd6,4ccb0eead839,0.03412,0.03412,0.547768,0.58,,0.2081904,-0.50444835,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,-0.29355221,0.24703892,0.17549028,0.54637437
phase3cp_00002,fa31569138d684c28bd7dde3,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,,rx_ucb_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6dfdc2653ce052bd27,0881b8b05eb644e6d5,9fcbc555e2eb,0.03492,0.03492,0.548888,0.42,,0.2244264,-0.53254818,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.66513398,0.045,-0.71829181,0.005
phase3cp_00009,d79ef720c2510971b68cb4e3,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,,rx_ucb_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,9e96ab1433d465d733,b244beaf15854a7b91,5fa9d9e6c005,0.03352,0.03352,0.546928,0.42,,0.2196384,-0.8453687,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.77873694,0.00333333,-0.71003335,0.0083612
phase3cp_00014,de754dc2683bb8910406faab,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,,typed_ast_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,c3be9eb0a3620ec39b,651e90e40fe181795a,a920d91b48eb,0.03682,0.03682,0.551548,0.48,,0.2309244,-0.86557817,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.74746572,0.00166667,-0.96173274,0.0
phase3cp_00035,c0a7b4180fa546725dfc4b2e,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",random_orthogonal,control-random-orthogonal,,random_orthogonal/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,e405978a5756844266,1b38f4fc4f33328707,f58dce0e901e,0.02892,0.02892,0.540488,0.5,,0.2039064,-0.89071584,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.75893198,0.0,-0.96045471,0.0
phase3cp_00034,be3cead61bcf3ae05d5ae47e,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),3))))",random_orthogonal,control-random-orthogonal,,random_orthogonal/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6dfdc2653ce052bd27,0881b8b05eb644e6d5,9fcbc555e2eb,0.02402,0.02402,0.533628,0.5,,0.1171484,-0.93664835,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.78736708,0.0,-0.92757678,0.0
phase3cp_00026,cb9eab78dc5c9f512d674c95,"CSRank(Sub(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",event_state,future-event-state-generator,,event_state/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,f3d0ccad29ac7200a7,0a3fdd7a0e3b1ee514,2f158d4bbf6b,0.03152,0.03152,0.544128,0.62,,0.1812984,-0.94622189,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,-0.7912496,0.00166667,-0.71003335,0.01333333
phase3cp_00024,302c068ebfff8ae1c3e35c64,"CSRank(CSResidual(CSRank(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))),CSRank(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",challenger_repair,future-phase3cr-repair,,challenger_repair/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,4926a97a8ff2d2c4d5,213c37a95c7c7e138f,4c11fea9a366,0.03552,0.03552,0.549728,0.58,,0.2129784,-1.11511405,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,-0.98436642,0.0,-0.95425427,0.0
phase3cp_00016,c70cc97d5c573accb984ae6f,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,,typed_ast_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,dd0cbfd4948290aab1,33b91cd228d05c4f76,6d9e26612dcc,0.03892,0.03892,0.554488,0.48,,0.2381064,-1.16062275,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,-0.94509592,0.0,-0.95429715,0.0
phase3cp_00012,eb4b97fd2cd1153daeddd57c,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,,typed_ast_fresh/round1_scheduler_controlled,,,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,dd0cbfd4948290aab1,33b91cd228d05c4f76,6d9e26612dcc,0.03822,0.03822,0.553508,0.48,,0.2357124,-1.18017652,HOLD_TRAIN_REWARD,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc|extreme_turnover,-0.98464118,0.0,-0.9504996,0.0
