"candidate_id","expression_hash","run","source_round","generator_arm","generator_route","source_generator","source_lane","factor_lane","field_family","primitive_family","event_state_family","horizon_bucket","turnover_bucket","family_id","motif_id","subtree_hashes","phase3ca_proxy_quality","proxy_quality","aligned_ic_mean","spread_hit_rate","mean_one_way_turnover","fields","expression","portfolio_mode","short_allowed","train_reward","optimizer_reward","optimizer_reward_source","optimizer_reward_metric","optimizer_reward_split","validation_usage","holdout_usage","train_day_sortino","train_minute_sortino","train_worst_horizon_day_sortino","train_median_horizon_day_sortino","train_horizon_sortino_stdev","train_day_mcmc_p25","train_day_mcmc_prob_gt_0","train_mean_one_way_turnover","train_rank_ic_mean","train_rank_ic_hit_rate","train_rank_ic_loss","train_rank_ic_reward_component","train_rank_ic_obs","train_regime_stability_score","train_regime_reward_component","train_regime_worst_day_sortino","train_regime_median_day_sortino","train_regime_positive_share","train_regime_count","train_regime_method","train_regime_rows","validation_day_sortino","validation_day_mcmc_prob_gt_0","validation_rank_ic_mean","validation_rank_ic_loss","holdout_day_sortino","holdout_day_mcmc_prob_gt_0","holdout_rank_ic_mean","holdout_rank_ic_loss","inherited_blockers","train_reward_blockers","train_reward_decision","seed","round_id","parent_id","mutation_type","blocker_flags","validation_mcmc_prob_gt_0","holdout_mcmc_prob_gt_0"
"phase3cp_14494","2c45dfe8f1fe229737001dab","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","rx_interaction::rx_intraday_price_location::coverage_guarded_context::product","lagged_context","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","64e38a373ee20bb0d7","71c813266481726d71","517393d1419e","0.24344747","0.04048163","0.04048163","0.55667428","0.48","ctx_holder_holder_num|open|vwap","CSRank(Mul(ZScore(Sub(Div(Sub($vwap,$open),Add(Abs($open),0.000001)),Mean(Div(Sub($vwap,$open),Add(Abs($open),0.000001)),10))),CSRank(MaskedZScore($ctx_holder_holder_num,60,0.8))))","long_only_top","false","4.62588693","4.62588693","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","7.73722215","7.73722215","1.69058459","3.63263184","2.74646955","3.04260147","0.98561151","0.91666667","0.02931095","0.5","-0.02931095","0.1758657","6","0.0","0.0","","","","0","chronological_tercile_no_valid_regime_sortino","","-1.0","0","0.03628703","-0.03628703","-0.6956397","0","-0.11098856","0.11098856","","extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.0","0.0"
"phase3cp_16662","b6efcf4ee2c71ca9821cc707","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_interaction::rx_intraday_return::coverage_guarded_context::signed_state","intraday_return+lagged_context","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","491809ba5871553eba","1d591c17f2fcaf1554","6e4c36a6f5d7","0.24288164","0.04031635","0.04031635","0.55644289","0.48","ctx_holder_avg_hold_num|intraday_ret_from_open","CSRank(Mul(Sign(ZScore(Delta($intraday_ret_from_open,30))),CSRank(ValidRatioGate($ctx_holder_avg_hold_num,60,0.8))))","long_only_top","false","1.70469973","1.70469973","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","2.81907943","2.81907943","-0.14713688","0.60958493","1.07016625","1.10011301","0.95618557","0.94285714","0.08181851","0.57142857","-0.08181851","0.35","7","0.72690096","0.05815208","0.57984764","0.57984764","1.0","1","chronological_tercile","[{""day_count"": 3, ""day_sortino"": 0.57984764, ""regime"": ""early""}]","2.44681589","0.94117647","0.14590793","-0.14590793","-0.7858971","0","0.04673827","-0.04673827","","non_positive_worst_horizon_train_sortino|extreme_turnover","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.94117647","0.0"
"phase3dv_00379","edc09bbf27231f15ed5455a6","","phase3dv_lane_c_probation_budget_probe","phase3dv_budget_pool_self_deepen","phase3dv-budget-pool-self-deepen-pack","","","","lagged_context+limit_event_state+opening_state","cross_sectional+arithmetic+state_transform","opening_state","multi_or_unknown","low_turnover","ce3af0f965020b04b5","b0483333312fb72a6c","b9aa8c1faaa4","0","0","","","0.14","","CSRank(Add(Sub(CSRank(ValidRatioGate($ctx_rzrq_rzye,60,0.5)),CSRank($m1_first15_last_close)),Sign(CSRank(WindowStateCount($evt_uplimit_active,15)))))","long_only_top","false","0.24872814","0.24872814","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.20935966","0.20935966","-0.01245985","0.04704187","0.16642684","0.05894155","0.82833333","0.04723625","0.02615694","0.59259259","-0.02615694","0.15694164","54","-0.4004333","-0.03203466","-0.79553841","0.89729792","0.66666667","3","market_return_tercile","[{""day_count"": 18, ""day_sortino"": -0.79553841, ""regime"": ""market_down""}, {""day_count"": 18, ""day_sortino"": 0.89729792, ""regime"": ""market_mid""}, {""day_count"": 18, ""day_sortino"": 17.38817892, ""regime"": ""market_up""}]","0.05911865","0.59333333","0.03839291","-0.03839291","0.23875081","0.70166667","0.00567532","-0.00567532","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","phase3dv_lane_c_probation_budget_probe","","","","0.59333333","0.70166667"
"phase3cp_17360","76a331c865ca6bb8314b891e","search_outputs","typed_ast_fresh/round1_scheduler_controlled","typed_ast_fresh","phase3bt-ast-algorithm-bakeoff","phase3cp_typed_ast_fresh_from_co","phase3cp_typed_ast_fresh_from_co","cem_resample::rx_range_location::coverage_guarded_context::elite_inverted_product","lagged_context+range_location","cross_sectional+time_series+arithmetic+state_transform","none","multi_or_unknown","medium_turnover","aefb2433dbad968546","eb37f2232c51056e55","403f5a5dd59b","0.24317221","0.0404013","0.0404013","0.55656182","0.48","close|ctx_rzrq_rzyezb|high|low","Neg(CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),CSRank(ValidRatioGate($ctx_rzrq_rzyezb,60,0.8)))))","long_only_top","false","0.22519142","0.22519142","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.10603447","0.10603447","-0.12963198","-0.03842496","0.19088663","-0.02505692","0.71666667","0.6477019","0.160318","0.98245614","-0.160318","0.35","57","-0.90539674","-0.07243174","-0.85445652","-0.52847009","0.0","2","market_return_tercile","[{""day_count"": 19, ""day_sortino"": -0.85445652, ""regime"": ""market_down""}, {""day_count"": 19, ""day_sortino"": -0.20248366, ""regime"": ""market_mid""}]","-0.11277552","0.33166667","0.14230393","-0.14230393","0.2025526","0.705","0.16638325","-0.16638325","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","typed_ast_fresh/round1_scheduler_controlled","","","","0.33166667","0.705"
"phase3dv_03271","bc4731a80706bc824d5c9320","","phase3dv_lane_d_fresh_self_deepen","phase3dv_budget_pool_self_deepen","phase3dv-budget-pool-self-deepen-pack","","","","lagged_context+limit_event_state","cross_sectional+arithmetic","none","multi_or_unknown","low_turnover","0b11266234fdd0f10a","3eb59b71f34eeee3c8","75dae97b0b1c","0","0","","","0.14","","CSRank(Add(CSRank(EventCount($evt_uplimit_active,10)),CSRank(MaskedZScore($ctx_rzrq_rqyl,20,0.8))))","long_only_top","false","0.20841037","0.20841037","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.16989032","0.16989032","-0.08580045","0.09598346","0.15981268","0.03542416","0.805","0.07658525","0.02800335","0.61403509","-0.02800335","0.1680201","57","-0.48355155","-0.03868412","-0.74392546","-0.23252628","0.5","2","market_return_tercile","[{""day_count"": 19, ""day_sortino"": -0.74392546, ""regime"": ""market_down""}, {""day_count"": 19, ""day_sortino"": 0.2788729, ""regime"": ""market_mid""}]","0.08810403","0.62","0.04661595","-0.04661595","0.18430882","0.67833333","0.00536117","-0.00536117","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","phase3dv_lane_d_fresh_self_deepen","","","","0.62","0.67833333"
"phase3dv_04978","f62d2127cf984cc7c7065c70","","phase3dv_lane_d_fresh_self_deepen","phase3dv_budget_pool_self_deepen","phase3dv-budget-pool-self-deepen-pack","","","","lagged_context+limit_event_state","cross_sectional+arithmetic+state_transform","none","multi_or_unknown","low_turnover","327501682bdb1d7638","b2699fb807b70b4356","e253ff687894","0","0","","","0.14","","CSRank(Add(Neg(CSRank(WindowStateCount($evt_uplimit_active,40))),CSRank(MaskedZScore($ctx_rzrq_rqyl,20,0.8))))","long_only_top","false","0.20657823","0.20657823","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.16421525","0.16421525","-0.08683364","0.10197376","0.15538619","0.04314344","0.81333333","0.07657133","0.02800423","0.61403509","-0.02800423","0.16802538","57","-0.48357264","-0.03868581","-0.7439579","-0.23233075","0.5","2","market_return_tercile","[{""day_count"": 19, ""day_sortino"": -0.7439579, ""regime"": ""market_down""}, {""day_count"": 19, ""day_sortino"": 0.2792964, ""regime"": ""market_mid""}]","0.10765189","0.65333333","0.04811181","-0.04811181","0.16510829","0.64833333","0.00543171","-0.00543171","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","phase3dv_lane_d_fresh_self_deepen","","","","0.65333333","0.64833333"
"phase3dv_01572","21f259ce6e1658e2ee0f5c2f","","phase3dv_lane_d_fresh_self_deepen","phase3dv_budget_pool_self_deepen","phase3dv-budget-pool-self-deepen-pack","","","","lagged_context+limit_event_state","cross_sectional+arithmetic","none","multi_or_unknown","low_turnover","e61765f26ffab7c4dc","0daae9ef2d36a13db8","4a16659b878a","0","0","","","0.14","","CSRank(Sub(CSRank(MaskedZScore($ctx_rzrq_rqyl,120,0.5)),CSRank(WindowStateCount($evt_uplimit_active,20))))","long_only_top","false","0.20605547","0.20605547","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.16421525","0.16421525","-0.08683364","0.10197376","0.15538619","0.03967733","0.795","0.07657133","0.02803264","0.61403509","-0.02803264","0.16819584","57","-0.48357264","-0.03868581","-0.7439579","-0.23233075","0.5","2","market_return_tercile","[{""day_count"": 19, ""day_sortino"": -0.7439579, ""regime"": ""market_down""}, {""day_count"": 19, ""day_sortino"": 0.2792964, ""regime"": ""market_mid""}]","0.1090322","0.64","0.04817361","-0.04817361","0.16510829","0.65833333","0.00543171","-0.00543171","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","phase3dv_lane_d_fresh_self_deepen","","","","0.64","0.65833333"
"phase3dv_00863","3eb52f76bba3d73a17754a7b","","phase3dv_lane_d_fresh_self_deepen","phase3dv_budget_pool_self_deepen","phase3dv-budget-pool-self-deepen-pack","","","","lagged_context+limit_event_state","cross_sectional+arithmetic+state_transform","none","multi_or_unknown","low_turnover","d31cde122103173558","1f13be334c0b374ac2","34457a0df067","0","0","","","0.14","","CSRank(Sub(CSRank(ValidRatioGate($ctx_rzrq_rqyl,60,0.5)),Sign(CSRank(WindowStateCount($evt_uplimit_active,10)))))","long_only_top","false","0.20519721","0.20519721","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.16463093","0.16463093","-0.08715796","0.0969309","0.15679641","0.03471912","0.80833333","0.07607946","0.02802974","0.61403509","-0.02802974","0.16817844","57","-0.48353214","-0.03868257","-0.74389561","-0.23173678","0.5","2","market_return_tercile","[{""day_count"": 19, ""day_sortino"": -0.74389561, ""regime"": ""market_down""}, {""day_count"": 19, ""day_sortino"": 0.28042204, ""regime"": ""market_mid""}]","0.10185012","0.61833333","0.04734738","-0.04734738","0.16510829","0.67166667","0.00539823","-0.00539823","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","phase3dv_lane_d_fresh_self_deepen","","","","0.61833333","0.67166667"
"phase3dv_05078","b5f8f11e08f6b3bd7e8b27ea","","phase3dv_lane_d_fresh_self_deepen","phase3dv_budget_pool_self_deepen","phase3dv-budget-pool-self-deepen-pack","","","","limit_event_state+opening_state+range_location","cross_sectional+arithmetic+state_transform","high_board+opening_state","multi_or_unknown","low_turnover","aa9f24cb129f0c7e6c","82d33971b582432fbb","dfd03e2df438","0","0","","","0.14","","CSRank(Add(Add(Sign(CSRank(WindowStateCount($evt_uplimit_active,10))),Neg(CSRank($m1_first30_low))),CSRank(ValidRatioGate($ctx_sent_max_lb_num,20,0.8))))","long_only_top","false","0.19306477","0.19306477","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.19482769","0.19482769","-0.11624936","0.01851289","0.2338561","0.06827847","0.83166667","0.0445009","0.02185351","0.52","-0.02185351","0.13112106","50","-0.37256095","-0.02980488","-0.75265787","3.07417016","0.66666667","3","market_return_tercile","[{""day_count"": 16, ""day_sortino"": -0.75265787, ""regime"": ""market_down""}, {""day_count"": 17, ""day_sortino"": 3.07417016, ""regime"": ""market_mid""}, {""day_count"": 17, ""day_sortino"": 878.86068422, ""regime"": ""market_up""}]","-0.12990989","0.36833333","0.00046996","-0.00046996","-0.04136416","0.44","-0.00926876","0.00926876","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","phase3dv_lane_d_fresh_self_deepen","","","","0.36833333","0.44"
"phase3dv_02530","fb4c5eb1b803c86d1506ebad","","phase3dv_lane_d_fresh_self_deepen","phase3dv_budget_pool_self_deepen","phase3dv-budget-pool-self-deepen-pack","","","","flow_amount_volume+lagged_context+limit_event_state","cross_sectional+arithmetic+state_transform","none","multi_or_unknown","low_turnover","8ad3d3bd0abf91b541","b7ff1104f372f97e79","2f9cf4892811","0","0","","","0.14","","CSRank(Add(Mul(Sign(Neg(CSRank(WindowStateCount($evt_uplimit_active,10)))),CSRank(Add(CSRank(MaskedCorr($ctx_sent_gt5_num,$vol,40,0.5)),CSRank(ValidRatioGate($ctx_rzrq_rzmre,120,0.8))))),CSRank(ValidRatioGate($ctx_hfq_market_cap_yuan,20,0.5))))","long_only_top","false","0.18240698","0.18240698","train_only_phase3cm","train_portfolio_sortino_rankic_regime_composite_reward","train","report_only","report_only","0.21885997","0.21885997","-0.60586717","0.08747448","0.60213573","-0.11387942","0.65943239","0.60351384","0.06824588","0.72727273","-0.06824588","0.35","11","-0.60067519","-0.04805402","-0.92411568","-0.28390641","0.5","2","market_return_tercile","[{""day_count"": 3, ""day_sortino"": -0.92411568, ""regime"": ""market_down""}, {""day_count"": 4, ""day_sortino"": 0.35630286, ""regime"": ""market_mid""}]","1.04591601","0.61084906","0.09098465","-0.09098465","-0.55708826","0.14608696","-0.02152623","0.02152623","","non_positive_worst_horizon_train_sortino","HOLD_TRAIN_REWARD","","phase3dv_lane_d_fresh_self_deepen","","","","0.61084906","0.14608696"
