field_uid,field_name,record_kind,data_family,source_table,source_field,entity_scope,semantic_role,field_role,dtype,observable_time,maturity,pit_status,materialization_status,search_status,recommended_routes,source_artifact,blocked_reason
capability::amount,amount,CAPABILITY_FIELD,raw_1min,true1min_augmented_panel,amount,STOCK,primary,primary,,bar_close,0 bars,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MINUTE_STATIC|FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::amount_yuan,amount_yuan,CAPABILITY_FIELD,raw_1min,true1min_augmented_panel,amount_yuan,STOCK,primary,primary,,bar_close,0 bars,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,MINUTE_STATIC|FIRSTN_PATH|INTRADAY_STATE_TRANSITION|MARKET_REGIME_CONDITION,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_01166fdd6c3a2aab,broad_event_01166fdd6c3a2aab,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,HOTNESS_CHANGE,STOCK,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_16c53855e757c585,broad_event_16c53855e757c585,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,STOCK,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_4fbf6cc691461c6c,broad_event_4fbf6cc691461c6c,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,MARKET,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_7b391e59670c491e,broad_event_7b391e59670c491e,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,MARKET,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_8a64cdfefa6bcc35,broad_event_8a64cdfefa6bcc35,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,STOCK,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_9041949344c58bcf,broad_event_9041949344c58bcf,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,BILLBOARD_CHANGE,STOCK,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_9618ee1100155073,broad_event_9618ee1100155073,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,CHIP_STRUCTURE_CHANGE,STOCK,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_ac96e6d4db507a1a,broad_event_ac96e6d4db507a1a,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,MARKET,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_b22d9565d0b39241,broad_event_b22d9565d0b39241,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,HOTNESS_CHANGE,STOCK,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_cf70889cec0c77df,broad_event_cf70889cec0c77df,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,BILLBOARD_CHANGE,STOCK,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::broad_event_d42c0973350238e0,broad_event_d42c0973350238e0,CAPABILITY_FIELD,broad_event_frozen_entry,frozen_event_episode_registry,MARKET_ECOLOGY_TRANSITION,MARKET,frozen_event_entry,condition-only,,episode_maturity_time,registered_episode_maturity,PIT_VERSIONED_HISTORY,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,BROAD_EVENT_FROZEN_ENTRY,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::chip_cost_p05,chip_cost_p05,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p05,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::chip_cost_p15,chip_cost_p15,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p15,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::chip_cost_p50,chip_cost_p50,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p50,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::chip_cost_p85,chip_cost_p85,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p85,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::chip_cost_p95,chip_cost_p95,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_p95,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::chip_cost_weighted_mean,chip_cost_weighted_mean,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_cost_weighted_mean,STOCK,interaction-only,interaction-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,ROUTE_ELIGIBLE,SLOW_CROSS_SECTIONAL_LEVEL|SLOW_TEMPORAL_CHANGE,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,
capability::chip_historical_high,chip_historical_high,CAPABILITY_FIELD,chip_distribution,chip_distribution,chip_historical_high,STOCK,benchmark-only,benchmark-only,,previous_session,1 sessions,PIT_SAFE_WITH_REGISTERED_LAG_AND_MEMBERSHIP,REGISTERED_TYPED_CAPABILITY,BLOCKED,,runtime/field_registry/cn_unified_capability_registry_v3_20260717/unified_capability_registry.json,ROLE_BENCHMARK_ONLY_NOT_PAYLOAD_ELIGIBLE
